Condition,MedCodeId,Term
Diseases of the liver,286858013.0,Viral hepatitis A with coma
Diseases of the liver,286862019.0,Viral hepatitis B with coma
Diseases of the liver,286867013.0,Other specified viral hepatitis with coma
Diseases of the liver,286868015.0,Viral hepatitis C with coma
Diseases of the liver,286869011.0,Other specified viral hepatitis with hepatic coma NOS
Diseases of the liver,353595019.0,Alcoholic hepatic failure
Diseases of the liver,120980011.0,Hepatic coma
Diseases of the liver,221131000000118.0,Encephalopathy - hepatic
Diseases of the liver,358961000006119.0,[X] Hepatic failure
Diseases of the liver,359011000006113.0,[X] Liver failure
Diseases of the liver,353597010.0,Hepatic failure NOS
Diseases of the liver,353596018.0,Liver failure NOS
Diseases of the liver,99549014.0,Hepatic failure
Diseases of the liver,30226018.0,Hepatic infarction
Diseases of the liver,303512010.0,Toxic liver disease with hepatic necrosis
Diseases of the liver,303521011.0,Central haemorrhagic necrosis of liver
Diseases of the liver,324976011.0,Liver transplant failure and rejection
Diseases of the liver,325080013.0,Hepatic failure as a complication of care
Diseases of the liver,325079010.0,Liver failure as a complication of care
Diseases of the liver,6941931000006112.0,Laennec's cirrhosis
Diseases of the liver,453265010.0,Oesophageal varices in alcoholic cirrhosis of the liver
Diseases of the liver,83834016.0,Alcoholic fatty liver
Diseases of the liver,476611000006116.0,Alcoholic cirrhosis of liver
Diseases of the liver,2579818016.0,Laennec's cirrhosis
Diseases of the liver,353594015.0,Alcoholic fibrosis and sclerosis of liver
Diseases of the liver,303399018.0,Alcoholic liver damage unspecified
Diseases of the liver,353587018.0,Alcoholic hepatitis
Diseases of the liver,451124014.0,Chronic alcoholic hepatitis
Diseases of the liver,303463012.0,Steatosis of liver
Diseases of the liver,2819666013.0,Nonalcoholic steatohepatitis
Diseases of the liver,1786201000006119.0,Fatty change of liver
Diseases of the liver,1786211000006116.0,Fatty liver
Diseases of the liver,3713571000006113.5,Congestive cirrhosis
Diseases of the liver,803961000006119.0,Glycogenosis with hepatic cirrhosis
Diseases of the liver,1786709019.0,Pigmentary cirrhosis of liver
Diseases of the liver,1736361000000112.0,Cystic fibrosis related cirrhosis
Diseases of the liver,451442010.0,Oesophageal varices in cirrhosis of the liver
Diseases of the liver,303393017.0,Cirrhosis and chronic liver disease
Diseases of the liver,126721013.0,Florid cirrhosis
Diseases of the liver,221111000000114.0,Cirrhosis - non alcoholic
Diseases of the liver,2576980018.0,Portal cirrhosis
Diseases of the liver,396390012.0,Multilobular portal cirrhosis
Diseases of the liver,303419015.0,Diffuse nodular cirrhosis
Diseases of the liver,303420014.0,Fatty portal cirrhosis
Diseases of the liver,493707012.0,Hypertrophic portal cirrhosis
Diseases of the liver,303425016.0,Capsular portal cirrhosis
Diseases of the liver,396391011.0,Cardiac portal cirrhosis
Diseases of the liver,123999018.0,Congestive cirrhosis
Diseases of the liver,396392016.0,Juvenile portal cirrhosis
Diseases of the liver,11267010.0,Indian childhood cirrhosis
Diseases of the liver,55851000006118.0,Xanthomatous portal cirrhosis
Diseases of the liver,303437019.0,Bacterial portal cirrhosis
Diseases of the liver,303441015.0,Infectious cirrhosis NOS
Diseases of the liver,303442010.0,Portal cirrhosis unspecified
Diseases of the liver,396393014.0,Non-alcoholic cirrhosis NOS
Diseases of the liver,731231000006114.0,Macronodular cirrhosis of liver
Diseases of the liver,603321000006118.0,Cryptogenic cirrhosis of liver
Diseases of the liver,353613017.0,Cirrhosis of liver NOS
Diseases of the liver,820381000006112.0,Hepatic fibrosis
Diseases of the liver,4044018.0,Biliary cirrhosis
Diseases of the liver,21289010.0,Secondary biliary cirrhosis
Diseases of the liver,303452014.0,Biliary cirrhosis of children
Diseases of the liver,303453016.0,Biliary cirrhosis NOS
Diseases of the liver,303458013.0,Portal fibrosis without cirrhosis
Diseases of the liver,103853010.0,Hepatic fibrosis
Diseases of the liver,353625019.0,Hepatic sclerosis
Diseases of the liver,353627010.0,Hepatic fibrosis with hepatic sclerosis
Diseases of the liver,303518014.0,Toxic liver disease with fibrosis and cirrhosis of liver
Diseases of the liver,303781011.0,[X]Other and unspecified cirrhosis of liver
