Condition,MedCodeId,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300974014.0,[X]Phlebitis and thombophlebitis of other sites
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300656019.0,Phlebitis of a superficial leg vein NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300659014.0,Thrombophlebitis of a superficial leg vein NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300660016.0,Superficial phlebitis and thrombophlebitis of the leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300671015.0,Deep vein phlebitis of the leg unspecified
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300690011.0,Phlebitis of the iliac vein unspecified
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300700013.0,Phlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300701012.0,Thrombophlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300704016.0,Other venous embolism and thrombosis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300713019.0,Embolism and thrombosis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",395802010.0,Other phlebitis and thrombophlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",395803017.0,Thrombosis of vein NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",100611000006111.0,Thrombophlebitis of the long saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",100641000006110.0,Thrombophlebitis of the short saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",116051000006118.0,Superficial vessel phlebitis and/or thrombophlebitis of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",231301000006116.0,Phlebitis and thrombophlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",3148251000006114.0,Thrombophlebitis of superficial veins of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",638821000006113.0,Embolism and thrombosis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1.2102811000006112e+16,Phlebitis of dorsal venous arch of foot
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",4583181000006115.0,On examination - phlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",5059231000006112.0,Phlebitis of saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",7098321000006117.0,Venous thromboembolic disease
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",5992311000006119.0,Thrombosis of vein of lower limb
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1.2102801000006112e+16,Thrombophlebitis of dorsal venous arch of foot
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300699012.0,Phlebitis and thrombophlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",231551000006113.0,Phlebitis of the short saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",3500791000006112.0,Inflammation of vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300649013.0,Phlebitis and thrombophlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",325064015.0,Phlebitis as a complication of care
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",350661013.0,Saphenous vein phlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",350662018.0,Saphenous vein thrombophlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",453210011.0,Thrombosis of vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300698016.0,Other phlebitis and thrombophlebitis NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",231521000006116.0,Phlebitis of the long saphenous vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300712012.0,Other embolism and thrombosis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",256134018.0,O/E - phlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",420621000006111.0,[X]Phlebitis+thrombophlebitis/oth deep vessls/low extremites
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300669015.0,Phlebitis of the dorsalis pedis vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300675012.0,Thrombophlebitis of the dorsalis pedis vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300682011.0,Phlebitis and thrombophlebitis of the leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300696017.0,Thrombophlebitis of the iliac vein unspecified
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",218551000000118.0,"Deep vein thrombosis, leg"
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",884731000006110.0,Deep venous thrombosis - leg
