Condition,MedCodeId,Term
Glaucoma,3753261000006113.5,COAG - Chronic open-angle glaucoma
Glaucoma,3753251000006112.0,CSG - Chronic simple glaucoma
Glaucoma,3041311000006118.0,Chronic angle-closure glaucoma
Glaucoma,3564451000006117.0,Intermittent angle-closure glaucoma
Glaucoma,3317631000006118.0,Normal tension glaucoma
Glaucoma,3753241000006110.5,POAG - Primary open-angle glaucoma
Glaucoma,6532921000006114.0,Phacomorphic glaucoma
Glaucoma,883291000006119.0,Primary closed-angle glaucoma
Glaucoma,3753211000006111.0,Primary open angle glaucoma
Glaucoma,4772381000006115.0,Secondary angle-closure glaucoma with pupil block
Glaucoma,298050010.0,Steroid-induced glaucoma glaucomatous stage
Glaucoma,7089411000006113.0,Needling of bleb following glaucoma surgery
Glaucoma,383421000000110.0,Needling of bleb following glaucoma surgery
Glaucoma,378721000000118.0,Other specified operations following glaucoma surgery
Glaucoma,249331000006112.0,Pan retinal photocoagulation for glaucoma
Glaucoma,802901000006112.0,Glaucoma - absolute
Glaucoma,40268016.0,Glaucoma
Glaucoma,264071000006115.0,Open angle glaucoma with borderline intraocular pressure
Glaucoma,140102012.0,Open-angle glaucoma
Glaucoma,298034019.0,Unspecified open-angle glaucoma
Glaucoma,503452018.0,Primary open-angle glaucoma
Glaucoma,141721000006112.0,Simple chronic glaucoma
Glaucoma,734071000006115.0,Low tension glaucoma
Glaucoma,495680018.0,Normal pressure glaucoma
Glaucoma,47081000006113.0,Open-angle glaucoma residual stage
Glaucoma,298042018.0,Open-angle glaucoma NOS
Glaucoma,1486268015.0,Primary angle-closure glaucoma
Glaucoma,560611000006117.0,Closed angle glaucoma
Glaucoma,298047012.0,Unspecified primary angle-closure glaucoma
Glaucoma,770481000006118.0,Intermittent primary angle-closure glaucoma
Glaucoma,556201000006114.0,Chronic primary angle-closure glaucoma
Glaucoma,298048019.0,Primary angle-closure glaucoma residual stage
Glaucoma,347744010.0,Plateau iris
Glaucoma,298049010.0,Primary angle-closure glaucoma NOS
Glaucoma,298072012.0,Other specified forms of glaucoma
Glaucoma,84105018.0,Low tension glaucoma
Glaucoma,298074013.0,Other specified glaucoma NOS
Glaucoma,298075014.0,Glaucoma NOS
Glaucoma,1232965011.0,Glaucomatous subcapsular flecks
Glaucoma,1220514012.0,Optic disc glaucomatous atrophy
Glaucoma,388091000006115.0,[X]Glaucoma
