Condition,MedCodeId,Term
Hypoparathyroidism,297635015.0,Myopathy due to endocrine disease EC
Hypoparathyroidism,3441491000006113.0,Muscle disease related to endocrine disease
Hypoparathyroidism,3095731000006119.0,Deficiency of parathyrin
Hypoparathyroidism,3095741000006112.0,Deficiency of PTH
Hypoparathyroidism,3441501000006117.0,Muscle disorders associated with endocrine disease
Hypoparathyroidism,356185013.0,Idiopathic hypoparathyroidism
Hypoparathyroidism,297636019.0,Myopathy due to endocrine disease NOS
Hypoparathyroidism,3441481000006110.0,Endocrine myopathy
Hypoparathyroidism,61678012.0,Hypoparathyroidism
Hypoparathyroidism,292683010.0,Hypoparathyroidism NOS
Hypoparathyroidism,293765015.0,[X]Other hypoparathyroidism
Hypoparathyroidism,3095721000006117.0,Deficiency of parathyroid hormone
Hypoparathyroidism,985661000006115.0,Curettage of adenoid
Hypoparathyroidism,230871000006114.0,Pharynx operations
Hypoparathyroidism,3458111000006115.0,Parathyroid hormone resistant hypoparathyroidism
Hypoparathyroidism,2964961000006113.0,Ts and As - Tonsillectomy and adenoidectomy
Hypoparathyroidism,3458101000006118.0,Familial pseudohypoparathyroidism
Hypoparathyroidism,4321841000006113.5,As - Adenoidectomy
Hypoparathyroidism,4321861000006113.0,Ads - Adenoidectomy
Hypoparathyroidism,2964941000006114.0,Tonsillectomy with adenoidectomy
Hypoparathyroidism,3458121000006111.0,Constitutional chronic hypocalcaemia
Hypoparathyroidism,2964951000006111.0,Adenotonsillectomy
Hypoparathyroidism,7058361000006117.0,Plasma mediated ablation tonsillectomy
Hypoparathyroidism,4312111000006116.0,Pharynx procedure
Hypoparathyroidism,4312091000006113.0,Procedure on pharynx
Hypoparathyroidism,4312101000006119.0,Pharyngeal procedure
Hypoparathyroidism,2674425016.0,Coblation tonsillectomy
Hypoparathyroidism,268496017.0,Dissection tonsillectomy and adenoidectomy
Hypoparathyroidism,268497014.0,Guillotine tonsillectomy and adenoidectomy
Hypoparathyroidism,460600014.0,Adenoidectomy
Hypoparathyroidism,484011019.0,Tonsillectomy and adenoidectomy
Hypoparathyroidism,498253016.0,Pseudohypoparathyroidism
Hypoparathyroidism,267827011.0,Pharynx operations NOS
Hypoparathyroidism,356191010.0,Pseudopseudohypoparathyroidism
Hypoparathyroidism,3458091000006112.0,Constitutional chronic hypocalcemia
Hypoparathyroidism,862271000006112.0,Tonsillectomy + adenoidectomy
Hypoparathyroidism,317139015.0,[D]Tetany
Hypoparathyroidism,317140018.0,[D]Carpopedal spasm
Hypoparathyroidism,317141019.0,[D]Tetany NOS
