Condition,MedCodeId,Term
In situ neoplasms,4006901000006117.0,Carcinoma in situ of gingiva
In situ neoplasms,4007771000006112.0,Carcinoma in situ of mesopharynx
In situ neoplasms,4007711000006115.0,Carcinoma in situ of epipharynx
In situ neoplasms,4006741000006118.5,FOM - Carcinoma in situ of floor of mouth
In situ neoplasms,4007641000006110.5,Cancer in situ of mouth
In situ neoplasms,4007781000006110.5,Cancer in situ of oropharynx
In situ neoplasms,4007721000006111.0,Carcinoma in situ of postnasal space
In situ neoplasms,4007001000006116.0,Carcinoma in situ of laryngopharynx
In situ neoplasms,4007761000006117.0,Carcinoma situ of oropharynx
In situ neoplasms,4007701000006118.5,PNS - carcinoma in situ of postnasal space
In situ neoplasms,4007961000006119.0,Cancer in situ of pharynx
In situ neoplasms,4006911000006119.0,Cancer in situ of gum
In situ neoplasms,5523431000006112.0,"Carcinoma in situ of lip, oral cavity and/or pharynx"
In situ neoplasms,1.1923431000006116e+16,"Carcinoma in situ of lip, oral cavity and pharynx"
In situ neoplasms,290718013.0,"Carcinoma in situ of lip, oral cavity and pharynx NOS"
In situ neoplasms,4007011000006118.5,Cancer in situ of hypopharynx
In situ neoplasms,153382013.0,Carcinoma in situ of tongue
In situ neoplasms,153229015.0,Carcinoma in situ of lip
In situ neoplasms,153265013.0,Carcinoma in situ of oropharynx
In situ neoplasms,153268010.0,Carcinoma in situ of palate
In situ neoplasms,153283017.0,Carcinoma in situ of pharynx
In situ neoplasms,290783010.0,Carcinoma in situ of aryepiglottic fold
In situ neoplasms,406054011.0,"Carcinoma in situ of lip, oral cavity and pharynx"
In situ neoplasms,510061019.0,Carcinoma in situ of oral cavity
In situ neoplasms,153169012.0,Carcinoma in situ of floor of mouth
In situ neoplasms,153258017.0,Carcinoma in situ of nasopharynx
In situ neoplasms,535731000006116.0,Carcinoma in situ of gums
In situ neoplasms,4006091000006113.0,Carcinoma in situ of buccal mucosa
In situ neoplasms,4009001000006111.0,Cancer in situ of tongue
In situ neoplasms,4006121000006112.0,Carcinoma in situ of internal cheek
In situ neoplasms,4007811000006112.0,Carcinoma in situ of roof of mouth
In situ neoplasms,4007621000006115.0,Carcinoma in situ of mouth
In situ neoplasms,4007691000006118.5,Carcinoma in situ of nasopharyngeal wall
In situ neoplasms,510029018.0,Carcinoma in situ of cheek
In situ neoplasms,153191017.0,Carcinoma in situ of hypopharynx
In situ neoplasms,536301000006117.0,Carcinoma in situ of salivary glands
In situ neoplasms,4006891000006116.0,Carcinoma in situ of gum
In situ neoplasms,4006111000006116.0,Carcinoma in situ of cheek mucosa
In situ neoplasms,4009181000006118.5,Carcinoma in situ of upper 1/3 esophagus
In situ neoplasms,4007441000006113.0,Carcinoma in situ of lower 1/3 esophagus
In situ neoplasms,4009151000006113.5,Carcinoma in situ of upper third oesophagus
In situ neoplasms,4007421000006118.5,Carcinoma in situ of lower third of esophagus
In situ neoplasms,4009161000006111.0,Carcinoma in situ of upper third of esophagus
In situ neoplasms,4006571000006115.0,Carcinoma in situ of esophagus
In situ neoplasms,4009141000006112.0,Carcinoma in situ of upper third esophagus
In situ neoplasms,4006591000006119.0,Cancer in situ of oesophagus
In situ neoplasms,4007581000006115.0,Carcinoma in situ of middle third of esophagus
In situ neoplasms,4006581000006117.0,Cancer in situ of esophagus
In situ neoplasms,1217276019.0,Carcinoma in situ of upper 1/3 oesophagus
In situ neoplasms,290732010.0,Carcinoma in situ of oesophagus NOS
In situ neoplasms,1217274016.0,Carcinoma in situ of lower 1/3 oesophagus
In situ neoplasms,1217275015.0,Carcinoma in situ of middle 1/3 oesophagus
In situ neoplasms,4007411000006113.5,Carcinoma in situ of lower third of oesophagus
In situ neoplasms,4009131000006119.0,Carcinoma in situ of upper third of oesophagus
In situ neoplasms,201640017.0,Carcinoma in situ of oesophagus
