Condition,MedCodeId,Term
Ischaemic heart diseases,271088013.0,Allograft replacement of coronary artery
Ischaemic heart diseases,271098019.0,Prosthetic replacement of coronary artery
Ischaemic heart diseases,256458014.0,ECG: subendocardial infarct
Ischaemic heart diseases,256454011.0,ECG: old myocardial infarction
Ischaemic heart diseases,256459018.0,ECG: lateral infarction
Ischaemic heart diseases,635641000006111.0,ECG:shows myocardial ischaemia
Ischaemic heart diseases,256457016.0,ECG:posterior/inferior infarct
Ischaemic heart diseases,271114019.0,Connection of mammary artery to coronary artery
Ischaemic heart diseases,1228282017.0,Saphenous vein graft replacement of coronary artery
Ischaemic heart diseases,256455012.0,ECG: antero-septal infarct.
Ischaemic heart diseases,262247015.0,Coronary arteriograph.abnormal
Ischaemic heart diseases,271080018.0,Other autograft replacement of coronary artery
Ischaemic heart diseases,89711000006118.0,Transluminal balloon angioplasty of coronary artery
Ischaemic heart diseases,271129017.0,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,271105012.0,Revision of bypass for coronary artery
Ischaemic heart diseases,262243016.0,Angiocardiography abnormal
Ischaemic heart diseases,2115181000000110.0,Coronary microvascular disease
Ischaemic heart diseases,496991000006111.0,Atherosclerotic cardiovascular disease
Ischaemic heart diseases,119481012.0,Ventricular fibrillation
Ischaemic heart diseases,1550991000000116.0,Coronary artery bypass graft operation planned
Ischaemic heart diseases,271101015.0,Prosthetic replacement of three coronary arteries
Ischaemic heart diseases,142431000006114.0,Single implantation thoracic artery into coronary artery NEC
Ischaemic heart diseases,256460011.0,ECG: myocardial infarct NOS
Ischaemic heart diseases,299742017.0,Coronary thrombosis not resulting in myocardial infarction
Ischaemic heart diseases,394286010.0,Double anastomosis of mammary arteries to coronary arteries
Ischaemic heart diseases,460133017.0,Coronary heart disease annual review
Ischaemic heart diseases,7845011.0,Unstable angina
Ischaemic heart diseases,2117731000000119.0,Angina self-management plan agreed
Ischaemic heart diseases,271106013.0,Revision of bypass for one coronary artery
Ischaemic heart diseases,451132018.0,[V]Presence of coronary artery bypass graft
Ischaemic heart diseases,627951000006112.0,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,212061000006119.0,Postoperative transmural myocardial infarction anterior wall
Ischaemic heart diseases,456190010.0,Blood bicarbonate level
Ischaemic heart diseases,258968018.0,Cardiac enzymes abnormal
Ischaemic heart diseases,354901000000117.0,Percutaneous transluminal atherectomy of coronary artery
Ischaemic heart diseases,98087016.0,Angina decubitus
Ischaemic heart diseases,299808017.0,Subsequent myocardial infarction
Ischaemic heart diseases,460687010.0,[V]Presence of coronary angioplasty implant and graft
Ischaemic heart diseases,1221554018.0,Other autograft bypass of coronary artery
Ischaemic heart diseases,455422014.0,Postoperative subendocardial myocardial infarction
Ischaemic heart diseases,271108014.0,Revision of bypass for three coronary arteries
Ischaemic heart diseases,39773018.0,Coronary artery spasm
Ischaemic heart diseases,299776014.0,Other chronic ischaemic heart disease
Ischaemic heart diseases,459487012.0,Refractory angina
Ischaemic heart diseases,271081019.0,Autograft replacement of one coronary artery NEC
Ischaemic heart diseases,89332015.0,Atherosclerotic heart disease
Ischaemic heart diseases,458354017.0,Plasma troponin T level
Ischaemic heart diseases,271165010.0,Other replacement of coronary artery
Ischaemic heart diseases,161451000006116.0,Saphenous vein graft bypass of coronary artery
Ischaemic heart diseases,1489354011.0,Cardiac rehabilitation - phase 4
Ischaemic heart diseases,1232666014.0,Cardiac aneurysm
Ischaemic heart diseases,350354017.0,Silent myocardial ischaemia
Ischaemic heart diseases,484402013.0,Percutaneous transluminal laser coronary angioplasty
Ischaemic heart diseases,813961000006116.0,Haemopericardium/current comp folow acut myocard infarct
Ischaemic heart diseases,1654891000000110.0,Coronary angioplasty planned
Ischaemic heart diseases,1547671000006119.0,Percutaneous cor balloon angiop 3 more stents cor art NEC
Ischaemic heart diseases,2675882017.0,Percutaneous transluminal balloon angioplasty of artery
Ischaemic heart diseases,271092018.0,Allograft replacement of two coronary arteries
Ischaemic heart diseases,238641000006117.0,Percut transluminal balloon angioplasty one coronary artery
Ischaemic heart diseases,219521000000119.0,Attack - heart
Ischaemic heart diseases,494261017.0,Worsening angina
Ischaemic heart diseases,7847015.0,Crescendo angina
Ischaemic heart diseases,7844010.0,Preinfarction syndrome
Ischaemic heart diseases,299871010.0,Other forms of heart disease
Ischaemic heart diseases,264493019.0,Angina control - good
Ischaemic heart diseases,251679016.0,H/O: angina pectoris
Ischaemic heart diseases,256510015.0,ECG: Q wave NOS
Ischaemic heart diseases,238581000006112.0,Percut translum coronary thrombolytic therapy- streptokinase
Ischaemic heart diseases,72571000006115.0,Unstable angina
Ischaemic heart diseases,453269016.0,[V]Status following coronary angioplasty NOS
