Condition,MedCodeId,Term
Malignant neoplasms ,288407013.0,Malignant neoplasm of vermilion border of lip unspecified
Malignant neoplasms ,6243511000006111.0,Malignant tumor of lipstick area of upper lip
Malignant neoplasms ,6968521000006115.0,Malignant tumor of vermilion border of lip
Malignant neoplasms ,720801000006112.0,"Malignant neoplasm of upper lip, external"
Malignant neoplasms ,6243491000006117.0,Malignant tumor of vermilion border of upper lip
Malignant neoplasms ,288350019.0,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms ,288351015.0,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms ,288410018.0,"Malignant neoplasm of lip, vermilion border NOS"
Malignant neoplasms ,6243501000006113.0,Malignant tumour of lipstick area of upper lip
Malignant neoplasms ,1228504019.0,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms ,6243561000006114.0,Malignant tumor of lipstick area of lower lip
Malignant neoplasms ,6243541000006110.0,Malignant tumor of vermilion border of lower lip
Malignant neoplasms ,288354011.0,"Malignant neoplasm of lower lip, external"
Malignant neoplasms ,1228506017.0,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms ,724421000006114.0,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms ,288355012.0,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms ,6243551000006112.0,Malignant tumour of lipstick area of lower lip
Malignant neoplasms ,288409011.0,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms ,5572871000006116.0,Malignant tumour of lipstick area of lip
Malignant neoplasms ,5572881000006118.0,Malignant tumor of lipstick area of lip
Malignant neoplasms ,4745321000006111.0,Malignant tumor of inner aspect of upper lip
Malignant neoplasms ,4745261000006110.0,Malignant tumor of upper labial mucosa
Malignant neoplasms ,4745231000006118.0,Malignant tumour of inner aspect of upper lip
Malignant neoplasms ,4745241000006111.0,Malignant tumour of buccal aspect of upper lip
Malignant neoplasms ,4745311000006115.0,Malignant tumor of buccal aspect of upper lip
Malignant neoplasms ,4745221000006116.0,Malignant tumour of oral aspect of upper lip
Malignant neoplasms ,4745301000006118.0,Malig tumor of mucosa of upper lip
Malignant neoplasms ,4745341000006116.0,Malignant tumour of fraenum of upper lip
Malignant neoplasms ,4745351000006119.0,Malignant tumor of frenum of upper lip
Malignant neoplasms ,720791000006111.0,"Malignant neoplasm of upper lip, buccal aspect"
Malignant neoplasms ,4745251000006113.0,Malig tumour of mucosa of upper lip
Malignant neoplasms ,288362015.0,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms ,288363013.0,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms ,288364019.0,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms ,288372017.0,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms ,1.2704601000006112e+16,Malignant tumour of upper labial mucosa
Malignant neoplasms ,288377011.0,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms ,4745331000006114.0,Malignant tumor of oral aspect of upper lip
