Condition,MedCodeId,Term
"Neurotic, stress-related and somatoform disorders",882381000006115.0,Agoraphobia
"Neurotic, stress-related and somatoform disorders",1808521000006110.0,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",1.1920891000006112e+16,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",2665410014.0,Fear
"Neurotic, stress-related and somatoform disorders",1488717011.0,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",370038014.0,Specific fear
"Neurotic, stress-related and somatoform disorders",2549895012.0,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",402503018.0,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",402505013.0,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",675881000006115.0,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",488201000006114.0,Anxiety states
"Neurotic, stress-related and somatoform disorders",294953016.0,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",1210253015.0,Panic disorder
"Neurotic, stress-related and somatoform disorders",339044013.0,Panic attack
"Neurotic, stress-related and somatoform disorders",481154010.0,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",294960010.0,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",294963012.0,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",56251019.0,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",223631000000113.0,Phobic disorders
"Neurotic, stress-related and somatoform disorders",138401000006119.0,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",223641000000116.0,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",294991016.0,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",294992011.0,Agoraphobia with panic attacks
"Neurotic, stress-related and somatoform disorders",294993018.0,Agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",294994012.0,"Social phobia, fear of eating in public"
"Neurotic, stress-related and somatoform disorders",294995013.0,"Social phobia, fear of public speaking"
"Neurotic, stress-related and somatoform disorders",294996014.0,"Social phobia, fear of public washing"
"Neurotic, stress-related and somatoform disorders",1231321013.0,Animal phobia
"Neurotic, stress-related and somatoform disorders",33475016.0,Claustrophobia
"Neurotic, stress-related and somatoform disorders",294998010.0,Fear of crowds
"Neurotic, stress-related and somatoform disorders",370048011.0,Fear of flying
"Neurotic, stress-related and somatoform disorders",485870016.0,Cancer phobia
"Neurotic, stress-related and somatoform disorders",166341019.0,Fear of death
"Neurotic, stress-related and somatoform disorders",295004011.0,Fear of pregnancy
"Neurotic, stress-related and somatoform disorders",401780016.0,Phobic disorder NOS
"Neurotic, stress-related and somatoform disorders",295026012.0,Other neurotic disorders
"Neurotic, stress-related and somatoform disorders",295029017.0,Writer's cramp neurosis
"Neurotic, stress-related and somatoform disorders",295031014.0,Other occupational neurosis
"Neurotic, stress-related and somatoform disorders",295032019.0,Psychasthenic neurosis
"Neurotic, stress-related and somatoform disorders",295033012.0,Other neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",401783019.0,Neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",296224013.0,[X]Phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",362871000006111.0,[X]Agoraphobia
"Neurotic, stress-related and somatoform disorders",418051000006118.0,[X]Panic disorder with agoraphobia
"Neurotic, stress-related and somatoform disorders",427071000006115.0,[X]Social phobias
"Neurotic, stress-related and somatoform disorders",427061000006110.0,[X]Social neurosis
"Neurotic, stress-related and somatoform disorders",427231000006111.0,[X]Specific (isolated) phobias
"Neurotic, stress-related and somatoform disorders",362181000006117.0,[X]Acrophobia
"Neurotic, stress-related and somatoform disorders",363281000006117.0,[X]Animal phobias
"Neurotic, stress-related and somatoform disorders",371071000006117.0,[X]Claustrophobia
"Neurotic, stress-related and somatoform disorders",426871000006113.0,[X]Simple phobia
"Neurotic, stress-related and somatoform disorders",980191000006111.0,[X]Needle phobia
"Neurotic, stress-related and somatoform disorders",296236019.0,[X]Other phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",296237011.0,"[X]Phobic anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",420631000006114.0,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",420671000006112.0,[X]Phobic state NOS
"Neurotic, stress-related and somatoform disorders",296238018.0,[X]Other anxiety disorders
"Neurotic, stress-related and somatoform disorders",296239014.0,[X]Panic disorder [episodic paroxysmal anxiety]
"Neurotic, stress-related and somatoform disorders",418031000006113.0,[X]Panic attack
"Neurotic, stress-related and somatoform disorders",418061000006116.0,[X]Panic state
"Neurotic, stress-related and somatoform disorders",388071000006116.0,[X]Generalized anxiety disorder
"Neurotic, stress-related and somatoform disorders",363651000006111.0,[X]Anxiety neurosis
"Neurotic, stress-related and somatoform disorders",363671000006118.0,[X]Anxiety reaction
"Neurotic, stress-related and somatoform disorders",363681000006115.0,[X]Anxiety state
"Neurotic, stress-related and somatoform disorders",296245018.0,[X]Other mixed anxiety disorders
"Neurotic, stress-related and somatoform disorders",401881014.0,[X]Other specified anxiety disorders
"Neurotic, stress-related and somatoform disorders",363641000006114.0,[X]Anxiety hysteria
"Neurotic, stress-related and somatoform disorders",296249012.0,"[X]Anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",363661000006113.0,[X]Anxiety NOS
