Condition,MedCodeId,Term
Other forms of heart disease,299951017.0,Other diseases of pericardium
Other forms of heart disease,299955014.0,Adhesive pericarditis NOS
Other forms of heart disease,300888012.0,[X]Other specified diseases of pericardium
Other forms of heart disease,300891012.0,[X]Pericarditis in other diseases classified elsewhere
Other forms of heart disease,3407391000006115.0,Pericardial disorder
Other forms of heart disease,395763011.0,Other specified pericardial disease NOS
Other forms of heart disease,395764017.0,Other pericardial disease NOS
Other forms of heart disease,62911012.0,Adhesive pericarditis
Other forms of heart disease,299961012.0,Other diseases of pericardium OS
Other forms of heart disease,3107331000006115.0,Adherent pericardium
Other forms of heart disease,299958011.0,Constrictive pericarditis NOS
Other forms of heart disease,299957018.0,Pick's disease of heart
Other forms of heart disease,3891471000006112.0,Pick syndrome of heart
Other forms of heart disease,141891015.0,Constrictive pericarditis
Other forms of heart disease,71153013.0,Calcification of pericardium
Other forms of heart disease,3891481000006110.5,Pick disease of heart
Other forms of heart disease,2873431000006114.0,Haematopericardium
Other forms of heart disease,2873421000006111.0,Hematopericardium
Other forms of heart disease,2873411000006115.0,Hemopericardium
Other forms of heart disease,39303019.0,Haemopericardium
Other forms of heart disease,299981013.0,"Mitral incompetence, cause unspecified"
Other forms of heart disease,299596016.0,Mitral valve disease NOS
Other forms of heart disease,5560091000006116.0,Heart valve disorders - non-rheumatic
Other forms of heart disease,3288531000006110.0,Mitral insufficiency
Other forms of heart disease,412241000006110.0,[X]Other nonrheumatic mitral valve disorders
Other forms of heart disease,5560081000006119.0,Non-rheumatic heart valve disorder
Other forms of heart disease,3288521000006112.0,MR - Mitral regurgitation
Other forms of heart disease,2688731000006112.0,MVD - Mitral valve disease
Other forms of heart disease,884271000006117.0,Non-rheum. mitral incompetence
Other forms of heart disease,299984017.0,Mitral valve disorders NOS
Other forms of heart disease,300863016.0,[X]Other mitral valve diseases
Other forms of heart disease,3288511000006116.0,MI - Mitral incompetence
Other forms of heart disease,4776741000006111.0,Non-rheumatic mitral regurgitation
Other forms of heart disease,81186016.0,Mitral valve regurgitation
Other forms of heart disease,81192010.0,Mitral valve insufficiency
Other forms of heart disease,299980014.0,"Mitral incompetence, non-rheumatic"
Other forms of heart disease,883991000006114.0,Chronic rheumatic mitral valve
Other forms of heart disease,81191015.0,Mitral valve incompetence
Other forms of heart disease,818841000006115.0,Heart valve disorders - non rheumatic
Other forms of heart disease,3288481000006112.0,Mitral valve incompetence
Other forms of heart disease,300896019.0,[X]Mitral valve disorders in diseases classified elsewhere
Other forms of heart disease,81193017.0,Mitral regurgitation
Other forms of heart disease,219511000000113.0,Mitral valve diseases
Other forms of heart disease,700891000006114.0,Mitral valve prolapse
Other forms of heart disease,5294141000006112.0,Mitral cusp prolapse
Other forms of heart disease,5294151000006114.0,Mitral leaf prolapse
Other forms of heart disease,374120018.0,Mitral valve leaf prolapse
Other forms of heart disease,2471474013.0,Mitral valve prolapse
Other forms of heart disease,6782861000006115.0,MVP - Mitral valve prolapse
Other forms of heart disease,585851000006114.0,Nonrheumatic mitral valve stenosis
Other forms of heart disease,4775551000006111.0,Non-rheumatic mitral valve stenosis
Other forms of heart disease,3794891000006110.5,MS - Mitral stenosis
Other forms of heart disease,3794881000006112.0,Mitral valve stenosis
Other forms of heart disease,1234383014.0,Mitral stenosis
Other forms of heart disease,300893010.0,[X]Other aortic valve disorders
Other forms of heart disease,299990018.0,"Aortic stenosis alone, cause unspecified"
Other forms of heart disease,299992014.0,Aortic valve disorders NOS
Other forms of heart disease,1232103019.0,Aortic stenosis
Other forms of heart disease,2639211000006112.0,AVD - Aortic valve disease
Other forms of heart disease,488521000006118.0,Aortic valve disorders
Other forms of heart disease,1.1927251000006116e+16,Aortic stenosis
Other forms of heart disease,3483891000006117.0,Stenosed aortic valve
Other forms of heart disease,3483911000006115.0,AS - Aortic stenosis
Other forms of heart disease,300897011.0,[X]Aortic valve disorders in diseases classified elsewhere
Other forms of heart disease,299988019.0,"Aortic stenosis, non-rheumatic"
Other forms of heart disease,299989010.0,"Aortic incompetence alone, cause unspecified"
Other forms of heart disease,1222314017.0,"Aortic insufficiency alone, cause unspecified"
Other forms of heart disease,1222315016.0,"Aortic regurgitation alone, cause unspecified"
Other forms of heart disease,4776791000006119.0,"Aortic valve regurgitation, nonrheumatic"
Other forms of heart disease,3478261000006114.0,Aortic valve incompetence
Other forms of heart disease,3478301000006117.0,AR - Aortic regurgitation
Other forms of heart disease,3478251000006112.0,Aortic valve insufficiency
Other forms of heart disease,3478281000006116.0,Aortic incompetence
Other forms of heart disease,884281000006119.0,Non-rheumatic aortic sclerosis
