Condition,MedCodeId,Term
Cerebrovascular diseases,493147010.0,Blood cross-matching
Cerebrovascular diseases,257730012.0,Minor blood groups
Cerebrovascular diseases,437761000006110.0,ABO blood grouping
Cerebrovascular diseases,122371000006118.0,Stroke due to intracerebral haemorrhage
Cerebrovascular diseases,495394013.0,Cortical haemorrhage
Cerebrovascular diseases,300322016.0,Cerebral infarction due to embolism of cerebral arteries
Cerebrovascular diseases,300290016.0,Other and unspecified intracranial haemorrhage
Cerebrovascular diseases,395777014.0,Precerebral arterial occlusion
Cerebrovascular diseases,345655015.0,Pure motor lacunar syndrome
Cerebrovascular diseases,7845011.0,Unstable angina
Cerebrovascular diseases,299711010.0,Lateral myocardial infarction NOS
Cerebrovascular diseases,744901000006114.0,Intracerebral haemorrhage
Cerebrovascular diseases,300277011.0,"Intracerebral haemorrhage, intraventricular"
Cerebrovascular diseases,744921000006116.0,"Intracerebral haemorrhage in hemisphere, unspecified"
Cerebrovascular diseases,1786198013.0,Thrombosis - coronary
Cerebrovascular diseases,299710011.0,Posterior myocardial infarction NOS
Cerebrovascular diseases,256460011.0,ECG: myocardial infarct NOS
Cerebrovascular diseases,299813018.0,Subsequent myocardial infarction of other sites
Cerebrovascular diseases,123491000006115.0,Subarachnoid haemorrhage from basilar artery
Cerebrovascular diseases,299808017.0,Subsequent myocardial infarction
Cerebrovascular diseases,299811016.0,Subsequent myocardial infarction of anterior wall
Cerebrovascular diseases,300242011.0,Ruptured berry aneurysm
Cerebrovascular diseases,256452010.0,ECG: myocardial infarction
Cerebrovascular diseases,300370010.0,Left sided CVA
Cerebrovascular diseases,300321011.0,Cerebral infarction due to thrombosis of cerebral arteries
Cerebrovascular diseases,605491000006113.0,CVA - Cerebrovascular accident unspecified
Cerebrovascular diseases,300309012.0,Vertebral artery occlusion
Cerebrovascular diseases,218481000000111.0,Cardio-respiratory arrest
Cerebrovascular diseases,455422014.0,Postoperative subendocardial myocardial infarction
Cerebrovascular diseases,67081000006119.0,Ventric septal defect/curr comp fol acut myocardal infarctn
Cerebrovascular diseases,813961000006116.0,Haemopericardium/current comp folow acut myocard infarct
Cerebrovascular diseases,503469016.0,Pontine haemorrhage
Cerebrovascular diseases,2472090018.0,Cardiac arrest
Cerebrovascular diseases,299714019.0,Inferior myocardial infarction NOS
Cerebrovascular diseases,350376014.0,Silent myocardial infarction
Cerebrovascular diseases,483988011.0,Bulbar haemorrhage
Cerebrovascular diseases,212071000006114.0,Postoperative transmural myocardial infarction inferior wall
Cerebrovascular diseases,1786197015.0,Coronary thrombosis
Cerebrovascular diseases,605471000006112.0,CVA - cerebrovascular accid due to intracerebral haemorrhage
Cerebrovascular diseases,300363010.0,Anterior cerebral artery syndrome
Cerebrovascular diseases,543141000006110.0,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Cerebrovascular diseases,300253017.0,Subarachnoid haemorrhage from vertebral artery
Cerebrovascular diseases,350487017.0,Cardiac arrest with successful resuscitation
Cerebrovascular diseases,537191000006113.0,Cardiac arrest-ventricular fibrillation
Cerebrovascular diseases,300244012.0,Subarachnoid haemorrhage from carotid siphon and bifurcation
Cerebrovascular diseases,118831000006118.0,Subsequent myocardial infarction of unspecified site
Cerebrovascular diseases,123481000006118.0,Subarachnoid haemorrhage from anterior communicating artery
Cerebrovascular diseases,163261000006119.0,"Right sided intracerebral haemorrhage, unspecified"
Cerebrovascular diseases,123521000006118.0,Subarachnoid haemorrhage from posterior communicating artery
Cerebrovascular diseases,481028017.0,Subarachnoid haemorrhage
Cerebrovascular diseases,123511000006114.0,Subarachnoid haemorrhage from middle cerebral artery
Cerebrovascular diseases,1777430012.0,Asystole
Cerebrovascular diseases,748941000006115.0,"Left sided intracerebral haemorrhage, unspecified"
Cerebrovascular diseases,300371014.0,Right sided CVA
Cerebrovascular diseases,682481000006118.0,Myocardial infarction aborted
Cerebrovascular diseases,72571000006115.0,Unstable angina
Cerebrovascular diseases,212061000006119.0,Postoperative transmural myocardial infarction anterior wall
Cerebrovascular diseases,503791000006114.0,Basal nucleus haemorrhage
Cerebrovascular diseases,537751000006115.0,Cardiac rupture following myocardial infarction (MI)
Cerebrovascular diseases,208365015.0,Postoperative myocardial infarction
Cerebrovascular diseases,300276019.0,External capsule haemorrhage
Cerebrovascular diseases,299707016.0,Other specified anterior myocardial infarction
Cerebrovascular diseases,660111000006117.0,Extradural haemorrhage - nontraumatic
Cerebrovascular diseases,300364016.0,Posterior cerebral artery syndrome
Cerebrovascular diseases,299712015.0,True posterior myocardial infarction
Cerebrovascular diseases,502878012.0,Cerebellar haemorrhage
Cerebrovascular diseases,122361000006113.0,Stroke due to cerebral arterial occlusion
Cerebrovascular diseases,123441000006112.0,"Subarachnoid haemorrh from intracranial artery, unspecif"
Cerebrovascular diseases,524511000006116.0,Brain stem stroke syndrome
Cerebrovascular diseases,746571000006116.0,"Intracerebral haemorrhage, multiple localized"
Cerebrovascular diseases,345639010.0,Infarction - precerebral
Cerebrovascular diseases,2619484018.0,MI - Myocardial infarction aborted
Cerebrovascular diseases,345658018.0,Pure sensory lacunar syndrome
Cerebrovascular diseases,542251000006112.0,"Cereb infarct due cerebral venous thrombosis, nonpyogenic"
Cerebrovascular diseases,125470015.0,Cerebral embolism
Cerebrovascular diseases,605501000006117.0,CVA unspecified
Cerebrovascular diseases,299812011.0,Subsequent myocardial infarction of inferior wall
Cerebrovascular diseases,542831000006116.0,Cerebral embolus
Cerebrovascular diseases,496232015.0,Internal capsule haemorrhage
Cerebrovascular diseases,300366019.0,Cerebellar stroke syndrome
Cerebrovascular diseases,405339016.0,Stroke and cerebrovascular accident unspecified
Cerebrovascular diseases,300294013.0,Subdural haemorrhage - nontraumatic
Cerebrovascular diseases,118689010.0,Cerebral thrombosis
Cerebrovascular diseases,800691000006113.0,Generalised ischaemic cerebrovascular disease NOS
Cerebrovascular diseases,542261000006114.0,Cereb infarct due unsp occlus/stenos precerebr arteries
Cerebrovascular diseases,158601000006116.0,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
Cerebrovascular diseases,218511000000117.0,Infarction - cerebral
Cerebrovascular diseases,122401000006115.0,Stroke unspecified
Cerebrovascular diseases,2474651019.0,Infarction of basal ganglia
Cerebrovascular diseases,451133011.0,Left sided cerebral infarction
Cerebrovascular diseases,300312010.0,Cerebral infarct due to thrombosis of precerebral arteries
