Condition,MedCodeId,Term
Chronic rheumatic heart diseases,505828015.0,Rheumatic mitral valve disease
Chronic rheumatic heart diseases,1234383014.0,Mitral stenosis
Chronic rheumatic heart diseases,143386015.0,Rheumatic mitral stenosis
Chronic rheumatic heart diseases,52032016.0,Rheumatic mitral insufficiency
Chronic rheumatic heart diseases,1227426018.0,Mitral incompetence - rheumatic
Chronic rheumatic heart diseases,700741000006112.0,Mitral regurgitation - rheumatic
Chronic rheumatic heart diseases,299591014.0,Mitral stenosis with insufficiency
Chronic rheumatic heart diseases,299593012.0,Mitral stenosis with incompetence
Chronic rheumatic heart diseases,299592019.0,Mitral stenosis with regurgitation
Chronic rheumatic heart diseases,20721017.0,Rheumatic aortic valve disease
Chronic rheumatic heart diseases,119660019.0,Rheumatic aortic stenosis
Chronic rheumatic heart diseases,129504017.0,Rheumatic aortic insufficiency
Chronic rheumatic heart diseases,1234202016.0,Aortic incompetence - rheumatic
Chronic rheumatic heart diseases,488451000006114.0,Aortic regurgitation - rheumatic
Chronic rheumatic heart diseases,30011012.0,Rheumatic aortic stenosis with insufficiency
Chronic rheumatic heart diseases,299597013.0,Rheumatic aortic valve disease NOS
Chronic rheumatic heart diseases,168601000006114.0,Rheumatic tricuspid stenosis
Chronic rheumatic heart diseases,1232960018.0,Rheumatic tricuspid insufficiency
Chronic rheumatic heart diseases,87501000006118.0,Tricuspid regurgitation - rheumatic
Chronic rheumatic heart diseases,1232958015.0,Tricuspid incompetence - rheumatic
Chronic rheumatic heart diseases,299620010.0,Rheumatic tricuspid stenosis and insufficiency
Chronic rheumatic heart diseases,299619016.0,Rheumatic tricuspid stenosis and regurgitation
Chronic rheumatic heart diseases,299618012.0,Rheumatic tricuspid stenosis and incompetence
Chronic rheumatic heart diseases,299624018.0,Rheumatic tricuspid valve disease NOS
Chronic rheumatic heart diseases,31507017.0,Rheumatic pulmonary valve disease
Chronic rheumatic heart diseases,168541000006110.0,Rheumatic pulmonary stenosis
Chronic rheumatic heart diseases,1228148017.0,Rheumatic pulmonary insufficiency
Chronic rheumatic heart diseases,1495489016.0,Rheumatic pulmonary stenosis and insufficiency
Chronic rheumatic heart diseases,299626016.0,Rheumatic pulmonary valve disease NOS
Chronic rheumatic heart diseases,168651000006113.0,"Rheumatic valvulitis, chronic NOS"
Chronic rheumatic heart diseases,300864010.0,[X]Other rheumatic aortic valve diseases
