Condition,MedCodeId,Term
Conductive and sensorineural hearing loss,3301551000006118.0,Age-related hearing loss
Conductive and sensorineural hearing loss,80699013.0,Articulatory defect due to conductive hearing loss
Conductive and sensorineural hearing loss,3283701000006115.0,Articulatory defect secondary to hearing loss
Conductive and sensorineural hearing loss,2410391000000119.0,Articulatory impairment due to conductive hearing loss
Conductive and sensorineural hearing loss,3209511000006111.0,CHL - Conductive hearing loss
Conductive and sensorineural hearing loss,3890851000006110.5,Cochlear hearing loss
Conductive and sensorineural hearing loss,2636241000006117.0,Complete deafness
Conductive and sensorineural hearing loss,2985721000006119.0,FHL - Functional hearing loss
Conductive and sensorineural hearing loss,2985711000006110.0,Functional hearing loss
Conductive and sensorineural hearing loss,989081000006119.0,Hearing loss NOS
Conductive and sensorineural hearing loss,2740701000006119.0,Impaired hearing
Conductive and sensorineural hearing loss,3890861000006112.0,Inner ear hearing loss
Conductive and sensorineural hearing loss,3761251000006115.0,MHL - Mixed hearing loss
Conductive and sensorineural hearing loss,3761211000006116.0,Mixed conductive AND sensorineural hearing loss
Conductive and sensorineural hearing loss,1234121015.0,Mixed deafness
Conductive and sensorineural hearing loss,3693771000006111.0,NIHL - Noise-induced hearing loss
Conductive and sensorineural hearing loss,2985691000006112.0,NOHL - Non-organic hearing loss
Conductive and sensorineural hearing loss,2985701000006112.0,Non-organic hearing loss
Conductive and sensorineural hearing loss,8306171000006110.0,Profound BSNHL (bilateral sensorineural hearing loss)
Conductive and sensorineural hearing loss,3693061000006119.0,Retrocochlear hearing loss
Conductive and sensorineural hearing loss,3486111000006112.0,SNHL - Sensorineural hearing loss
Conductive and sensorineural hearing loss,100854015.0,Sensorineural deafness
Conductive and sensorineural hearing loss,3486101000006114.0,Sensory-neural hearing loss
Conductive and sensorineural hearing loss,7976771000006115.0,Severe hearing loss
Conductive and sensorineural hearing loss,4775301000006119.0,Unilateral conductive hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,4775371000006113.0,Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,4775341000006117.0,Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,423945013.0,Does use hearing aid
Conductive and sensorineural hearing loss,2740721000006112.0,Hard of hearing
Conductive and sensorineural hearing loss,2740731000006110.0,Hearing impairment
Conductive and sensorineural hearing loss,2740771000006113.0,HI - Hearing impairment
Conductive and sensorineural hearing loss,2740761000006118.0,HL - Hearing loss
Conductive and sensorineural hearing loss,2740711000006116.0,HOH - Hard of hearing
Conductive and sensorineural hearing loss,4574411000006111.0,O/E - conductive deafness
Conductive and sensorineural hearing loss,1.190297100000611e+16,Unilateral deafness
Conductive and sensorineural hearing loss,5696501000006110.0,Uses hearing aid
Conductive and sensorineural hearing loss,608101000006118.0,Deafness
Conductive and sensorineural hearing loss,407075014.0,Deafness symptom
Conductive and sensorineural hearing loss,253161014.0,Unilateral deafness
Conductive and sensorineural hearing loss,470343013.0,Partial deafness
Conductive and sensorineural hearing loss,253163012.0,Bilateral deafness
Conductive and sensorineural hearing loss,411844019.0,O/E - deaf
Conductive and sensorineural hearing loss,255426014.0,O/E - significantly deaf
Conductive and sensorineural hearing loss,255427017.0,O/E - very deaf
Conductive and sensorineural hearing loss,255428010.0,O/E - completely deaf
Conductive and sensorineural hearing loss,255434015.0,O/E - conductive deafness
Conductive and sensorineural hearing loss,413668018.0,Hearing aid worn
Conductive and sensorineural hearing loss,772531000006119.0,Insertn bone anchors subcutaneous bone anchored hearing aid
Conductive and sensorineural hearing loss,1586421000006110.0,Second stage ins fixtures for bone anchored hearing prosth
Conductive and sensorineural hearing loss,207971000006112.0,Presbyacusis
Conductive and sensorineural hearing loss,148351000006111.0,Senile presbyacusis
Conductive and sensorineural hearing loss,121916015.0,Noise-induced hearing loss
Conductive and sensorineural hearing loss,587171000006119.0,Noise induced deafness
Conductive and sensorineural hearing loss,25788011.0,Hearing loss
Conductive and sensorineural hearing loss,25785014.0,Deafness
Conductive and sensorineural hearing loss,73470015.0,Conductive hearing loss
Conductive and sensorineural hearing loss,73473018.0,Conductive deafness
Conductive and sensorineural hearing loss,299240012.0,Unspecified conductive hearing loss
Conductive and sensorineural hearing loss,299241011.0,Conductive hearing loss due to disorder of external ear
Conductive and sensorineural hearing loss,299242016.0,Conductive hearing loss due to disorder of tympanic membrane
Conductive and sensorineural hearing loss,299243014.0,Conductive hearing loss due to disorder of middle ear
Conductive and sensorineural hearing loss,299244015.0,Conductive hearing loss due to disorder of inner ear
Conductive and sensorineural hearing loss,299245019.0,"Conductive hearing loss, bilateral"
Conductive and sensorineural hearing loss,578361000006118.0,"Conduct hear loss,unilat+unrestric hearing on contralat side"
Conductive and sensorineural hearing loss,299247010.0,Combined conductive hearing loss
Conductive and sensorineural hearing loss,299248017.0,Conductive hearing loss NOS
Conductive and sensorineural hearing loss,100850012.0,Sensorineural hearing loss
Conductive and sensorineural hearing loss,822981000006112.0,High frequency deafness
Conductive and sensorineural hearing loss,733941000006114.0,Low frequency deafness
Conductive and sensorineural hearing loss,100857010.0,Perceptive deafness
Conductive and sensorineural hearing loss,100856018.0,Perceptive hearing loss
Conductive and sensorineural hearing loss,299255015.0,Unspecified perceptive hearing loss
Conductive and sensorineural hearing loss,141844010.0,Sensory hearing loss
Conductive and sensorineural hearing loss,121849011.0,Neural hearing loss
Conductive and sensorineural hearing loss,502417018.0,Nerve deafness
Conductive and sensorineural hearing loss,113719012.0,Central hearing loss
Conductive and sensorineural hearing loss,399507018.0,Ototoxicity - deafness
Conductive and sensorineural hearing loss,411470013.0,Drug ototoxicity - deafness
Conductive and sensorineural hearing loss,299259014.0,"Sensorineural hearing loss, bilateral"
Conductive and sensorineural hearing loss,148551000006115.0,"Sensorineurl hear loss,unilat unrestrict hear/contralat side"
Conductive and sensorineural hearing loss,2264121000000111.0,Bilateral profound sensorineural hearing loss
Conductive and sensorineural hearing loss,2226361000000116.8,Profound sensorineural hearing loss
Conductive and sensorineural hearing loss,2226281000000116.8,Moderate sensorineural hearing loss
Conductive and sensorineural hearing loss,2226381000000114.0,Mild sensorineural hearing loss
Conductive and sensorineural hearing loss,2226301000000116.0,Severe sensorineural hearing loss
Conductive and sensorineural hearing loss,299261017.0,Combined perceptive hearing loss
Conductive and sensorineural hearing loss,299262012.0,Perceptive hearing loss NOS
Conductive and sensorineural hearing loss,1234118017.0,Mixed conductive and sensorineural deafness
Conductive and sensorineural hearing loss,1234119013.0,Mixed hearing loss
Conductive and sensorineural hearing loss,700951000006112.0,"Mix cond/sensneurl hear loss,unlat unrestrc hear/contrlat sd"
Conductive and sensorineural hearing loss,299264013.0,"Mixed conductive and sensorineural hearing loss, bilateral"
Conductive and sensorineural hearing loss,299265014.0,"Deaf mutism, NEC"
Conductive and sensorineural hearing loss,348076010.0,High frequency deafness
Conductive and sensorineural hearing loss,70962017.0,Low frequency deafness
Conductive and sensorineural hearing loss,622201000000110.0,Maternally inherited deafness
Conductive and sensorineural hearing loss,1173611000000119.0,Mild acquired hearing loss
Conductive and sensorineural hearing loss,1173631000000110.0,Moderate acquired hearing loss
Conductive and sensorineural hearing loss,1173651000000115.0,Severe acquired hearing loss
Conductive and sensorineural hearing loss,1173671000000112.0,Profound acquired hearing loss
