Condition,MedCodeId,Term
"Disorders of gallbladder, biliary tract and pancreas",303789013.0,[X]Other cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",303790016.0,[X]Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303791017.0,[X]Other specified diseases of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303544014.0,Gallbladder calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303548012.0,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303569014.0,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",303570010.0,Cholelithiasis without obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",303571014.0,Cholelithiasis with obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",303573012.0,Other gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",303581013.0,Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303582018.0,Other cholecystitis OS
"Disorders of gallbladder, biliary tract and pancreas",303583011.0,Cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",303621019.0,Obstruction of bile duct NOS
"Disorders of gallbladder, biliary tract and pancreas",303607016.0,Other specified gallbladder disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",5493111000006114.0,CL - Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",270901000006111.0,O/E: gall stone
"Disorders of gallbladder, biliary tract and pancreas",270911000006114.0,O/E: gall stone NOS
"Disorders of gallbladder, biliary tract and pancreas",5493141000006113.0,Calculus in biliary tract
"Disorders of gallbladder, biliary tract and pancreas",4610321000006115.0,On examination - gallstone
"Disorders of gallbladder, biliary tract and pancreas",551611000006117.0,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",798041000006110.0,Gallbladder calculus without mention cholecystitis +no obstr
"Disorders of gallbladder, biliary tract and pancreas",798051000006112.0,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",3745521000006115.0,Inflamed gallbladder
"Disorders of gallbladder, biliary tract and pancreas",5087361000006114.0,Gallbladder stones
"Disorders of gallbladder, biliary tract and pancreas",5087341000006110.0,Cholecystolithiasis
"Disorders of gallbladder, biliary tract and pancreas",3137411000006114.0,Gallbladder disease
"Disorders of gallbladder, biliary tract and pancreas",303608014.0,Other gallbladder disorders NOS
"Disorders of gallbladder, biliary tract and pancreas",797991000006115.0,Gallbladder calculus with other cholecystitis + obstruct
"Disorders of gallbladder, biliary tract and pancreas",798001000006113.0,Gallbladder calculus with other cholecystitis +no obstruct
"Disorders of gallbladder, biliary tract and pancreas",798011000006111.0,Gallbladder calculus with other cholecystitis - obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",353657018.0,Gallstones
"Disorders of gallbladder, biliary tract and pancreas",303588019.0,Stenosis of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",303612015.0,Obliterative cholangitis
"Disorders of gallbladder, biliary tract and pancreas",50437010.0,Obstruction of bile duct
"Disorders of gallbladder, biliary tract and pancreas",88465016.0,Stasis of bile duct
"Disorders of gallbladder, biliary tract and pancreas",119489014.0,Chronic cholangitis
"Disorders of gallbladder, biliary tract and pancreas",396396018.0,Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",396398017.0,Stone - biliary
"Disorders of gallbladder, biliary tract and pancreas",886541000006118.0,Calculus of gall bladder
"Disorders of gallbladder, biliary tract and pancreas",886531000006111.0,Calculus of bile duct
"Disorders of gallbladder, biliary tract and pancreas",396399013.0,Calculus - biliary
"Disorders of gallbladder, biliary tract and pancreas",303587012.0,Occlusion of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",303589010.0,Obstruction of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",303601015.0,Other specified gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",798021000006115.0,Gallbladder calculus without cholecystitis and obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",2914881000006114.0,Biliary calculus with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",5087381000006116.0,GS - Gallstone
"Disorders of gallbladder, biliary tract and pancreas",353659015.0,Gallbladder calculus
"Disorders of gallbladder, biliary tract and pancreas",17750014.0,Recurrent cholangitis
"Disorders of gallbladder, biliary tract and pancreas",3643931000006119.0,"Cholelithiasis, non obstructive"
"Disorders of gallbladder, biliary tract and pancreas",2914891000006112.0,Cholelithiasis with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",5493091000006117.0,Biliary calculus
"Disorders of gallbladder, biliary tract and pancreas",4610341000006110.0,On examination - cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",270801000006117.0,O/E: cholesterol gall stone
"Disorders of gallbladder, biliary tract and pancreas",271011000006117.0,O/E: pigment gall stone
"Disorders of gallbladder, biliary tract and pancreas",4610331000006117.0,O/E: cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",4610361000006114.0,On examination - pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",4610351000006112.0,O/E: pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",221151000000113.0,Cystic duct calculus
"Disorders of gallbladder, biliary tract and pancreas",28704010.0,Fistula of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",353697015.0,Gallstone chronic pancreatitis
"Disorders of gallbladder, biliary tract and pancreas",303600019.0,Fistula of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",303599017.0,Cholecystogastric fistula
"Disorders of gallbladder, biliary tract and pancreas",798031000006117.0,Gallbladder calculus without mention cholecystitis + obstruc
"Disorders of gallbladder, biliary tract and pancreas",34148013.0,Cholecystoenteric fistula
"Disorders of gallbladder, biliary tract and pancreas",303557018.0,Bile duct calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303618016.0,Other cholangitis
"Disorders of gallbladder, biliary tract and pancreas",303619012.0,Cholangitis NOS
"Disorders of gallbladder, biliary tract and pancreas",511661000006111.0,Bile duct calculus + other cholecystitis - obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",511671000006116.0,Bile duct calculus + other cholecystitis and no obstruction
"Disorders of gallbladder, biliary tract and pancreas",511681000006118.0,Bile duct calculus + other cholecystitis and obstruction
"Disorders of gallbladder, biliary tract and pancreas",511721000006113.0,Bile duct calculus without cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",511731000006111.0,Bile duct calculus without cholecystitis with obstruction
"Disorders of gallbladder, biliary tract and pancreas",396401019.0,Bile duct calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",456802011.0,Bile duct calculus NOS
"Disorders of gallbladder, biliary tract and pancreas",136680010.0,Cholangitis
"Disorders of gallbladder, biliary tract and pancreas",551551000006117.0,Choledocholithiasis
"Disorders of gallbladder, biliary tract and pancreas",303568018.0,Calculus of bile duct with cholangitis
"Disorders of gallbladder, biliary tract and pancreas",221141000000110.0,Bile duct calculus
"Disorders of gallbladder, biliary tract and pancreas",511741000006118.0,"Bile duct calculus without cholecystitis, no obstruction"
"Disorders of gallbladder, biliary tract and pancreas",303623016.0,Other bile duct disorders
"Disorders of gallbladder, biliary tract and pancreas",3102461000006115.0,Hepatic colic
"Disorders of gallbladder, biliary tract and pancreas",3362741000006116.0,Perforation of biliary tree with fistula formation
"Disorders of gallbladder, biliary tract and pancreas",65705013.0,Cholecystoduodenal fistula
"Disorders of gallbladder, biliary tract and pancreas",3362731000006114.0,Biliary tract fistula
"Disorders of gallbladder, biliary tract and pancreas",62377013.0,Biliary colic
"Disorders of gallbladder, biliary tract and pancreas",88487013.0,Biliary fistula
"Disorders of gallbladder, biliary tract and pancreas",110228013.0,Choledochoduodenal fistula
"Disorders of gallbladder, biliary tract and pancreas",486708013.0,Biliary colic symptom
"Disorders of gallbladder, biliary tract and pancreas",303622014.0,Fistula of bile duct NOS
"Disorders of gallbladder, biliary tract and pancreas",303629017.0,Bile duct disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",88485017.0,Fistula of bile duct
"Disorders of gallbladder, biliary tract and pancreas",511901000006117.0,Biliary colic
"Disorders of gallbladder, biliary tract and pancreas",35027015.0,Chronic cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",64412010.0,Stenosis of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303585016.0,Occlusion of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",125774011.0,Obstruction of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",130741016.0,Mucocele of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",78881010.0,Hydrops of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303596012.0,Perforation of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",2863131000006110.0,Disruption of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",42493014.0,Perforation of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303593016.0,Rupture of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",38252011.0,Rupture of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",3500181000006113.0,Gallbladder cholesterolosis
"Disorders of gallbladder, biliary tract and pancreas",102281017.0,Cholesterolosis of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",102282012.0,Strawberry gallbladder
"Disorders of gallbladder, biliary tract and pancreas",1222485011.0,[D]Dyskinesia
"Disorders of gallbladder, biliary tract and pancreas",2714181000006111.0,Adhesion of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",32531013.0,Cyst of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",108064010.0,Ulcer of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",99026017.0,Ulcer of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",107462017.0,Atrophy of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",112901019.0,Hypertrophy of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",145153011.0,Cyst of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",303605012.0,Biliary dyskinesia
"Disorders of gallbladder, biliary tract and pancreas",1220974011.0,Adhesions of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303606013.0,Polyp of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",123625018.0,Atrophy of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",127630018.0,Hypertrophy of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",6297911000006119.0,Absent gallbladder function
"Disorders of gallbladder, biliary tract and pancreas",6297921000006110.0,Non-functioning gallbladder
"Disorders of gallbladder, biliary tract and pancreas",1222956011.0,Adhesions of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",585531000006117.0,Nonfunctioning gallbladder
"Disorders of gallbladder, biliary tract and pancreas",2861761000006118.0,Adhesion of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",303475019.0,Liver abscess NOS
"Disorders of gallbladder, biliary tract and pancreas",303617014.0,Sclerosing cholangitis unspecified
"Disorders of gallbladder, biliary tract and pancreas",303468015.0,Liver abscess - excluding amoebic liver abscess
"Disorders of gallbladder, biliary tract and pancreas",4787861000006113.0,PSC - Primary sclerosing cholangitis
"Disorders of gallbladder, biliary tract and pancreas",3010811000006111.0,Primary biliary cholangitis
"Disorders of gallbladder, biliary tract and pancreas",377821000006117.0,[X]Disorders of gallbladder+biliary tract in diseases CE
"Disorders of gallbladder, biliary tract and pancreas",3010831000006117.0,Hanot's cirrhosis
"Disorders of gallbladder, biliary tract and pancreas",4125941000006111.0,Disease of biliary system
"Disorders of gallbladder, biliary tract and pancreas",2948081000006117.0,Hepatic abscess
"Disorders of gallbladder, biliary tract and pancreas",303628013.0,Other bile duct disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",303609018.0,Other biliary tract disorders
"Disorders of gallbladder, biliary tract and pancreas",303611010.0,Cholangitis lenta
"Disorders of gallbladder, biliary tract and pancreas",1650161000000119.0,Biliary sepsis
"Disorders of gallbladder, biliary tract and pancreas",303792012.0,[X]Other specified diseases of biliary tract
"Disorders of gallbladder, biliary tract and pancreas",303614019.0,Primary sclerosing cholangitis
"Disorders of gallbladder, biliary tract and pancreas",303616017.0,Secondary sclerosing cholangitis
"Disorders of gallbladder, biliary tract and pancreas",45033010.0,Ascending cholangitis
"Disorders of gallbladder, biliary tract and pancreas",116009017.0,Suppurative cholangitis
"Disorders of gallbladder, biliary tract and pancreas",52980015.0,Primary biliary cirrhosis
"Disorders of gallbladder, biliary tract and pancreas",303626012.0,Obstructive jaundice NOS
