Condition,MedCodeId,Term
Epilepsy,472411018.0,Grand mal epilepsy
Epilepsy,883041000006118.0,Petit mal epilepsy
Epilepsy,8191681000006117.0,Petit-mal epilepsy
Epilepsy,897431000006113.0,Post traumatic epilepsy
Epilepsy,1.177804100000612e+16,Dravet Syndrome
Epilepsy,4769501000006116.0,Generalised nonconvulsive epilepsy
Epilepsy,1.1926151000006112e+16,Infantile spasms
Epilepsy,2612101000006119.0,Petit mal status
Epilepsy,2950391000006116.0,Salaam attacks
Epilepsy,223781000000116.0,Unverricht - Lundborg disease
Epilepsy,1489345013.0,Transient epileptic amnesia
Epilepsy,2159227017.0,Epilepsy confirmed
Epilepsy,345323014.0,Nocturnal epilepsy
Epilepsy,425631000006118.0,[X]Schizophrenia-like psychosis in epilepsy
Epilepsy,379901000006113.0,[X]Epileptic psychosis NOS
Epilepsy,395221000006119.0,[X]Limbic epilepsy personality
Epilepsy,362161000006110.0,[X]Acquired aphasia with epilepsy [Landau - Kleffner]
Epilepsy,399395015.0,Progressive myoclonic epilepsy
Epilepsy,72751000006116.0,Unverricht - Lundborg disease
Epilepsy,297060016.0,Myoclonic encephalopathy
Epilepsy,297107018.0,Dyssynergia cerebellaris myoclonica
Epilepsy,178739011.0,Epilepsy
Epilepsy,2550890017.0,Generalised nonconvulsive epilepsy
Epilepsy,230321000006117.0,Petit mal (minor) epilepsy
Epilepsy,647301000006112.0,Epileptic absences
Epilepsy,495804010.0,Pykno-epilepsy
Epilepsy,297266016.0,Epileptic seizures - atonic
Epilepsy,297267013.0,Epileptic seizures - akinetic
Epilepsy,345275015.0,Juvenile absence epilepsy
Epilepsy,345281011.0,Lennox-Gastaut syndrome
Epilepsy,10791000006116.0,Other specified generalised nonconvulsive epilepsy
Epilepsy,800721000006115.0,Generalised nonconvulsive epilepsy NOS
Epilepsy,500033015.0,Generalised convulsive epilepsy
Epilepsy,223811000000118.0,Grand mal (major) epilepsy
Epilepsy,103531000006110.0,Tonic-clonic epilepsy
Epilepsy,297281010.0,Neonatal myoclonic epilepsy
Epilepsy,253231000006116.0,Otohara syndrome
Epilepsy,297282015.0,Epileptic seizures - clonic
Epilepsy,297283013.0,Epileptic seizures - myoclonic
Epilepsy,297284019.0,Epileptic seizures - tonic
Epilepsy,472410017.0,Tonic-clonic epilepsy
Epilepsy,297289012.0,Other specified generalised convulsive epilepsy
Epilepsy,297290015.0,Generalised convulsive epilepsy NOS
Epilepsy,12602012.0,Petit mal status
Epilepsy,23819016.0,Grand mal status
Epilepsy,23820010.0,Status epilepticus
Epilepsy,297295013.0,Partial epilepsy with impairment of consciousness
Epilepsy,297296014.0,Temporal lobe epilepsy
Epilepsy,477355017.0,Psychomotor epilepsy
Epilepsy,297300010.0,Psychosensory epilepsy
Epilepsy,743461000006119.0,Limbic system epilepsy
Epilepsy,297302019.0,Epileptic automatism
Epilepsy,2159274014.0,Complex partial epileptic seizure
Epilepsy,297303012.0,Partial epilepsy with impairment of consciousness NOS
Epilepsy,245341000006117.0,Partial epilepsy without impairment of consciousness
Epilepsy,450603013.0,"Jacksonian, focal or motor epilepsy"
Epilepsy,345225017.0,Focal epilepsy
Epilepsy,450602015.0,Motor epilepsy
Epilepsy,148591000006114.0,Sensory induced epilepsy
Epilepsy,297311019.0,Somatosensory epilepsy
Epilepsy,297313016.0,Visceral reflex epilepsy
Epilepsy,297312014.0,Partial epilepsy with autonomic symptoms
Epilepsy,297314010.0,Visual reflex epilepsy
Epilepsy,297315011.0,Unilateral epilepsy
Epilepsy,301541000000116.0,Simple partial epileptic seizure
Epilepsy,245361000006118.0,Partial epilepsy without impairment of consciousness OS
Epilepsy,245351000006115.0,Partial epilepsy without impairment of consciousness NOS
Epilepsy,46969011.0,Infantile spasms
Epilepsy,46972016.0,Lightning spasms
Epilepsy,46968015.0,West syndrome
Epilepsy,46970012.0,Hypsarrhythmia
Epilepsy,46971011.0,Salaam attacks
Epilepsy,297320011.0,Infantile spasms NOS
Epilepsy,297321010.0,Kojevnikov's epilepsy
Epilepsy,931711000006118.0,Early infant epileptic encephalopathy wth suppression bursts
Epilepsy,345302015.0,Ohtahara syndrome
Epilepsy,11300012.0,Juvenile myoclonic epilepsy
Epilepsy,478024019.0,Alcohol-induced epilepsy
Epilepsy,345318014.0,Drug-induced epilepsy
Epilepsy,345321011.0,Menstrual epilepsy
Epilepsy,2474650018.0,Stress-induced epilepsy
Epilepsy,512000013.0,Photosensitive epilepsy
Epilepsy,345311015.0,Severe myoclonic epilepsy in infancy
Epilepsy,2193821000000118.0,Dravet syndrome
Epilepsy,125721000006111.0,"Status epilepticus, unspecified"
Epilepsy,297324019.0,Other forms of epilepsy
Epilepsy,297325018.0,Cursive (running) epilepsy
Epilepsy,148427014.0,Gelastic epilepsy
Epilepsy,736371000006112.0,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset
Epilepsy,345345010.0,Complex partial status epilepticus
Epilepsy,73622018.0,Benign Rolandic epilepsy
Epilepsy,632721000000111.0,Panayiotopoulos syndrome
Epilepsy,297330019.0,Other forms of epilepsy NOS
Epilepsy,399408014.0,Epilepsy NOS
Epilepsy,453344019.0,Fit (in known epileptic) NOS
Epilepsy,299334015.0,[X]Other generalized epilepsy and epileptic syndromes
Epilepsy,299336018.0,[X]Other epilepsy
Epilepsy,299337010.0,[X]Other status epilepticus
Epilepsy,299345017.0,"[X]Status epilepticus, unspecified"
