Condition,MedCodeId,Term
Fibrosing alveolitis/unspecified alveolitis,3336411000006117.0,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,5492481000006115.0,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,885491000006116.0,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,254003016.0,O/E - fibrosis of lung present
Fibrosing alveolitis/unspecified alveolitis,254002014.0,O/E - fibrosis of lung
Fibrosing alveolitis/unspecified alveolitis,211391000006118.0,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,85961019.0,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,75302014.0,Idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,815341000006115.0,Hamman - Rich syndrome
Fibrosing alveolitis/unspecified alveolitis,196654011.0,Cryptogenic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,1786131000006116.0,Idiopathic pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,621121000006112.0,Diffuse pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,85960018.0,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,2475606014.0,Usual interstitial pneumonitis
Fibrosing alveolitis/unspecified alveolitis,301709019.0,Idiopathic fibrosing alveolitis NOS
Fibrosing alveolitis/unspecified alveolitis,301852014.0,[X]Other interstitial pulmonary diseases with fibrosis
