Condition,MedCodeId,Term
Hyperparathyroidism,60663012.0,Primary hyperparathyroidism
Hyperparathyroidism,129770011.0,Tertiary hyperparathyroidism
Hyperparathyroidism,140466019.0,Osteitis fibrosa cystica
Hyperparathyroidism,111289013.0,Hyperparathyroidism
Hyperparathyroidism,312190010.0,Brown tumour of hyperparathyroidism
Hyperparathyroidism,830981000006111.0,Hyperparathyroid bone disease
Hyperparathyroidism,63791000006110.0,Von Recklinghausen's bone disease
Hyperparathyroidism,1234973018.0,von Recklinghausen's bone disease
Hyperparathyroidism,41211000006118.0,Osteitis fibrosa cystica
Hyperparathyroidism,293766019.0,[X]Other hyperparathyroidism
Hyperparathyroidism,151534010.0,Secondary hyperparathyroidism
Hyperparathyroidism,49080014.0,Ectopic hyperparathyroidism
