Condition,MedCodeId,Term
Inflammatory diseases of the female pelvic organs,304666017.0,Perioophoritis unspecified
Inflammatory diseases of the female pelvic organs,304667014.0,Salpingo-oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304668016.0,Salpingitis unspecified
Inflammatory diseases of the female pelvic organs,304669012.0,Perisalpingitis unspecified
Inflammatory diseases of the female pelvic organs,304670013.0,Unspecified salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,304664019.0,Salpingitis and oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304665018.0,Oophoritis unspecified
Inflammatory diseases of the female pelvic organs,3251461000006118.0,Tubo-ovarian inflammatory disease
Inflammatory diseases of the female pelvic organs,2588021000006116.0,Disorder of ovary
Inflammatory diseases of the female pelvic organs,3932511000006110.5,Inflammation of fallopian tube
Inflammatory diseases of the female pelvic organs,3770431000006112.0,Hematosalpinx
Inflammatory diseases of the female pelvic organs,556601000006112.0,Chronic salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,3251491000006114.0,Salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,3736891000006113.0,Inflammation of ovary
Inflammatory diseases of the female pelvic organs,6601831000006110.0,Abscess of fallopian tube
Inflammatory diseases of the female pelvic organs,3251481000006111.0,Inflammation of ovary and fallopian tube
Inflammatory diseases of the female pelvic organs,2588031000006118.0,Ovarian disorder
Inflammatory diseases of the female pelvic organs,503762012.0,Haematosalpinx
Inflammatory diseases of the female pelvic organs,304663013.0,Chronic salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,36435017.0,Hydrosalpinx
Inflammatory diseases of the female pelvic organs,53944014.0,Salpingocele
Inflammatory diseases of the female pelvic organs,54399018.0,Chronic oophoritis
Inflammatory diseases of the female pelvic organs,92337013.0,Chronic salpingitis
Inflammatory diseases of the female pelvic organs,304659018.0,Chronic salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,304660011.0,Chronic perisalpingitis
Inflammatory diseases of the female pelvic organs,1777414016.0,Pyosalpinx
Inflammatory diseases of the female pelvic organs,1786208014.0,Fallopian tube abscess
Inflammatory diseases of the female pelvic organs,887091000006118.0,Chronic salpingitis/oophoritis
Inflammatory diseases of the female pelvic organs,3251471000006113.0,Salpingo-oophoritis
