Condition,MedCodeId,Term
Meniere disease,2981261000006116.0,Lermoyez's syndrome
Meniere disease,1.192513100000611e+16,Unspecified Meniere's disease
Meniere disease,710871000006110.0,Meniere's disease
Meniere disease,17117015.0,Endolymphatic hydrops
Meniere disease,50047017.0,Lermoyez's syndrome
Meniere disease,299159019.0,Unspecified Meniere's disease
Meniere disease,299160012.0,Active cochleovestibular Meniere's disease
Meniere disease,299161011.0,Active cochlear Meniere's disease
Meniere disease,299162016.0,Active vestibular Meniere's disease
Meniere disease,299163014.0,Inactive Meniere's disease
Meniere disease,299164015.0,Meniere's disease NOS
