Condition,MedCodeId,Term
Retinal detachments and breaks ,297731017.0,Old subtotal retinal detachment
Retinal detachments and breaks ,297725015.0,New partial retinal detachment with giant tear defect
Retinal detachments and breaks ,297726019.0,New partial retinal detachment with retinal dialysis
Retinal detachments and breaks ,297744010.0,Retinal round hole without detachment
Retinal detachments and breaks ,297745011.0,Horseshoe retinal tear without detachment
Retinal detachments and breaks ,297730016.0,Old total retinal detachment
Retinal detachments and breaks ,297724016.0,New partial retinal detachment with multiple defects
Retinal detachments and breaks ,170051000006112.0,Retinal tears
Retinal detachments and breaks ,169841000006116.0,Retinal detachment with retinal defect
Retinal detachments and breaks ,399429017.0,Retinal detachments and defects
Retinal detachments and breaks ,251652015.0,H/O: retinal detachment
Retinal detachments and breaks ,297729014.0,Old partial retinal detachment
Retinal detachments and breaks ,297723010.0,New partial retinal detachment with single defect
Retinal detachments and breaks ,503951016.0,Photocoagulation of retina for detachment
Retinal detachments and breaks ,297728018.0,Recent subtotal retinal detachment
Retinal detachments and breaks ,297727011.0,Recent total retinal detachment
Retinal detachments and breaks ,297746012.0,Multiple retinal defects without detachment
Retinal detachments and breaks ,297742014.0,Retinal defects without detachment
Retinal detachments and breaks ,297722017.0,Unspecified retinal detachment with retinal defect
Retinal detachments and breaks ,66667015.0,Retinal break
Retinal detachments and breaks ,1235016010.0,Laser photocoagulation of retina for detachment
Retinal detachments and breaks ,297749017.0,Retinal defects without detachment NOS
Retinal detachments and breaks ,1228202019.0,Traction retinal detachment
Retinal detachments and breaks ,297751018.0,Other retinal detachments NOS
Retinal detachments and breaks ,297750017.0,Other forms of retinal detachment
Retinal detachments and breaks ,297752013.0,Retinal detachment NOS
Retinal detachments and breaks ,297732012.0,Retinal detachment with defect NOS
Retinal detachments and breaks ,267138014.0,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks ,267137016.0,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks ,299475014.0,[X]Other retinal detachments
Retinal detachments and breaks ,1221344016.0,Xenon photocoagulation of retina for detachment
