Condition,MedCodeId,Term
Spondylolisthesis  ,527151000006116.0,Buck fusion of lumbar spine for spondylolisthesis
Spondylolisthesis  ,276668012.0,Reduction of spondylolisthesis and fusion
Spondylolisthesis  ,276669016.0,Fusion spondylolisthesis in situ
Spondylolisthesis  ,312465016.0,Acquired spondylolisthesis
Spondylolisthesis  ,312466015.0,Dysplastic spondylolisthesis
Spondylolisthesis  ,312467012.0,Isthmic spondylolisthesis
Spondylolisthesis  ,7967011.0,Degenerative spondylolisthesis
Spondylolisthesis  ,312469010.0,Pedicular spondylolisthesis
Spondylolisthesis  ,461579014.0,[Q] Spondylolisthesis grade 1
Spondylolisthesis  ,461580012.0,[Q] Spondylolisthesis grade 2
Spondylolisthesis  ,461581011.0,[Q] Spondylolisthesis grade 3
Spondylolisthesis  ,461582016.0,[Q] Spondylolisthesis grade 4
