Condition,MedCodeId,Term
Tuberculosis,7551011.0,Tuberculosis of genitourinary system
Tuberculosis,303573012.0,Other gallbladder disorders
Tuberculosis,286297010.0,Tuberculosis of other organs
Tuberculosis,1494889019.0,Tuberculosis of bones and joints
Tuberculosis,679381000006111.0,Neop uncertain behaviour of digestive and respiratory system
Tuberculosis,79348014.0,Miliary tuberculosis
Tuberculosis,281631019.0,Disseminated tuberculosis
Tuberculosis,24141013.0,Tuberculosis of hip
Tuberculosis,286294015.0,Tuberculosis of other female genital organs
Tuberculosis,40681016.0,Tuberculous hydrothorax
Tuberculosis,286239011.0,"Tuberculosis of lung, confirmed histologically"
Tuberculosis,286270015.0,"Tuberculosis of intestines, peritoneum and mesenteric glands"
Tuberculosis,89021000006112.0,Tuberculosis - scrofuloderma
Tuberculosis,311912015.0,Tuberculosis of cervical spine
Tuberculosis,451125010.0,[V] Personal history of pulmonary tuberculosis
Tuberculosis,82541000006118.0,Tuberculosis of spine
Tuberculosis,89121000006113.0,Tuberculosis oesophagus
Tuberculosis,311927015.0,Tuberculosis of the bones of the shoulder region
Tuberculosis,286223016.0,Other respiratory tuberculosis
Tuberculosis,1140001000000117.0,History of tuberculosis drug therapy
Tuberculosis,175131000006112.0,Resp TB bacteriologically and histologically confirmed
Tuberculosis,18908019.0,Tuberculous adenitis
Tuberculosis,34267015.0,Tuberculosis of prostate
Tuberculosis,82841000006116.0,Tuberculous arthritis
Tuberculosis,1230111017.0,Peritonitis - tuberculous
Tuberculosis,139628019.0,Tuberculous oophoritis
Tuberculosis,83211000006113.0,"Tuberculous pleurisy, conf bacteriologically/histologically"
Tuberculosis,298355010.0,Keratitis due to tuberculosis
Tuberculosis,2549441013.0,Tuberculoma of spinal cord
Tuberculosis,81815010.0,Tuberculosis of eye
Tuberculosis,667971000000118.0,Latent tuberculosis
Tuberculosis,89511000006113.0,Tuberculosis of meninges and central nervous system
Tuberculosis,130160016.0,Tuberculosis of intrathoracic lymph nodes
Tuberculosis,132731014.0,Tuberculous pneumonia
Tuberculosis,142044014.0,Tuberculosis of tracheobronchial lymph nodes
Tuberculosis,107751000006115.0,TB intrathoracic lymph nodes confirm bact histologically
Tuberculosis,24683016.0,Tuberculous empyema
Tuberculosis,136831015.0,Tuberculosis of mediastinal lymph nodes
Tuberculosis,97107015.0,Tuberculous meningitis
Tuberculosis,504231000006117.0,Bazin's disease - erythema induratum - TB hypersensitivity
Tuberculosis,83161000006116.0,Tuberculous osteomylelytis
Tuberculosis,2548529013.0,Tuberculous abscess of spinal cord
Tuberculosis,146495016.0,Primary tuberculous complex
Tuberculosis,1228336010.0,Tuberculosis of vertebral column - Pott's
Tuberculosis,264413015.0,TB - tuberculosis notification
Tuberculosis,127902015.0,Tuberculosis of peripheral lymph nodes
Tuberculosis,239551014.0,Pulmonary tuberculosis
Tuberculosis,74349016.0,Tuberculous peritonitis
Tuberculosis,406201015.0,Tuberculosis of skin and subcutaneous tissue
Tuberculosis,311913013.0,Tuberculosis of thoracic spine
Tuberculosis,296922015.0,Tuberculous intracranial abscess
Tuberculosis,82791000006119.0,Tuberculosis with erythema nodosum hypersensitivity reaction
Tuberculosis,57296016.0,Tuberculous myelitis
Tuberculosis,1228335014.0,Tuberculosis of spine (Pott's)
Tuberculosis,311915018.0,Tuberculosis of sacrum/coccyx
Tuberculosis,123913018.0,Tuberculous erythema nodosum
Tuberculosis,2548770013.0,Tuberculoma of brain
Tuberculosis,1788181018.0,Nodular lung tuberculosis
Tuberculosis,28980013.0,Tuberculosis of knee
Tuberculosis,123534017.0,Tuberculosis of hilar lymph nodes
Tuberculosis,311918016.0,Tuberculosis of the upper arm bone
Tuberculosis,286214019.0,Tuberculous pleurisy in primary progressive tuberculosis
Tuberculosis,286323019.0,Tuberculosis of ear
Tuberculosis,118567019.0,Tuberculous mastoiditis
Tuberculosis,59684010.0,Tuberculoma of meninges
Tuberculosis,168861000006111.0,Respiratory TB not confirmed bact or histologically
Tuberculosis,64723010.0,Tuberculosis of spinal meninges
Tuberculosis,82771000006115.0,Tuberculosis spleen
Tuberculosis,286325014.0,Tuberculosis of adrenal glands - Addison's disease
Tuberculosis,83031000006112.0,Tuberculous intraspinal abscess
Tuberculosis,287966014.0,Late effects of tuberculosis of other specified organs
Tuberculosis,287958017.0,Late effects of tuberculosis
Tuberculosis,116837013.0,Tuberculous laryngitis
Tuberculosis,1235995011.0,Tuberculosis lichenoides
Tuberculosis,111268016.0,Tuberculosis cutis
Tuberculosis,311921019.0,Tuberculosis of the lower leg bone
Tuberculosis,286288011.0,Tuberculosis of other urinary organs
Tuberculosis,61952018.0,Tuberculous pyelitis
Tuberculosis,286311013.0,Scrofulous tuberculous abscess
Tuberculosis,286219012.0,Tuberculosis of lung with cavitation
Tuberculosis,94320019.0,Tuberculosis
Tuberculosis,63627011.0,Tuberculosis of testis
Tuberculosis,105237015.0,Primary tuberculous infection
Tuberculosis,286220018.0,Tuberculosis of bronchus
Tuberculosis,286217014.0,Infiltrative lung tuberculosis
Tuberculosis,88991000006119.0,Tuberculosis - lupus exedens
Tuberculosis,286303015.0,Tuberculosis - lupus NOS
Tuberculosis,138730017.0,Tuberculosis of epididymis
Tuberculosis,2533735010.0,Streptomycin resistant tuberculosis
Tuberculosis,149683011.0,Tuberculosis of cerebral meninges
Tuberculosis,2535679015.0,Tuberculosis of urinary tract
Tuberculosis,104401018.0,Tuberculous cervicitis
Tuberculosis,286238015.0,"Tuberculosis of lung, confirmed by culture only"
Tuberculosis,287964012.0,Late effects of tuberculosis of bones and joints
Tuberculosis,132741012.0,Isolated bronchial tuberculosis
Tuberculosis,286224010.0,Tuberculosis of pleura
Tuberculosis,149374011.0,Tuberculous fibrosis of lung
Tuberculosis,203531000006112.0,Prostatitis in tuberculosis
Tuberculosis,311931014.0,Tuberculosis of the bones of multiple sites
Tuberculosis,311914019.0,Tuberculosis of lumbar spine
Tuberculosis,89451000006113.0,"Tuberculosis of lung, bacteriologically & histolog'y neg"
Tuberculosis,89391000006112.0,"Tuberculosis of larynx, trachea & bronchus conf bact/hist'y"
Tuberculosis,1230741010.0,Fallopian tube tuberculosis
Tuberculosis,82761000006110.0,Tuberculosis seminal vesicle
Tuberculosis,719321000006114.0,Lupus - tuberculous
Tuberculosis,732921000006113.0,Lung tuberculosis
Tuberculosis,641081000006113.0,Encephalitis due to tuberculosis
Tuberculosis,89091000006114.0,Tuberculosis lung bact and histological examin not done
Tuberculosis,49747014.0,Tuberculous pneumothorax
Tuberculosis,311926012.0,"Tuberculosis of bone, site unspecified"
Tuberculosis,156441000006115.0,Scrofula - tuberculous cervical lymph nodes
Tuberculosis,301563019.0,Pneumoconiosis associated with tuberculosis
Tuberculosis,2533971018.0,On tuberculosis chemoprophylaxis
Tuberculosis,286289015.0,Tuberculosis of other male genital organs
Tuberculosis,286265010.0,Tuberculous encephalitis or myelitis
Tuberculosis,151549019.0,Tuberculous encephalitis
Tuberculosis,52073015.0,Tuberculous meningoencephalitis
Tuberculosis,286262013.0,Tuberculous abscess of brain
Tuberculosis,311930010.0,Tuberculosis of the bones of other sites
Tuberculosis,286242017.0,"Tuberculosis of lung, confirmed by unspecified means"
Tuberculosis,286292016.0,Tuberculous oophoritis or salpingitis
Tuberculosis,264412013.0,Notification of tuberculosis
Tuberculosis,131348017.0,Tuberculous interstitial keratitis
Tuberculosis,286317012.0,Tuberculous chorioretinitis
Tuberculosis,82911000006110.0,Tuberculous encephalitis
Tuberculosis,286285014.0,Tuberculous nephropathy
