Condition,MedCodeId,Term
Addison's disease,266381013,Bilateral adrenalectomy and transposition of adrenal tissue
Addison's disease,266382018,Bilateral adrenalectomy
Addison's disease,286325014,Tuberculosis of adrenal glands - Addison's disease
Addison's disease,1491626013,Corticoadrenal insufficiency
Addison's disease,485624014,Addison's disease
Addison's disease,398809019,Corticoadrenal insufficiency NOS
Addison's disease,178805019,Adrenal hypofunction
Addison's disease,356317017,Adrenal insufficiency
Addison's disease,292837019,Hypoadrenalism
Addison's disease,292838012,Other adrenal hypofunction NOS
Addison's disease,682621000006119,Myopathy due to Addison's disease
