Condition,MedCode,Term
Arthrosis,5140621000006112,OA - Osteoarthritis of ankle
Arthrosis,889931000006113,Osteoarthritis - ankle/foot
Arthrosis,889881000006119,Osteoarthritis - elbow joint
Arthrosis,889901000006117,Osteoarthritis - hand joint
Arthrosis,889911000006119,Osteoarthritis - hip joint
Arthrosis,889921000006110,Osteoarthritis - knee joint
Arthrosis,889941000006115,Osteoarthritis - other joint
Arthrosis,889891000006116,Osteoarthritis - wrist joint
Arthrosis,889861000006112,Osteoarthritis -multiple joint
Arthrosis,889871000006117,Osteoarthritis -shoulder joint
Arthrosis,5140431000006112,Osteoarthritis of finger joint
Arthrosis,359420013,Osteoarthritis of knee
Arthrosis,905311000006112,[RFC] Osteoarthritis
Arthrosis,909181000006117,[RFC] Osteoarthritis
Arthrosis,309896011,"localised, primary osteoarthritis of the lower leg"
Arthrosis,12732531000006116,"osteoarthritis nos, of elbow"
Arthrosis,12719521000006116,"osteoarthritis nos, of hip"
Arthrosis,12725011000006110,"osteoarthritis nos, of knee"
Arthrosis,12724851000006120,"osteoarthritis nos, of shoulder region"
Arthrosis,12725571000006110,"osteoarthritis nos, of the lower leg"
Arthrosis,12729761000006114,"osteoarthritis nos, of wrist"
Arthrosis,12724861000006116,"osteoarthritis nos, other specified site"
Arthrosis,1839121000006116,osteoarthritis of spinal facet joint
Arthrosis,5140281000006114,primary generalized osteoarthrosis
Arthrosis,255924016,O/E - hands - Heberden's nodes
Arthrosis,370721000000116,Delivery of rehabilitation for osteoarthritis
Arthrosis,41261000006115,Osteoarthritis and allied disorders
Arthrosis,1776248011,Osteoarthritis
Arthrosis,800731000006117,Generalised osteoarthritis - OA
Arthrosis,309862016,Generalised osteoarthritis of unspecified site
Arthrosis,400175010,Generalised osteoarthritis of the hand
Arthrosis,819391000006114,Heberdens' nodes
Arthrosis,523471000006111,Bouchards' nodes
Arthrosis,800751000006112,Generalised osteoarthritis of multiple sites
Arthrosis,523461000006116,Bouchard's nodes with arthropathy
Arthrosis,359399017,Primary generalized osteoarthrosis
Arthrosis,309876015,Secondary multiple arthrosis
Arthrosis,309877012,Erosive osteoarthrosis
Arthrosis,309878019,Heberden's nodes with arthropathy
Arthrosis,309880013,Generalised osteoarthritis NOS
Arthrosis,309881012,"Localised, primary osteoarthritis"
