Condition,MedCodeId,Term
Cataract,928811000006119,Cataract extract + lens implant
Cataract,859791000006115,Cataract extract +lens implant
Cataract,883311000006115,Secondary cataract
Cataract,859751000006114,YAG laser post capsulotomy
Cataract,857711000006116,Yag laser capsulotomy
Cataract,12719581000006116,cataract due to other disorder
Cataract,3741271000006115,cataract with neovascularization
Cataract,2472224012,posterior capsule opacification
Cataract,913911000006110,type i diabetes mellitus with diabetic cataract
Cataract,253774010,O/E - cataract present
Cataract,539421000006110,Cataract observation
Cataract,451393017,O/E - Right cataract present
Cataract,451394011,O/E - Left cataract present
Cataract,495988011,Needling of lens for cataract
Cataract,495989015,Discission of cataract
Cataract,2533421012,Referral to cataract clinic
Cataract,771341000006114,Insulin dependent diabetes mellitus with diabetic cataract
Cataract,84691000006115,Type I diabetes mellitus with diabetic cataract
Cataract,84321000006114,Type 1 diabetes mellitus with diabetic cataract
Cataract,281161000006114,Non-insulin depend diabetes mellitus with diabetic cataract
Cataract,84871000006117,Type II diabetes mellitus with diabetic cataract
Cataract,84501000006114,Type 2 diabetes mellitus with diabetic cataract
Cataract,913901000006112,Type 1 diabetes mellitus with diabetic cataract
Cataract,913891000006113,Insulin dependent diabetes mellitus with diabetic cataract
Cataract,914301000006111,Type 2 diabetes mellitus with diabetic cataract
Cataract,914311000006114,Type II diabetes mellitus with diabetic cataract
Cataract,298076010,Cataract
Cataract,298078011,"Infantile, juvenile and presenile cataracts"
Cataract,298079015,Unspecified infantile cataract
Cataract,298080017,Unspecified juvenile cataract
Cataract,298081018,Unspecified presenile cataract
Cataract,3463017,Anterior subcapsular polar cataract
Cataract,57632013,Posterior subcapsular polar cataract
Cataract,298083015,Cortical cataract
Cataract,298084014,Lamellar zonular cataract
Cataract,89579016,Nuclear cataract
Cataract,298086011,Combined nonsenile cataract
Cataract,298087019,Other nonsenile cataract
Cataract,298088012,Nonsenile cataract NOS
Cataract,66160017,Senile cataract
Cataract,298090013,Unspecified senile cataract
Cataract,747871000006116,Lens capsule pseudoexfoliation
Cataract,21000016,Coronary cataract
Cataract,67912012,Punctate cataract
Cataract,298091012,Incipient cataract NOS
Cataract,298092017,Immature cataract NOS
Cataract,178759010,Anterior subcapsular polar senile cataract
Cataract,9918017,Posterior subcapsular polar senile cataract
Cataract,130863017,Cortical senile cataract
Cataract,298096019,Nuclear senile cataract
Cataract,298097011,"Total, mature senile cataract"
Cataract,399449014,Hypermature cataract
Cataract,699721000006118,Morgagni cataract
Cataract,574651000006115,Combined senile cataract
Cataract,298102014,Other senile cataract
Cataract,298103016,Senile cataract NOS
Cataract,298113012,Cataract secondary to ocular disease
Cataract,298116016,Unspecified cataracta complicata
Cataract,298117013,Cataract in eye inflammatory disorder
Cataract,126733015,Cataract with neovascularization
Cataract,36608018,Cataract in degenerative disorder
Cataract,298125010,Cataract secondary to ocular disorder NOS
Cataract,298126011,Cataract due to other disorder
Cataract,73294018,Diabetic cataract
Cataract,113312017,Tetanic cataract
Cataract,107602013,Myotonic cataract
Cataract,298128012,Cataract associated with other syndromes
Cataract,298132018,Cataract due to other disorder NOS
Cataract,473371000006112,After cataract
Cataract,298133011,Unspecified secondary cataract
Cataract,298134017,Other after cataract with vision normal
Cataract,298135016,After-cataract with vision obscured
Cataract,217851000006114,Posterior capsule opacification
Cataract,298137012,After cataract NOS
Cataract,158572010,Bilateral cataracts
Cataract,298142016,Other cataract
Cataract,298144015,Other cataract NOS
Cataract,298145019,Cataract NOS
Cataract,455415018,Immature cortical cataract
Cataract,299464010,[X]Other senile cataract
Cataract,299465011,[X]Other specified cataract
Cataract,299468013,[X]Cataract in other diseases classified elsewhere
Cataract,313009012,Capsular and subcapsular cataract
Cataract,313010019,Capsular cataract
Cataract,158573017,Subcapsular cataract
Cataract,313011015,Capsular or subcapsular cataract NOS
Cataract,313012010,Cortical and zonular cataract
Cataract,313014011,Zonular cataract
Cataract,313017016,Cortical or zonular cataract NOS
Cataract,518941000006114,Blue dot cataract
