Condition,MedCodeId,Term
Chronic kidney disease,8104231000006115,CKD (chronic kidney disease) stage 3 with proteinuria
Chronic kidney disease,8104261000006112,CKD (chronic kidney disease) stage 3 without proteinuria
Chronic kidney disease,8104301000006115,CKD (chronic kidney disease) stage 3A with proteinuria
Chronic kidney disease,8104351000006115,CKD (chronic kidney disease) stage 3A without proteinuria
Chronic kidney disease,8104381000006112,CKD (chronic kidney disease) stage 3B with proteinuria
Chronic kidney disease,8104411000006110,CKD (chronic kidney disease) stage 3B without proteinuria
Chronic kidney disease,8104451000006110,CKD (chronic kidney disease) stage 4 with proteinuria
Chronic kidney disease,8104481000006115,CKD (chronic kidney disease) stage 4 without proteinuria
Chronic kidney disease,8104511000006110,CKD (chronic kidney disease) stage 5 with proteinuria
Chronic kidney disease,8104551000006112,CKD (chronic kidney disease) stage 5 without proteinuria
Chronic kidney disease,7174791000006111,CKD stage 3
Chronic kidney disease,618431000000114,CKD stage 3 with proteinuria
Chronic kidney disease,618441000000117,CKD stage 3 without proteinuria
Chronic kidney disease,618451000000119,CKD stage 3A with proteinuria
Chronic kidney disease,618461000000116,CKD stage 3A without proteinuria
Chronic kidney disease,618471000000111,CKD stage 3B with proteinuria
Chronic kidney disease,618481000000113,CKD stage 3B without proteinuria
Chronic kidney disease,7147781000006115,CKD stage 4
Chronic kidney disease,618491000000110,CKD stage 4 with proteinuria
Chronic kidney disease,618501000000116,CKD stage 4 without proteinuria
Chronic kidney disease,7174851000006111,CKD stage 5
Chronic kidney disease,618511000000119,CKD stage 5 with proteinuria
Chronic kidney disease,1940621000006111,CKD with GFR category G3a & albuminuria category A1
Chronic kidney disease,1940631000006114,CKD with GFR category G3a & albuminuria category A2
Chronic kidney disease,1940641000006116,CKD with GFR category G3a & albuminuria category A3
Chronic kidney disease,1940651000006119,CKD with GFR category G3b & albuminuria category A1
Chronic kidney disease,1940661000006116,CKD with GFR category G3b & albuminuria category A2
Chronic kidney disease,1940671000006112,CKD with GFR category G3b & albuminuria category A3
Chronic kidney disease,1940501000006119,CKD with GFR category G4 & albuminuria category A1
Chronic kidney disease,1940511000006116,CKD with GFR category G4 & albuminuria category A2
Chronic kidney disease,1940521000006112,CKD with GFR category G4 & albuminuria category A3
Chronic kidney disease,1940531000006110,CKD with GFR category G5 & albuminuria category A1
Chronic kidney disease,1940541000006116,CKD with GFR category G5 & albuminuria category A2
Chronic kidney disease,1940551000006115,CKD with GFR category G5 & albuminuria category A3
Chronic kidney disease,2773184015,Chronic kidney disease stage 3
Chronic kidney disease,304071000000115,Chronic kidney disease stage 3
Chronic kidney disease,994421000006111,Chronic kidney disease stage 3
Chronic kidney disease,595811000000117,Chronic kidney disease stage 3 with proteinuria
Chronic kidney disease,595871000000110,Chronic kidney disease stage 3 without proteinuria
Chronic kidney disease,557811000000119,Chronic kidney disease stage 3A
Chronic kidney disease,595931000000116,Chronic kidney disease stage 3A with proteinuria
Chronic kidney disease,595991000000115,Chronic kidney disease stage 3A without proteinuria
Chronic kidney disease,557831000000110,Chronic kidney disease stage 3B
Chronic kidney disease,596051000000115,Chronic kidney disease stage 3B with proteinuria
Chronic kidney disease,596131000000114,Chronic kidney disease stage 3B without proteinuria
Chronic kidney disease,2767385013,Chronic kidney disease stage 4
Chronic kidney disease,304091000000116,Chronic kidney disease stage 4
Chronic kidney disease,994431000006114,Chronic kidney disease stage 4
Chronic kidney disease,596191000000110,Chronic kidney disease stage 4 with proteinuria
Chronic kidney disease,596261000000111,Chronic kidney disease stage 4 without proteinuria
Chronic kidney disease,8345881000006115,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1
Chronic kidney disease,8345901000006118,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2
Chronic kidney disease,8345931000006110,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3
Chronic kidney disease,8346001000006110,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1
Chronic kidney disease,8346021000006117,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2
Chronic kidney disease,8346041000006112,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3
Chronic kidney disease,8346101000006114,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1
Chronic kidney disease,8346121000006115,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2
Chronic kidney disease,8346151000006114,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3
Chronic kidney disease,8346171000006115,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1
Chronic kidney disease,8346201000006115,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2
Chronic kidney disease,8346221000006114,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3
Chronic kidney disease,3528309015,MCKD - Multicystic kidney disease
Chronic kidney disease,2767154014,chronic kidney disease stage 5
Chronic kidney disease,994441000006116,chronic kidney disease stage 5
Chronic kidney disease,11924551000006114,end-stage renal disease
Chronic kidney disease,12704471000006116,end-stage renal disease
Chronic kidney disease,304111000000114,Chronic kidney disease stage 5
Chronic kidney disease,596321000000110,Chronic kidney disease stage 5 with proteinuria
Chronic kidney disease,596401000000111,Chronic kidney disease stage 5 without proteinuria
Chronic kidney disease,618521000000113,CKD stage 5 without proteinuria
Chronic kidney disease,641471000006117,End stage renal failure
Chronic kidney disease,215521000000116,End stage renal failure
Chronic kidney disease,641491000006116,End-stage renal disease
