Condition,MedCodeId,Term
Chronic lower respiratory diseases,1882421000006112,1 COPD exacerbation in past year
Chronic lower respiratory diseases,1882441000006118,2 COPD exacerbations in past year
Chronic lower respiratory diseases,1882431000006111,3+ COPD exacerbations in past year
Chronic lower respiratory diseases,2716321000006116,COPD - Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,11932331000006116,COPD GOLD group A
Chronic lower respiratory diseases,11932341000006112,COPD GOLD group B
Chronic lower respiratory diseases,11932351000006110,COPD GOLD group C
Chronic lower respiratory diseases,11932361000006112,COPD GOLD group D
Chronic lower respiratory diseases,1771441000006118,COPD patient experience discussed
Chronic lower respiratory diseases,885311000006116,Chronic obst. pulm. dis. NOS
Chronic lower respiratory diseases,990641000006110,Chronic obst. pulm. dis. NOS
Chronic lower respiratory diseases,2716231000006114,Chronic obstructive lung disease
Chronic lower respiratory diseases,1823851000006119,Chronic obstructive pulmonary disease confirmed
Chronic lower respiratory diseases,1856571000006116,Chronic obstructive pulmonary disease severity
Chronic lower respiratory diseases,8034781000006114,Did not attend chronic obstructive pulmonary disease clinic
Chronic lower respiratory diseases,12623621000006118,Excepted from COPD (chronic obstructive pulmonary disease) quality indicators - service unavailable
Chronic lower respiratory diseases,1882451000006116,No COPD exacerbations in past year
Chronic lower respiratory diseases,8294561000006110,Seen in COPD (chronic obstructive pulmonary disease) clinic
Chronic lower respiratory diseases,909711000006111,[RFC] Chronic obstructive pulmonary disease (COPD)
Chronic lower respiratory diseases,12728161000006116,chronic obstructive airways disease nos
Chronic lower respiratory diseases,12759361000006112,chronic obstructive pulmonary disease nos
Chronic lower respiratory diseases,3873191000006111,fetid chronic bronchitis
Chronic lower respiratory diseases,4733021000006111,obstructive chronic bronchitis
Chronic lower respiratory diseases,475431013,Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,555471000006114,Chronic obstructive airways disease
Chronic lower respiratory diseases,105519017,Chronic bronchitis
Chronic lower respiratory diseases,508561017,Simple chronic bronchitis
Chronic lower respiratory diseases,508562012,Chronic catarrhal bronchitis
Chronic lower respiratory diseases,301444018,Simple chronic bronchitis NOS
Chronic lower respiratory diseases,123588010,Mucopurulent chronic bronchitis
Chronic lower respiratory diseases,506053014,Purulent chronic bronchitis
Chronic lower respiratory diseases,139979010,Fetid chronic bronchitis
Chronic lower respiratory diseases,301448015,Mucopurulent chronic bronchitis NOS
Chronic lower respiratory diseases,285104011,Obstructive chronic bronchitis
Chronic lower respiratory diseases,301450011,Chronic asthmatic bronchitis
Chronic lower respiratory diseases,301451010,Chronic wheezy bronchitis
Chronic lower respiratory diseases,285100019,Emphysematous bronchitis
Chronic lower respiratory diseases,492443010,Bronchiolitis obliterans
Chronic lower respiratory diseases,301455018,Obstructive chronic bronchitis NOS
Chronic lower respiratory diseases,301456017,Mixed simple and mucopurulent chronic bronchitis
Chronic lower respiratory diseases,301457014,Other chronic bronchitis
Chronic lower respiratory diseases,87480013,Chronic tracheobronchitis
Chronic lower respiratory diseases,301458016,Other chronic bronchitis NOS
Chronic lower respiratory diseases,301459012,Chronic bronchitis NOS
Chronic lower respiratory diseases,640491000006111,Emphysema
Chronic lower respiratory diseases,301460019,Chronic bullous emphysema
Chronic lower respiratory diseases,301463017,Segmental bullous emphysema
Chronic lower respiratory diseases,301464011,Zonal bullous emphysema
Chronic lower respiratory diseases,27096010,Giant bullous emphysema
Chronic lower respiratory diseases,396108018,Bullous emphysema with collapse
Chronic lower respiratory diseases,301468014,Chronic bullous emphysema NOS
Chronic lower respiratory diseases,9337016,Panlobular emphysema
Chronic lower respiratory diseases,113497011,Centrilobular emphysema
Chronic lower respiratory diseases,301469018,Other emphysema
Chronic lower respiratory diseases,396109014,Atrophic (senile) emphysema
Chronic lower respiratory diseases,1230190015,MacLeod's unilateral emphysema
Chronic lower respiratory diseases,396110016,Other emphysema NOS
Chronic lower respiratory diseases,301477019,Emphysema NOS
Chronic lower respiratory diseases,457168017,Mild chronic obstructive pulmonary disease
Chronic lower respiratory diseases,457169013,Moderate chronic obstructive pulmonary disease
Chronic lower respiratory diseases,457171013,Severe chronic obstructive pulmonary disease
Chronic lower respiratory diseases,516801000000112,Very severe chronic obstructive pulmonary disease
Chronic lower respiratory diseases,216596014,End stage chronic obstructive airways disease
Chronic lower respiratory diseases,301539010,Other specified chronic obstructive airways disease
Chronic lower respiratory diseases,1222334016,Other specified chronic obstructive pulmonary disease
Chronic lower respiratory diseases,301545019,Chronic obstructive airways disease NOS
