Condition,MedCodeId,Term
Chronic rheumatic heart diseases,12726481000006116,rheumatic aortic valve disease nos
Chronic rheumatic heart diseases,12728231000006120,rheumatic tricuspid valve disease nos
Chronic rheumatic heart diseases,505828015,Rheumatic mitral valve disease
Chronic rheumatic heart diseases,1234383014,Mitral stenosis
Chronic rheumatic heart diseases,143386015,Rheumatic mitral stenosis
Chronic rheumatic heart diseases,52032016,Rheumatic mitral insufficiency
Chronic rheumatic heart diseases,1227426018,Mitral incompetence - rheumatic
Chronic rheumatic heart diseases,700741000006112,Mitral regurgitation - rheumatic
Chronic rheumatic heart diseases,299591014,Mitral stenosis with insufficiency
Chronic rheumatic heart diseases,299593012,Mitral stenosis with incompetence
Chronic rheumatic heart diseases,299592019,Mitral stenosis with regurgitation
Chronic rheumatic heart diseases,20721017,Rheumatic aortic valve disease
Chronic rheumatic heart diseases,119660019,Rheumatic aortic stenosis
Chronic rheumatic heart diseases,129504017,Rheumatic aortic insufficiency
Chronic rheumatic heart diseases,1234202016,Aortic incompetence - rheumatic
Chronic rheumatic heart diseases,488451000006114,Aortic regurgitation - rheumatic
Chronic rheumatic heart diseases,30011012,Rheumatic aortic stenosis with insufficiency
Chronic rheumatic heart diseases,299597013,Rheumatic aortic valve disease NOS
Chronic rheumatic heart diseases,168601000006114,Rheumatic tricuspid stenosis
Chronic rheumatic heart diseases,1232960018,Rheumatic tricuspid insufficiency
Chronic rheumatic heart diseases,87501000006118,Tricuspid regurgitation - rheumatic
Chronic rheumatic heart diseases,1232958015,Tricuspid incompetence - rheumatic
Chronic rheumatic heart diseases,299620010,Rheumatic tricuspid stenosis and insufficiency
Chronic rheumatic heart diseases,299619016,Rheumatic tricuspid stenosis and regurgitation
Chronic rheumatic heart diseases,299618012,Rheumatic tricuspid stenosis and incompetence
Chronic rheumatic heart diseases,299624018,Rheumatic tricuspid valve disease NOS
Chronic rheumatic heart diseases,31507017,Rheumatic pulmonary valve disease
Chronic rheumatic heart diseases,168541000006110,Rheumatic pulmonary stenosis
Chronic rheumatic heart diseases,1228148017,Rheumatic pulmonary insufficiency
Chronic rheumatic heart diseases,1495489016,Rheumatic pulmonary stenosis and insufficiency
Chronic rheumatic heart diseases,299626016,Rheumatic pulmonary valve disease NOS
Chronic rheumatic heart diseases,168651000006113,"Rheumatic valvulitis, chronic NOS"
Chronic rheumatic heart diseases,300864010,[X]Other rheumatic aortic valve diseases
