Condition,MedCode,Term
Chronic viral hepatitis,350841000000119,Hepatitis B treatment drugs Band 1
Chronic viral hepatitis,61061000006116,Viral (serum) hepatitis B
Chronic viral hepatitis,286871011,Viral hepatitis C without mention of hepatic coma
Chronic viral hepatitis,353575013,Acute delta-(super)infection of hepatitis B carrier
Chronic viral hepatitis,17930015,Chronic viral hepatitis
Chronic viral hepatitis,353580016,Chronic viral hepatitis B with delta-agent
Chronic viral hepatitis,286879013,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis,557071000006112,Chronic viral hepatitis C
Chronic viral hepatitis,1232261014,Chronic viral hepatitis B
Chronic viral hepatitis,557081000006110,"Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,2146441000000112,Hepatitis C genotype 1
Chronic viral hepatitis,2146461000000114,Hepatitis C genotype 2
Chronic viral hepatitis,2146501000000114,Hepatitis C genotype 3
Chronic viral hepatitis,2146521000000116,Hepatitis C genotype 4
Chronic viral hepatitis,84516016,Hepatitis C
Chronic viral hepatitis,288169017,[X]Other chronic viral hepatitis
Chronic viral hepatitis,288170016,"[X]Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,582851000006119,Congenital hepatitis B infection
