Condition,MedCodeId,Term
"Disease of arteries, arterioles and capilleries",251699010,H/O: aortic aneurysm
"Disease of arteries, arterioles and capilleries",1795071000000116,Aortic aneurysm monitoring
"Disease of arteries, arterioles and capilleries",639721000006114,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173451000006113,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173411000006112,Replace aneurys infrarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173441000006111,Replace aneurysm abdominal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",488221000000111,Abdominal aortic aneurysm stenting
"Disease of arteries, arterioles and capilleries",1701731000006110,Endovas insert stent for aortic aneurysm of bifurcation NEC
"Disease of arteries, arterioles and capilleries",470121011,Syphilitic aortic aneurysm
"Disease of arteries, arterioles and capilleries",111949011,Aortic aneurysm
"Disease of arteries, arterioles and capilleries",2536174018,Dissecting aortic aneurysm
"Disease of arteries, arterioles and capilleries",300437018,Thoracic aortic aneurysm which has ruptured
"Disease of arteries, arterioles and capilleries",300438011,Ruptured thoracic aortic aneurysm
"Disease of arteries, arterioles and capilleries",124373014,Thoracic aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",1221083011,Abdominal aortic aneurysm which has ruptured
"Disease of arteries, arterioles and capilleries",24379014,Ruptured abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",458502011,Ruptured suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",300441019,Abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",300442014,AAA - Abdominal aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",458503018,Juxtarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",458504012,Inflammatory abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",1756091000006111,Aneurysm of infrarenal abdominal aorta
"Disease of arteries, arterioles and capilleries",2674096019,Aneurysm of suprarenal aorta
"Disease of arteries, arterioles and capilleries",300445011,Ruptured aortic aneurysm
"Disease of arteries, arterioles and capilleries",300446012,"Thoracoabdominal aortic aneurysm, ruptured"
"Disease of arteries, arterioles and capilleries",300447015,Aortic aneurysm without mention of rupture NOS
"Disease of arteries, arterioles and capilleries",300448013,Thoracoabdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",488301000006118,Aortic aneurysm - syphilitic
"Disease of arteries, arterioles and capilleries",300449017,Leaking abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",300450017,Aortic aneurysm NOS
"Disease of arteries, arterioles and capilleries",300960019,"[X]Aortic aneurysm of unspecified site, ruptured"
"Disease of arteries, arterioles and capilleries",300961015,"[X]Aortic aneurysm of unspecified site, nonruptured"
"Disease of arteries, arterioles and capilleries",300968014,[X]Aneurysm of aorta in diseases classified elsewhere
"Disease of arteries, arterioles and capilleries",2232441000000112,H/O: arterial lower limb ulcer
"Disease of arteries, arterioles and capilleries",450665015,Ischaemic toe
"Disease of arteries, arterioles and capilleries",216185010,Peripheral vascular disease monitoring
"Disease of arteries, arterioles and capilleries",271509013,Open embolectomy of bifurcation of aorta
"Disease of arteries, arterioles and capilleries",394328011,Iliac endarterectomy and patch
"Disease of arteries, arterioles and capilleries",394329015,Endarterectomy of iliac artery
"Disease of arteries, arterioles and capilleries",410965018,Endarterectomy of common iliac artery
"Disease of arteries, arterioles and capilleries",394332017,Open embolectomy of iliac artery
"Disease of arteries, arterioles and capilleries",411214011,Open embolectomy of common iliac artery
"Disease of arteries, arterioles and capilleries",271900018,Percutaneous transluminal angioplasty of iliac artery
"Disease of arteries, arterioles and capilleries",271901019,Percutaneous transluminal embolectomy of iliac artery
"Disease of arteries, arterioles and capilleries",272013012,Femoral endarterectomy
"Disease of arteries, arterioles and capilleries",272014018,Endarterectomy of popliteal artery
"Disease of arteries, arterioles and capilleries",272017013,Profundoplasty of femoral artery NEC
"Disease of arteries, arterioles and capilleries",272018015,Profundoplasty of popliteal artery NEC
"Disease of arteries, arterioles and capilleries",272031013,Open embolectomy of femoral artery
"Disease of arteries, arterioles and capilleries",272032018,Open thrombectomy of femoral artery
"Disease of arteries, arterioles and capilleries",272033011,Open femoral embolectomy
"Disease of arteries, arterioles and capilleries",272035016,Open embolectomy popliteal artery
"Disease of arteries, arterioles and capilleries",272034017,Open thrombectomy of popliteal artery
"Disease of arteries, arterioles and capilleries",272052017,Percutaneous transluminal angioplasty of femoral artery
"Disease of arteries, arterioles and capilleries",239491000006117,Percutaneous angioplasty of popliteal artery
"Disease of arteries, arterioles and capilleries",272055015,Percutaneous transluminal embolectomy of femoral artery
"Disease of arteries, arterioles and capilleries",272056019,Percutaneous transluminal embolectomy of popliteal artery
"Disease of arteries, arterioles and capilleries",272059014,Percutaneous transluminal embolisation of femoral artery
