Condition,MedCodeId,Term
Diseases of the liver,538081000000115,Compensation for liver failure
Diseases of the liver,538101000000114,Compensation for liver failure NOS
Diseases of the liver,286858013,Viral hepatitis A with coma
Diseases of the liver,286862019,Viral hepatitis B with coma
Diseases of the liver,286867013,Other specified viral hepatitis with coma
Diseases of the liver,286868015,Viral hepatitis C with coma
Diseases of the liver,286869011,Other specified viral hepatitis with hepatic coma NOS
Diseases of the liver,353595019,Alcoholic hepatic failure
Diseases of the liver,120980011,Hepatic coma
Diseases of the liver,221131000000118,Encephalopathy - hepatic
Diseases of the liver,358961000006119,[X] Hepatic failure
Diseases of the liver,359011000006113,[X] Liver failure
Diseases of the liver,353597010,Hepatic failure NOS
Diseases of the liver,353596018,Liver failure NOS
Diseases of the liver,99549014,Hepatic failure
Diseases of the liver,30226018,Hepatic infarction
Diseases of the liver,303512010,Toxic liver disease with hepatic necrosis
Diseases of the liver,303521011,Central haemorrhagic necrosis of liver
Diseases of the liver,325080013,Hepatic failure as a complication of care
Diseases of the liver,325079010,Liver failure as a complication of care
Diseases of the liver,886501000006115,Alcoholic liver damage NOS
Diseases of the liver,12721711000006110,alcoholic liver damage unspecified
Diseases of the liver,6941931000006112,laennec's cirrhosis
Diseases of the liver,453265010,Oesophageal varices in alcoholic cirrhosis of the liver
Diseases of the liver,83834016,Alcoholic fatty liver
Diseases of the liver,476611000006116,Alcoholic cirrhosis of liver
Diseases of the liver,2579818016,Laennec's cirrhosis
Diseases of the liver,353594015,Alcoholic fibrosis and sclerosis of liver
Diseases of the liver,303399018,Alcoholic liver damage unspecified
Diseases of the liver,353587018,Alcoholic hepatitis
Diseases of the liver,451124014,Chronic alcoholic hepatitis
Diseases of the liver,851341000006110,fatty liver
Diseases of the liver,303463012,Steatosis of liver
Diseases of the liver,2819666013,Nonalcoholic steatohepatitis
Diseases of the liver,1786201000006119,Fatty change of liver
Diseases of the liver,1786211000006116,Fatty liver
Diseases of the liver,3713571000006113,congestive cirrhosis
Diseases of the liver,4787261000006114,zooparasitic portal cirrhosis
Diseases of the liver,803961000006119,Glycogenosis with hepatic cirrhosis
Diseases of the liver,1786709019,Pigmentary cirrhosis of liver
Diseases of the liver,1736361000000112,Cystic fibrosis related cirrhosis
Diseases of the liver,451442010,Oesophageal varices in cirrhosis of the liver
Diseases of the liver,303393017,Cirrhosis and chronic liver disease
Diseases of the liver,126721013,Florid cirrhosis
Diseases of the liver,221111000000114,Cirrhosis - non alcoholic
Diseases of the liver,2576980018,Portal cirrhosis
Diseases of the liver,396390012,Multilobular portal cirrhosis
Diseases of the liver,303419015,Diffuse nodular cirrhosis
Diseases of the liver,303420014,Fatty portal cirrhosis
Diseases of the liver,493707012,Hypertrophic portal cirrhosis
Diseases of the liver,303425016,Capsular portal cirrhosis
Diseases of the liver,396391011,Cardiac portal cirrhosis
Diseases of the liver,123999018,Congestive cirrhosis
Diseases of the liver,396392016,Juvenile portal cirrhosis
Diseases of the liver,11267010,Indian childhood cirrhosis
Diseases of the liver,55851000006118,Xanthomatous portal cirrhosis
Diseases of the liver,303437019,Bacterial portal cirrhosis
Diseases of the liver,303440019,Zooparasitic portal cirrhosis
Diseases of the liver,303441015,Infectious cirrhosis NOS
Diseases of the liver,303442010,Portal cirrhosis unspecified
Diseases of the liver,396393014,Non-alcoholic cirrhosis NOS
Diseases of the liver,731231000006114,Macronodular cirrhosis of liver
Diseases of the liver,603321000006118,Cryptogenic cirrhosis of liver
Diseases of the liver,353613017,Cirrhosis of liver NOS
Diseases of the liver,820381000006112,Hepatic fibrosis
Diseases of the liver,4044018,Biliary cirrhosis
Diseases of the liver,21289010,Secondary biliary cirrhosis
Diseases of the liver,303452014,Biliary cirrhosis of children
Diseases of the liver,303453016,Biliary cirrhosis NOS
Diseases of the liver,303458013,Portal fibrosis without cirrhosis
Diseases of the liver,103853010,Hepatic fibrosis
Diseases of the liver,353625019,Hepatic sclerosis
Diseases of the liver,353627010,Hepatic fibrosis with hepatic sclerosis
Diseases of the liver,303518014,Toxic liver disease with fibrosis and cirrhosis of liver
Diseases of the liver,303781011,[X]Other and unspecified cirrhosis of liver
Diseases of the liver,303404016,Autoimmune chronic active hepatitis
Diseases of the liver,52980015,Primary biliary cirrhosis
Diseases of the liver,2159899016,Autoimmune hepatitis
Diseases of the liver,303614019,Primary sclerosing cholangitis
