Condition,MedCodeId,Term
Disorders of bone density and structure,5992471000006115,osteoporosis localized to spine
Disorders of bone density and structure,1485098013,Hip DXA scan result osteoporotic
Disorders of bone density and structure,1485103010,Lumbar DXA scan result osteoporotic
Disorders of bone density and structure,668551000000116,Femoral neck DEXA scan result osteoporotic
Disorders of bone density and structure,1485046011,Osteoporosis monitoring
Disorders of bone density and structure,1485033018,Attends osteoporosis monitoring
Disorders of bone density and structure,1485035013,Osteoporosis monitoring default
Disorders of bone density and structure,1485036014,Osteoporosis monitoring first letter
Disorders of bone density and structure,1485037017,Osteoporosis monitoring second letter
Disorders of bone density and structure,1485038010,Osteoporosis monitoring third letter
Disorders of bone density and structure,1485041018,Osteoporosis monitoring deleted
Disorders of bone density and structure,1485042013,Osteoporosis monitoring check done
Disorders of bone density and structure,1715131000006113,Bone sparing drug treatment offered for osteoporosis - ESA
Disorders of bone density and structure,107806013,Osteoporosis
Disorders of bone density and structure,312124013,"Osteoporosis, unspecified"
Disorders of bone density and structure,30475015,Senile osteoporosis
Disorders of bone density and structure,54058015,Postmenopausal osteoporosis
Disorders of bone density and structure,786501000006117,Idiopathic osteoporosis
Disorders of bone density and structure,625381000006110,Dissuse osteoporosis
Disorders of bone density and structure,24883018,Drug-induced osteoporosis
Disorders of bone density and structure,312133010,Postoophorectomy osteoporosis
Disorders of bone density and structure,212431000006119,Postsurgical malabsorption osteoporosis
Disorders of bone density and structure,312138018,Osteoporosis in endocrine disorders
Disorders of bone density and structure,312139014,Vertebral osteoporosis
Disorders of bone density and structure,453226012,Osteoporosis localized to spine
Disorders of bone density and structure,1484866013,Osteoporosis due to corticosteroids
Disorders of bone density and structure,312142015,Osteoporosis NOS
Disorders of bone density and structure,312156018,Postoophorectomy osteoporosis with pathological fracture
Disorders of bone density and structure,312157010,Osteoporosis of disuse with pathological fracture
Disorders of bone density and structure,212441000006112,Postsurgical malabsorption osteoporosis with path fracture
Disorders of bone density and structure,312159013,Drug-induced osteoporosis with pathological fracture
Disorders of bone density and structure,312160015,Idiopathic osteoporosis with pathological fracture
Disorders of bone density and structure,40881000006116,Osteoporosis + pathological fracture lumbar vertebrae
Disorders of bone density and structure,40891000006118,Osteoporosis + pathological fracture thoracic vertebrae
Disorders of bone density and structure,40871000006119,Osteoporosis + pathological fracture cervical vertebrae
Disorders of bone density and structure,312165013,Postmenopausal osteoporosis with pathological fracture
Disorders of bone density and structure,455433012,Collapse of cervical vertebra due to osteoporosis
Disorders of bone density and structure,455534015,Collapse of lumbar vertebra due to osteoporosis
Disorders of bone density and structure,455535019,Collapse of thoracic vertebra due to osteoporosis
Disorders of bone density and structure,455536018,Collapse of vertebra due to osteoporosis NOS
Disorders of bone density and structure,216206018,Fragility fracture due to unspecified osteoporosis
Disorders of bone density and structure,556881000000111,Minimal trauma fracture due to unspecified osteoporosis
Disorders of bone density and structure,545121000000114,Fragility fracture
Disorders of bone density and structure,557111000000111,Minimal trauma fracture
Disorders of bone density and structure,312441019,Osteoporotic kyphosis
Disorders of bone density and structure,312681016,[X]Other osteoporosis with pathological fracture
Disorders of bone density and structure,312682011,[X]Other osteoporosis
Disorders of bone density and structure,312683018,[X]Osteoporosis in other disorders classified elsewhere
Disorders of bone density and structure,312689019,[X]Unspecified osteoporosis with pathological fracture
