Condition,MedCodeId,Term
"Disorders of gallbladder, biliary tract and pancreas",303789013,[X]Other cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",303790016,[X]Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303791017,[X]Other specified diseases of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303544014,Gallbladder calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303548012,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303569014,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",303570010,Cholelithiasis without obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",303571014,Cholelithiasis with obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",303573012,Other gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",303581013,Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",303582018,Other cholecystitis OS
"Disorders of gallbladder, biliary tract and pancreas",303583011,Cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",303621019,Obstruction of bile duct NOS
"Disorders of gallbladder, biliary tract and pancreas",303607016,Other specified gallbladder disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",5493111000006114,CL - Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",270901000006111,O/E: gall stone
"Disorders of gallbladder, biliary tract and pancreas",270911000006114,O/E: gall stone NOS
"Disorders of gallbladder, biliary tract and pancreas",5493141000006113,Calculus in biliary tract
"Disorders of gallbladder, biliary tract and pancreas",4610321000006115,On examination - gallstone
"Disorders of gallbladder, biliary tract and pancreas",551611000006117,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",798041000006110,Gallbladder calculus without mention cholecystitis +no obstr
"Disorders of gallbladder, biliary tract and pancreas",798051000006112,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",3745521000006115,Inflamed gallbladder
