Condition,MedCode,Term
Disorders of the prostate,5493351000006113,BPH - Benign prostatic hypertrophy
Disorders of the prostate,203421000006110,Prostatism
Disorders of the prostate,396738018,Benign prostatic hypertrophy
Disorders of the prostate,645331000006112,Enlarged prostate - benign
Disorders of the prostate,396742015,BPH - Benign prostatic hypertrophy
Disorders of the prostate,19794011,Prostatism
Disorders of the prostate,304382014,Prostatic hyperplasia unspecified
Disorders of the prostate,304383016,Prostatic hyperplasia of the lateral lobe
Disorders of the prostate,304384010,Prostatic hyperplasia of the medial lobe
Disorders of the prostate,304385011,Prostatic hyperplasia NOS
