Condition,MedCode,Term
Endometriosis,3545641000006112,endometriosis of the pouch of douglas
Endometriosis,3742411000006119,internal endometriosis
Endometriosis,2548653011,Laparoscopic laser destruction of endometriosis
Endometriosis,317021000006116,[M]Stromal endometriosis
Endometriosis,1784724014,Endometriosis
Endometriosis,126839012,Adenomyosis
Endometriosis,126835018,Endometriosis of uterus
Endometriosis,770611000006110,Internal endometriosis
Endometriosis,355411011,Endometriosis of myometrium
Endometriosis,461191000006115,Adenomyosis of endometrium
Endometriosis,102424012,Endometriosis of cervix
Endometriosis,304791011,Endometriosis of uterus NOS
Endometriosis,396767017,Endometriosis of ovary
Endometriosis,355412016,Chocolate cyst of ovary
Endometriosis,642691000006110,Endometriosis of the fallopian tube
Endometriosis,642741000006112,Endometriosis of the pelvic peritoneum
Endometriosis,642671000006114,Endometriosis of the broad ligament
Endometriosis,106864016,Endometriosis of the pouch of Douglas
Endometriosis,642731000006119,Endometriosis of the parametrium
Endometriosis,642811000006116,Endometriosis of the round ligament
Endometriosis,304796018,Endometriosis of the pelvic peritoneum NOS
Endometriosis,642781000006118,Endometriosis of the rectovaginal septum and vagina
Endometriosis,642771000006116,Endometriosis of the rectovaginal septum
Endometriosis,642831000006110,Endometriosis of the vagina
Endometriosis,304798017,Endometriosis of the rectovaginal septum and vagina NOS
Endometriosis,642701000006110,Endometriosis of the intestine
Endometriosis,642651000006116,Endometriosis of the appendix
Endometriosis,642681000006112,Endometriosis of the colon
Endometriosis,642801000006119,Endometriosis of the rectum
Endometriosis,304799013,Endometriosis of the intestine NOS
Endometriosis,89618011,Endometriosis in scar of skin
Endometriosis,304801011,Other endometriosis
Endometriosis,642661000006119,Endometriosis of the bladder
Endometriosis,642721000006117,Endometriosis of the lung
Endometriosis,642821000006112,Endometriosis of the umbilicus
Endometriosis,642841000006117,Endometriosis of the vulva
Endometriosis,304802016,Other endometriosis NOS
Endometriosis,304803014,Endometriosis NOS
Endometriosis,305247015,[X]Other endometriosis
