Condition,MedCodeId,Term
Fibrosing alveolitis/unspecified alveolitis,909731000006117,[RFC] Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,3336411000006117,cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,12757781000006112,idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,5492481000006115,postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,885491000006116,pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,254003016,O/E - fibrosis of lung present
Fibrosing alveolitis/unspecified alveolitis,254002014,O/E - fibrosis of lung
Fibrosing alveolitis/unspecified alveolitis,211391000006118,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,85961019,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,75302014,Idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,815341000006115,Hamman - Rich syndrome
Fibrosing alveolitis/unspecified alveolitis,196654011,Cryptogenic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,1786131000006116,Idiopathic pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,621121000006112,Diffuse pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,85960018,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,2475606014,Usual interstitial pneumonitis
Fibrosing alveolitis/unspecified alveolitis,301709019,Idiopathic fibrosing alveolitis NOS
Fibrosing alveolitis/unspecified alveolitis,301852014,[X]Other interstitial pulmonary diseases with fibrosis
