Condition,MedCode,Term
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",203211000006115,Prostate inflammatory diseases
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",53452019,Secondary hypertension
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",1846941000006119,Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",119655018,Duodenitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",42686017,Acute gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",222841000000112,Helicobacter gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",4151013,Allergic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",478553011,Acute haemorrhagic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",1227775018,[V]Dietary counselling in gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",819571000006118,Helicobacter gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302634014,Gastroduodenitis unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",15005019,Chronic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302619015,Chronic atrophic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302616010,Gastritis and duodenitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",70968018,Irritant gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302630017,Corrosive gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302633015,Gastritis unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",4525015,Alcoholic gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",99677013,Gastric mucosal hypertrophy
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",554831000006112,Chronic inflammatory gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",511831000006115,Bile induced gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",353328012,Duodenal erosion
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302624017,Other specified gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302621013,Chronic superficial gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",339001014,Gastric reflux
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",799341000006115,Gastro-oesophageal reflux with oesophagitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",396340013,Reflux oesophagitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",452891000006114,Acid reflux
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",1221523017,Antireflux procedure using thoracic approach NEC
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",303321000000115,Reflux cough
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",487911000006115,Antireflux gastroplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",394129013,Antireflux gastropexy
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",267111000006116,Oesophageal reflux operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",269047010,Antireflux operation using thoracic approach NEC
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",394127010,Antireflux fundoplication using thoracic approach
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",396339011,Oesophageal reflux with oesophagitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",487951000006119,Antireflux procedure and gastroplasty HFQ
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",269069015,Revision of antireflux operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",487941000006116,Antireflux operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",394128017,Antireflux fundoplication using abdominal approach
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",353273019,Gastric erosions
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",303750019,[X]Other gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",303048019,Non-infective gastritis NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302635010,Gastritis and duodenitis NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302623011,Chronic gastritis NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",303749019,[X]Other acute gastritis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302632013,Other specified gastritis NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",269068011,Antireflux operation NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2532987010,Laryngopharyngeal reflux
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",269074011,Revision of antireflux operation NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",353143016,Gastro-oesophageal reflux
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",353140018,Acid reflux
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",266601000006112,Oesopheal reflux without mention of oesophagitis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",372246012,Oesophageal reflux
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",269067018,Other specified antireflux operation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302566013,Unspecified peptic ulcer without mention of complication
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302568014,Unspecified peptic ulcer with haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302571018,Unspecified peptic ulcer with haemorrhage and perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302575010,Unspecified peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",396346019,Peptic ulcer - (PU) site unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",818751000006112,Heart operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",865131000006110,Heart valve operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",865161000006118,Heart valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3102151000006114,Upper gastrointestinal hemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",20181000006111,Other parts of heart or pericardium operations OS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",81501000006111,Unspec peptic ulcer; unspec haemorrhage and/or perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",121891000006117,Stress ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",221161000000111,Altered blood in stools
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",221171000000116,Blood in stools altered
