Condition,MedCodeId,Term
Hypertensive diseases,3642801000006112,Malignant hypertension
Hypertensive diseases,884121000006111,Malignant hypertension
Hypertensive diseases,887811000006117,Preg.+ pre-existing hypertensn
Hypertensive diseases,909441000006118,[RFC] Hypertension
Hypertensive diseases,12726241000006112,adverse reaction to antihypertensives nos
Hypertensive diseases,12726231000006116,adverse reaction to other antihypertensives
Hypertensive diseases,12483081000006116,borderline hyperten:yearly obs
Hypertensive diseases,12488211000006112,hypertension treatm. started
Hypertensive diseases,12487991000006112,hypertensive treatm.changed
Hypertensive diseases,790131000006118,Hypertension resolved
Hypertensive diseases,253532015,Hypertension resolved
Hypertensive diseases,262960017,Hypertension induced by oral contraceptive pill
Hypertensive diseases,264467014,Borderline hyperten:yearly obs
Hypertensive diseases,264485019,Hypertension treatm. started
Hypertensive diseases,264486018,Hypertensive treatm.changed
Hypertensive diseases,443764015,On treatment for hypertension
Hypertensive diseases,350601000000116,High cost hypertension drugs
Hypertensive diseases,1780252014,Hypertension treatment refused
Hypertensive diseases,789981000006111,Hypertens.monitor deleted
Hypertensive diseases,1529013,Blind hypertensive eye
Hypertensive diseases,12496011,Hypertensive retinopathy
Hypertensive diseases,64168014,Hypertensive disease
Hypertensive diseases,523801000006119,BP - hypertensive disease
Hypertensive diseases,99042012,Essential hypertension
Hypertensive diseases,131046010,Malignant essential hypertension
Hypertensive diseases,3135013,Benign essential hypertension
Hypertensive diseases,93494011,Systolic hypertension
Hypertensive diseases,80224019,Diastolic hypertension
Hypertensive diseases,395751018,Essential hypertension NOS
Hypertensive diseases,790121000006116,Hypertension NOS
Hypertensive diseases,107545013,Hypertensive heart disease
Hypertensive diseases,90135019,Malignant hypertensive heart disease
Hypertensive diseases,728681000006116,Malignant hypertensive heart disease without CCF
Hypertensive diseases,728671000006119,Malignant hypertensive heart disease with CCF
Hypertensive diseases,60444016,Benign hypertensive heart disease
Hypertensive diseases,504911000006115,Benign hypertensive heart disease without CCF
Hypertensive diseases,504901000006118,Benign hypertensive heart disease with CCF
Hypertensive diseases,741661000006118,Hypertensive heart disease NOS
Hypertensive diseases,741691000006114,Hypertensive heart disease NOS without CCF
Hypertensive diseases,411508017,Cardiomegaly - hypertensive
Hypertensive diseases,741681000006111,Hypertensive heart disease NOS with CCF
Hypertensive diseases,299655012,Hypertensive heart disease NOS
Hypertensive diseases,64282015,Hypertensive renal disease
Hypertensive diseases,108730018,Malignant hypertensive renal disease
Hypertensive diseases,1409014,Benign hypertensive renal disease
Hypertensive diseases,299665018,Hypertensive renal disease with renal failure
Hypertensive diseases,395753015,Hypertensive renal disease NOS
Hypertensive diseases,47076011,Renal hypertension
Hypertensive diseases,143003017,Hypertensive heart and renal disease
Hypertensive diseases,110659019,Malignant hypertensive heart and renal disease
Hypertensive diseases,109700019,Benign hypertensive heart and renal disease
Hypertensive diseases,741701000006114,Hypertensive heart&renal dis wth (congestive) heart failure
Hypertensive diseases,299673010,Hypertensive heart and renal disease with renal failure
Hypertensive diseases,789941000006117,Hyperten heart&renal dis+both(congestv)heart and renal fail
Hypertensive diseases,299675015,Hypertensive heart and renal disease NOS
Hypertensive diseases,53452019,Secondary hypertension
Hypertensive diseases,151161000006115,Secondary malignant hypertension
Hypertensive diseases,299676019,Secondary malignant renovascular hypertension
Hypertensive diseases,299677011,Secondary malignant hypertension NOS
Hypertensive diseases,299678018,Secondary benign hypertension
Hypertensive diseases,2478822013,Secondary benign renovascular hypertension
Hypertensive diseases,299680012,Secondary benign hypertension NOS
Hypertensive diseases,299681011,Hypertension secondary to endocrine disorders
Hypertensive diseases,158241000006117,Secondary hypertension NOS
Hypertensive diseases,299683014,Secondary renovascular hypertension NOS
Hypertensive diseases,299684015,Hypertension secondary to drug
Hypertensive diseases,299682016,Secondary hypertension NOS
Hypertensive diseases,299686018,Other specified hypertensive disease
Hypertensive diseases,299687010,Hypertensive disease NOS
Hypertensive diseases,84111015,Hypertensive encephalopathy
Hypertensive diseases,300869017,[X]Hypertensive diseases
Hypertensive diseases,300871017,[X]Hypertension secondary to other renal disorders
Hypertensive diseases,305764016,Other pre-existing hypertension in preg/childbirth/puerp
Hypertensive diseases,19451000006111,Other pre-existing hypertension in preg/childb/puerp unspec
Hypertensive diseases,19431000006116,Other pre-existing hypertension in preg/childb/puerp - deliv
Hypertensive diseases,19421000006119,Other pre-exist hypertension in preg/childb/puerp-not deliv
Hypertensive diseases,19441000006114,Other pre-existing hypertension in preg/childb/puerp NOS
Hypertensive diseases,305818015,Pre-eclampsia or eclampsia with pre-existing hypertension
Hypertensive diseases,212961000006118,Pre-eclampsia or eclampsia + pre-existing hypertension NOS
Hypertensive diseases,213111000006112,Pre-exist hypertension compl preg childbirth and puerperium
Hypertensive diseases,213091000006115,Pre-exist hyperten heart dis compl preg childbth+puerperium
Hypertensive diseases,213081000006118,Pre-exist 2ndry hypertens comp preg childbth and puerperium
Hypertensive diseases,331291010,Adverse reaction to other antihypertensives
Hypertensive diseases,331302012,Adverse reaction to antihypertensives NOS
Hypertensive diseases,404471000006113,"[X]Oth antihyperten drug caus advers eff in therap use, NEC"
Hypertensive diseases,356121000006111,[X] Adverse reaction to other antihypertensives
Hypertensive diseases,351481000006111,[X] Adverse reaction to antihypertensives NOS
