Condition,MedCode,Term
Hypoparathyroidism,297635015,Myopathy due to endocrine disease EC
Hypoparathyroidism,3441491000006113,Muscle disease related to endocrine disease
Hypoparathyroidism,3095731000006119,Deficiency of parathyrin
Hypoparathyroidism,3095741000006112,Deficiency of PTH
Hypoparathyroidism,3441501000006117,Muscle disorders associated with endocrine disease
Hypoparathyroidism,356185013,Idiopathic hypoparathyroidism
Hypoparathyroidism,297636019,Myopathy due to endocrine disease NOS
Hypoparathyroidism,3441481000006110,Endocrine myopathy
Hypoparathyroidism,61678012,Hypoparathyroidism
Hypoparathyroidism,292683010,Hypoparathyroidism NOS
Hypoparathyroidism,293765015,[X]Other hypoparathyroidism
Hypoparathyroidism,3095721000006117,Deficiency of parathyroid hormone
Hypoparathyroidism,985661000006115,Curettage of adenoid
Hypoparathyroidism,230871000006114,Pharynx operations
Hypoparathyroidism,3458111000006115,Parathyroid hormone resistant hypoparathyroidism
Hypoparathyroidism,2964961000006113,Ts and As - Tonsillectomy and adenoidectomy
Hypoparathyroidism,3458101000006118,Familial pseudohypoparathyroidism
Hypoparathyroidism,4321841000006113,As - Adenoidectomy
Hypoparathyroidism,4321861000006113,Ads - Adenoidectomy
Hypoparathyroidism,2964941000006114,Tonsillectomy with adenoidectomy
Hypoparathyroidism,3458121000006111,Constitutional chronic hypocalcaemia
Hypoparathyroidism,2964951000006111,Adenotonsillectomy
Hypoparathyroidism,7058361000006117,Plasma mediated ablation tonsillectomy
Hypoparathyroidism,4312111000006116,Pharynx procedure
Hypoparathyroidism,4312091000006113,Procedure on pharynx
Hypoparathyroidism,4312101000006119,Pharyngeal procedure
Hypoparathyroidism,2674425016,Coblation tonsillectomy
Hypoparathyroidism,268496017,Dissection tonsillectomy and adenoidectomy
Hypoparathyroidism,268497014,Guillotine tonsillectomy and adenoidectomy
Hypoparathyroidism,460600014,Adenoidectomy
Hypoparathyroidism,484011019,Tonsillectomy and adenoidectomy
Hypoparathyroidism,498253016,Pseudohypoparathyroidism
Hypoparathyroidism,267827011,Pharynx operations NOS
Hypoparathyroidism,356191010,Pseudopseudohypoparathyroidism
Hypoparathyroidism,3458091000006112,Constitutional chronic hypocalcemia
Hypoparathyroidism,862271000006112,Tonsillectomy + adenoidectomy
Hypoparathyroidism,317139015,[D]Tetany
Hypoparathyroidism,317140018,[D]Carpopedal spasm
Hypoparathyroidism,317141019,[D]Tetany NOS
