Condition,MedCodeId,Term
Inflammatory diseases of the female pelvic organs,304666017,Perioophoritis unspecified
Inflammatory diseases of the female pelvic organs,304667014,Salpingo-oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304668016,Salpingitis unspecified
Inflammatory diseases of the female pelvic organs,304669012,Perisalpingitis unspecified
Inflammatory diseases of the female pelvic organs,304670013,Unspecified salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,304664019,Salpingitis and oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304665018,Oophoritis unspecified
Inflammatory diseases of the female pelvic organs,3251461000006118,Tubo-ovarian inflammatory disease
Inflammatory diseases of the female pelvic organs,2588021000006116,Disorder of ovary
Inflammatory diseases of the female pelvic organs,3932511000006111,Inflammation of fallopian tube
Inflammatory diseases of the female pelvic organs,3770431000006112,Hematosalpinx
Inflammatory diseases of the female pelvic organs,556601000006112,Chronic salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,3251491000006114,Salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,3736891000006113,Inflammation of ovary
Inflammatory diseases of the female pelvic organs,6601831000006110,Abscess of fallopian tube
Inflammatory diseases of the female pelvic organs,3251481000006111,Inflammation of ovary and fallopian tube
Inflammatory diseases of the female pelvic organs,2588031000006118,Ovarian disorder
Inflammatory diseases of the female pelvic organs,503762012,Haematosalpinx
Inflammatory diseases of the female pelvic organs,304663013,Chronic salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,36435017,Hydrosalpinx
Inflammatory diseases of the female pelvic organs,53944014,Salpingocele
Inflammatory diseases of the female pelvic organs,54399018,Chronic oophoritis
Inflammatory diseases of the female pelvic organs,92337013,Chronic salpingitis
Inflammatory diseases of the female pelvic organs,304659018,Chronic salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,304660011,Chronic perisalpingitis
Inflammatory diseases of the female pelvic organs,1777414016,Pyosalpinx
Inflammatory diseases of the female pelvic organs,1786208014,Fallopian tube abscess
Inflammatory diseases of the female pelvic organs,887091000006118,Chronic salpingitis/oophoritis
Inflammatory diseases of the female pelvic organs,3251471000006113,Salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,97962011,Tubo-ovarian abscess
Inflammatory diseases of the female pelvic organs,3020211000006118,Hernia of fallopian tube
Inflammatory diseases of the female pelvic organs,6593171000006112,Pyosalpingitis
Inflammatory diseases of the female pelvic organs,304658014,Chronic perioophoritis
Inflammatory diseases of the female pelvic organs,3457701000006118,Tubo ovarian abscess
Inflammatory diseases of the female pelvic organs,3092211000006110,Adenosis of fallopian tube
