Condition,MedCode,Term
Ischaemic heart diseases,271088013,Allograft replacement of coronary artery
Ischaemic heart diseases,271098019,Prosthetic replacement of coronary artery
Ischaemic heart diseases,256458014,ECG: subendocardial infarct
Ischaemic heart diseases,256454011,ECG: old myocardial infarction
Ischaemic heart diseases,256459018,ECG: lateral infarction
Ischaemic heart diseases,635641000006111,ECG:shows myocardial ischaemia
Ischaemic heart diseases,256457016,ECG:posterior/inferior infarct
Ischaemic heart diseases,271114019,Connection of mammary artery to coronary artery
Ischaemic heart diseases,1228282017,Saphenous vein graft replacement of coronary artery
Ischaemic heart diseases,256455012,ECG: antero-septal infarct.
Ischaemic heart diseases,262247015,Coronary arteriograph.abnormal
Ischaemic heart diseases,271080018,Other autograft replacement of coronary artery
Ischaemic heart diseases,89711000006118,Transluminal balloon angioplasty of coronary artery
Ischaemic heart diseases,271129017,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,271105012,Revision of bypass for coronary artery
Ischaemic heart diseases,262243016,Angiocardiography abnormal
Ischaemic heart diseases,2115181000000110,Coronary microvascular disease
Ischaemic heart diseases,496991000006111,Atherosclerotic cardiovascular disease
Ischaemic heart diseases,119481012,Ventricular fibrillation
Ischaemic heart diseases,1550991000000116,Coronary artery bypass graft operation planned
Ischaemic heart diseases,271101015,Prosthetic replacement of three coronary arteries
Ischaemic heart diseases,142431000006114,Single implantation thoracic artery into coronary artery NEC
Ischaemic heart diseases,256460011,ECG: myocardial infarct NOS
Ischaemic heart diseases,299742017,Coronary thrombosis not resulting in myocardial infarction
Ischaemic heart diseases,394286010,Double anastomosis of mammary arteries to coronary arteries
Ischaemic heart diseases,460133017,Coronary heart disease annual review
Ischaemic heart diseases,7845011,Unstable angina
Ischaemic heart diseases,2117731000000119,Angina self-management plan agreed
Ischaemic heart diseases,271106013,Revision of bypass for one coronary artery
Ischaemic heart diseases,451132018,[V]Presence of coronary artery bypass graft
Ischaemic heart diseases,627951000006112,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,212061000006119,Postoperative transmural myocardial infarction anterior wall
Ischaemic heart diseases,456190010,Blood bicarbonate level
Ischaemic heart diseases,258968018,Cardiac enzymes abnormal
Ischaemic heart diseases,354901000000117,Percutaneous transluminal atherectomy of coronary artery
Ischaemic heart diseases,98087016,Angina decubitus
Ischaemic heart diseases,299808017,Subsequent myocardial infarction
Ischaemic heart diseases,460687010,[V]Presence of coronary angioplasty implant and graft
Ischaemic heart diseases,1221554018,Other autograft bypass of coronary artery
Ischaemic heart diseases,455422014,Postoperative subendocardial myocardial infarction
Ischaemic heart diseases,271108014,Revision of bypass for three coronary arteries
Ischaemic heart diseases,39773018,Coronary artery spasm
Ischaemic heart diseases,299776014,Other chronic ischaemic heart disease
Ischaemic heart diseases,459487012,Refractory angina
Ischaemic heart diseases,271081019,Autograft replacement of one coronary artery NEC
Ischaemic heart diseases,89332015,Atherosclerotic heart disease
Ischaemic heart diseases,458354017,Plasma troponin T level
Ischaemic heart diseases,271165010,Other replacement of coronary artery
Ischaemic heart diseases,161451000006116,Saphenous vein graft bypass of coronary artery
Ischaemic heart diseases,1489354011,Cardiac rehabilitation - phase 4
Ischaemic heart diseases,1232666014,Cardiac aneurysm
Ischaemic heart diseases,350354017,Silent myocardial ischaemia
Ischaemic heart diseases,484402013,Percutaneous transluminal laser coronary angioplasty
Ischaemic heart diseases,967931000006114,Acute posterolateral myocardial infarction
Ischaemic heart diseases,813961000006116,Haemopericardium/current comp folow acut myocard infarct
Ischaemic heart diseases,1654891000000110,Coronary angioplasty planned
Ischaemic heart diseases,1547671000006119,Percutaneous cor balloon angiop 3 more stents cor art NEC
Ischaemic heart diseases,2675882017,Percutaneous transluminal balloon angioplasty of artery
Ischaemic heart diseases,271092018,Allograft replacement of two coronary arteries
Ischaemic heart diseases,238641000006117,Percut transluminal balloon angioplasty one coronary artery
Ischaemic heart diseases,219521000000119,Attack - heart
Ischaemic heart diseases,1488382011,Acute coronary syndrome
