Condition,MedCode,Term
Ischaemic heart diseases,810811000006116,H/O: myocardial infarct at less than 60
Ischaemic heart diseases,810821000006112,H/O: myocardial infarct at greater than 60
Ischaemic heart diseases,251679016,H/O: angina pectoris
Ischaemic heart diseases,451369010,H/O: Myocardial infarction in last year
Ischaemic heart diseases,451370011,H/O: Angina in last year
Ischaemic heart diseases,451372015,H/O: Treatment for ischaemic heart disease
Ischaemic heart diseases,256748011,Exercise ECG abnormal
Ischaemic heart diseases,2535824013,Positive exercise ECG test
Ischaemic heart diseases,634751000006116,ECG myocardial ischaemia
Ischaemic heart diseases,635641000006111,ECG:shows myocardial ischaemia
Ischaemic heart diseases,256451015,ECG: myocardial ischaemia NOS
Ischaemic heart diseases,256452010,ECG: myocardial infarction
Ischaemic heart diseases,256455012,ECG: antero-septal infarct.
Ischaemic heart diseases,256457016,ECG:posterior/inferior infarct
Ischaemic heart diseases,256458014,ECG: subendocardial infarct
Ischaemic heart diseases,256459018,ECG: lateral infarction
Ischaemic heart diseases,256460011,ECG: myocardial infarct NOS
Ischaemic heart diseases,635311000006117,ST depression
Ischaemic heart diseases,256526019,ECG: T wave abnormal
Ischaemic heart diseases,635441000006114,ECG: T wave flattened
Ischaemic heart diseases,635451000006111,Inverted T wave
Ischaemic heart diseases,256747018,Exercise tolerance test abnormal
Ischaemic heart diseases,262247015,Coronary arteriography abnormal
Ischaemic heart diseases,2474304012,Radionuclide heart study abnormal
Ischaemic heart diseases,264492012,Angina control
Ischaemic heart diseases,264493019,Angina control - good
Ischaemic heart diseases,264494013,Angina control - poor
Ischaemic heart diseases,264495014,Angina control - improving
Ischaemic heart diseases,264496010,Angina control - worsening
Ischaemic heart diseases,264497018,Angina control NOS
Ischaemic heart diseases,460133017,Coronary heart disease annual review
Ischaemic heart diseases,1484833014,Coronary heart disease review
Ischaemic heart diseases,348644016,Coronary artery bypass graft operations
Ischaemic heart diseases,1228282017,Saphenous vein graft replacement of coronary artery
Ischaemic heart diseases,161451000006116,Saphenous vein graft replacement of coronary artery
Ischaemic heart diseases,271073015,Saphenous vein graft replacement of one coronary artery
Ischaemic heart diseases,271074014,Aortocoronary artery bypass of two coronary arteries with saphenous vein graft
Ischaemic heart diseases,271075010,Aortocoronary artery bypass of three coronary arteries with saphenous vein graft
Ischaemic heart diseases,161491000006110,Aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft
Ischaemic heart diseases,161481000006112,Aortocoronary artery bypass graft with saphenous vein graft
Ischaemic heart diseases,271079016,Saphenous vein graft replacement coronary artery NOS
Ischaemic heart diseases,1221554018,Other autograft bypass of coronary artery
Ischaemic heart diseases,271081019,Autograft replacement of one coronary artery NEC
Ischaemic heart diseases,271082014,Autograft replacement of two coronary arteries NEC
Ischaemic heart diseases,271083016,Autograft replacement of three coronary arteries NEC
Ischaemic heart diseases,271084010,Autograft replacement of four of more coronary arteries NEC
Ischaemic heart diseases,36861000006113,Other autograft replacement of coronary artery OS
Ischaemic heart diseases,271086012,Other autograft replacement of coronary artery NOS
Ischaemic heart diseases,271088013,Allograft replacement of coronary artery
Ischaemic heart diseases,271087015,Allograft bypass of coronary artery
Ischaemic heart diseases,271089017,Allograft replacement of one coronary artery
Ischaemic heart diseases,271092018,Allograft replacement of two coronary arteries
Ischaemic heart diseases,271093011,Allograft replacement of three coronary arteries
Ischaemic heart diseases,271094017,Allograft replacement of four or more coronary arteries
Ischaemic heart diseases,271095016,Other specified allograft replacement of coronary artery
Ischaemic heart diseases,271096015,Allograft replacement of coronary artery NOS
Ischaemic heart diseases,271098019,Prosthetic replacement of coronary artery
Ischaemic heart diseases,271097012,Prosthetic bypass of coronary artery
Ischaemic heart diseases,271099010,Prosthetic replacement of one coronary artery
Ischaemic heart diseases,271100019,Prosthetic replacement of two coronary arteries
Ischaemic heart diseases,271101015,Prosthetic replacement of three coronary arteries
Ischaemic heart diseases,271102010,Prosthetic replacement of four or more coronary arteries
Ischaemic heart diseases,271104011,Prosthetic replacement of coronary artery NOS
Ischaemic heart diseases,271114019,Connection of mammary artery to coronary artery
Ischaemic heart diseases,271115018,Creation of bypass from mammary artery to coronary artery
Ischaemic heart diseases,394286010,Double anastomosis of mammary arteries to coronary arteries
Ischaemic heart diseases,628021000006118,Double implantation of mammary arteries into coronary arteries
Ischaemic heart diseases,405092018,Single anastomosis of mammary artery to coronary artery NEC
Ischaemic heart diseases,411159010,LIMA single anastomosis
Ischaemic heart diseases,411160017,RIMA single anastomosis
Ischaemic heart diseases,271126012,Single implantation of mammary artery into coronary artery
Ischaemic heart diseases,589721000006114,Connection of mammary artery to coronary artery OS
Ischaemic heart diseases,271128013,Connection of mammary artery to coronary artery NOS
Ischaemic heart diseases,271129017,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,627951000006112,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,271132019,Single anastomosis of thoracic artery to coronary artery NEC
Ischaemic heart diseases,142431000006114,Single implantation thoracic artery into coronary artery NEC
Ischaemic heart diseases,271135017,Connection of other thoracic artery to coronary artery NOS
Ischaemic heart diseases,1221061012,Open angioplasty of coronary artery
Ischaemic heart diseases,238821000006111,Percutaneous balloon coronary angioplasty
Ischaemic heart diseases,238641000006117,Percutaneous transluminal balloon angioplasty of one coronary artery
