Condition,MedCode,Term
Migraine,2570161000006115,Classical migraine
Migraine,63055014,Migraine
Migraine,7596016,Classical migraine
Migraine,7595017,Migraine with aura
Migraine,93295014,Common migraine
Migraine,93294013,Migraine without aura
Migraine,93296010,Atypical migraine
Migraine,297336013,Common migraine NOS
Migraine,297337016,Migraine variants
Migraine,126030010,Abdominal migraine
Migraine,138248010,Basilar migraine
Migraine,158460019,Ophthalmic migraine
Migraine,1746951000000114,Migraine induced by oestrogen contraceptive
Migraine,297351016,Migraine variant NOS
Migraine,297352011,Other forms of migraine
Migraine,98501012,Hemiplegic migraine
Migraine,82623012,Ophthalmoplegic migraine
Migraine,700211000006115,Moebius' ophthalmoplegic migraine
Migraine,345355014,Status migrainosus
Migraine,297354012,Complicated migraine
Migraine,297355013,Other forms of migraine NOS
Migraine,297356014,Migraine NOS
Migraine,299338017,[X]Other migraine
Migraine,221281000000113,Migraine - menstrual
