Condition,MedCode,Term
Mood disorders ,882321000006119,Mania/hypomania
Mood disorders ,882311000006110,Manic-depressive psychoses
Mood disorders ,513871000006118,Bipolar psychoses
Mood disorders ,223601000000119,Manic psychoses
Mood disorders ,401765010,"Manic disorder, single episode"
Mood disorders ,789221000006116,Hypomanic psychoses
Mood disorders ,294802018,"Single manic episode, unspecified"
Mood disorders ,294803011,"Single manic episode, mild"
Mood disorders ,294804017,"Single manic episode, moderate"
Mood disorders ,294806015,"Single manic episode, severe, with psychosis"
Mood disorders ,294808019,Single manic episode in full remission
Mood disorders ,294809010,"Manic disorder, single episode NOS"
Mood disorders ,294810017,Recurrent manic episodes
Mood disorders ,294811018,"Recurrent manic episodes, unspecified"
Mood disorders ,294812013,"Recurrent manic episodes, mild"
Mood disorders ,294813015,"Recurrent manic episodes, moderate"
Mood disorders ,294815010,"Recurrent manic episodes, severe, with psychosis"
Mood disorders ,294817019,"Recurrent manic episodes, in full remission"
Mood disorders ,294818012,Recurrent manic episode NOS
Mood disorders ,513801000006112,"Bipolar affective disorder, currently manic"
Mood disorders ,294847017,Manic-depressive - now manic
Mood disorders ,294848010,"Bipolar affective disorder, currently manic, unspecified"
Mood disorders ,294849019,"Bipolar affective disorder, currently manic, mild"
Mood disorders ,294850019,"Bipolar affective disorder, currently manic, moderate"
Mood disorders ,513691000006116,"Bipolar affect disord, currently manic, severe, no psychosis"
Mood disorders ,513701000006116,"Bipolar affect disord, currently manic,severe with psychosis"
Mood disorders ,513741000006119,"Bipolar affect disord,currently manic, part/unspec remission"
Mood disorders ,294858014,"Bipolar affective disorder, currently manic, NOS"
Mood disorders ,294862015,"Bipolar affective disorder, currently depressed, mild"
Mood disorders ,294863013,"Bipolar affective disorder, currently depressed, moderate"
Mood disorders ,513731000006112,"Bipolar affect disord, now depressed, severe, no psychosis"
Mood disorders ,513721000006114,"Bipolar affect disord, now depressed, severe with psychosis"
Mood disorders ,513711000006118,"Bipolar affect disord, now depressed, part/unspec remission"
Mood disorders ,294869012,Mixed bipolar affective disorder
Mood disorders ,294870013,"Mixed bipolar affective disorder, unspecified"
Mood disorders ,294871012,"Mixed bipolar affective disorder, mild"
Mood disorders ,294872017,"Mixed bipolar affective disorder, moderate"
Mood disorders ,294874016,"Mixed bipolar affective disorder, severe, with psychosis"
Mood disorders ,294876019,"Mixed bipolar affective disorder, in full remission"
Mood disorders ,294877011,"Mixed bipolar affective disorder, NOS"
Mood disorders ,294880012,Unspecified bipolar affective disorder
Mood disorders ,294881011,"Unspecified bipolar affective disorder, unspecified"
Mood disorders ,294882016,"Unspecified bipolar affective disorder, mild"
Mood disorders ,294883014,"Unspecified bipolar affective disorder, moderate"
Mood disorders ,82151000006114,"Unspecified bipolar affective disorder, severe, no psychosis"
Mood disorders ,82171000006116,"Unspecified bipolar affective disorder,severe with psychosis"
Mood disorders ,82091000006116,"Unspecified bipolar affect disord, partial/unspec remission"
