Condition,MedCode,Term
Multiple sclerosis (and optic neuritis),41398015,Multiple sclerosis
Multiple sclerosis (and optic neuritis),1223979019,Disseminated sclerosis
Multiple sclerosis (and optic neuritis),695191000006119,Multiple sclerosis of the brain stem
Multiple sclerosis (and optic neuritis),297177019,Multiple sclerosis of the spinal cord
Multiple sclerosis (and optic neuritis),297179016,Generalised multiple sclerosis
Multiple sclerosis (and optic neuritis),297180018,Exacerbation of multiple sclerosis
Multiple sclerosis (and optic neuritis),641211000000118,Benign multiple sclerosis
Multiple sclerosis (and optic neuritis),2692565012,Primary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),1682241000006111,Relapsing and remitting multiple sclerosis
Multiple sclerosis (and optic neuritis),2674605012,Secondary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),297181019,Multiple sclerosis NOS
