Condition,MedCodeId,Term
Multiple sclerosis (and optic neuritis),983291000006110,Multiple sclerosis - primary progressive
Multiple sclerosis (and optic neuritis),983311000006114,Multiple sclerosis - relapsing remitting
Multiple sclerosis (and optic neuritis),983301000006111,Multiple sclerosis - secondary progressive
Multiple sclerosis (and optic neuritis),1675051000000110,Multiple sclerosis monitoring third letter
Multiple sclerosis (and optic neuritis),905781000006118,[RFC] Multiple sclerosis
Multiple sclerosis (and optic neuritis),908811000006112,[RFC] Multiple sclerosis
Multiple sclerosis (and optic neuritis),1747831000006119,multiple sclerosis monitoring first letter
Multiple sclerosis (and optic neuritis),1747841000006112,multiple sclerosis monitoring second letter
Multiple sclerosis (and optic neuritis),979461000006111,Spec serv for pat with multiple sclerosis - enh serv admin
Multiple sclerosis (and optic neuritis),1674381000000115,Multiple sclerosis monitoring first letter
Multiple sclerosis (and optic neuritis),1674661000000118,Multiple sclerosis monitoring second letter
Multiple sclerosis (and optic neuritis),41398015,Multiple sclerosis
Multiple sclerosis (and optic neuritis),1223979019,Disseminated sclerosis
Multiple sclerosis (and optic neuritis),695191000006119,Multiple sclerosis of the brain stem
Multiple sclerosis (and optic neuritis),297177019,Multiple sclerosis of the spinal cord
Multiple sclerosis (and optic neuritis),297179016,Generalised multiple sclerosis
Multiple sclerosis (and optic neuritis),297180018,Exacerbation of multiple sclerosis
Multiple sclerosis (and optic neuritis),641211000000118,Benign multiple sclerosis
Multiple sclerosis (and optic neuritis),2692565012,Primary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),1682241000006111,Relapsing and remitting multiple sclerosis
Multiple sclerosis (and optic neuritis),2674605012,Secondary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),297181019,Multiple sclerosis NOS
