Condition,MedCodeId,Term
"Neurotic, stress-related and somatoform disorders",882381000006115,Agoraphobia
"Neurotic, stress-related and somatoform disorders",988881000006118,Agoraphobia
"Neurotic, stress-related and somatoform disorders",6025531000006111,Anxiety counseling
"Neurotic, stress-related and somatoform disorders",6025541000006118,Counseling for anxiety
"Neurotic, stress-related and somatoform disorders",6025551000006116,Counselling for anxiety
"Neurotic, stress-related and somatoform disorders",1808521000006110,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",1809331000006112,Symptoms of agoraphobia
"Neurotic, stress-related and somatoform disorders",11920891000006112,[x]phobia nos
"Neurotic, stress-related and somatoform disorders",12716981000006116,agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",6025521000006113,anxiety counselling
"Neurotic, stress-related and somatoform disorders",853241000006119,phobic anxiety
"Neurotic, stress-related and somatoform disorders",12731491000006112,phobic disorder nos
"Neurotic, stress-related and somatoform disorders",2665410014,Fear
"Neurotic, stress-related and somatoform disorders",1488717011,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",370038014,Specific fear
"Neurotic, stress-related and somatoform disorders",2549895012,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",2549835014,O/E - fearful mood
"Neurotic, stress-related and somatoform disorders",402503018,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",402505013,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",675881000006115,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",488201000006114,Anxiety states
"Neurotic, stress-related and somatoform disorders",294953016,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",1210253015,Panic disorder
"Neurotic, stress-related and somatoform disorders",339044013,Panic attack
"Neurotic, stress-related and somatoform disorders",481154010,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",488211000006112,Anxiety with depression
"Neurotic, stress-related and somatoform disorders",294960010,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",294961014,Recurrent anxiety
"Neurotic, stress-related and somatoform disorders",294963012,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",56251019,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",223631000000113,Phobic disorders
"Neurotic, stress-related and somatoform disorders",138401000006119,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",223641000000116,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",294991016,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",294992011,Agoraphobia with panic attacks
"Neurotic, stress-related and somatoform disorders",294993018,Agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",294994012,"Social phobia, fear of eating in public"
"Neurotic, stress-related and somatoform disorders",294995013,"Social phobia, fear of public speaking"
"Neurotic, stress-related and somatoform disorders",294996014,"Social phobia, fear of public washing"
"Neurotic, stress-related and somatoform disorders",97986013,Acrophobia
"Neurotic, stress-related and somatoform disorders",1231321013,Animal phobia
"Neurotic, stress-related and somatoform disorders",33475016,Claustrophobia
"Neurotic, stress-related and somatoform disorders",294998010,Fear of crowds
"Neurotic, stress-related and somatoform disorders",370048011,Fear of flying
"Neurotic, stress-related and somatoform disorders",485870016,Cancer phobia
"Neurotic, stress-related and somatoform disorders",65032014,Dental phobia
"Neurotic, stress-related and somatoform disorders",166341019,Fear of death
"Neurotic, stress-related and somatoform disorders",295004011,Fear of pregnancy
"Neurotic, stress-related and somatoform disorders",401780016,Phobic disorder NOS
"Neurotic, stress-related and somatoform disorders",295026012,Other neurotic disorders
"Neurotic, stress-related and somatoform disorders",295029017,Writer's cramp neurosis
"Neurotic, stress-related and somatoform disorders",295031014,Other occupational neurosis
"Neurotic, stress-related and somatoform disorders",295032019,Psychasthenic neurosis
"Neurotic, stress-related and somatoform disorders",295033012,Other neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",401783019,Neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",376741000006119,[X]Depressive neurosis
"Neurotic, stress-related and somatoform disorders",399961000006118,[X]Neurotic depression
"Neurotic, stress-related and somatoform disorders",419841000006116,[X]Persistant anxiety depression
"Neurotic, stress-related and somatoform disorders",296224013,[X]Phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",362871000006111,[X]Agoraphobia
"Neurotic, stress-related and somatoform disorders",418051000006118,[X]Panic disorder with agoraphobia
"Neurotic, stress-related and somatoform disorders",427071000006115,[X]Social phobias
"Neurotic, stress-related and somatoform disorders",427061000006110,[X]Social neurosis
"Neurotic, stress-related and somatoform disorders",427231000006111,[X]Specific (isolated) phobias
"Neurotic, stress-related and somatoform disorders",362181000006117,[X]Acrophobia
"Neurotic, stress-related and somatoform disorders",363281000006117,[X]Animal phobias
"Neurotic, stress-related and somatoform disorders",371071000006117,[X]Claustrophobia
"Neurotic, stress-related and somatoform disorders",426871000006113,[X]Simple phobia
"Neurotic, stress-related and somatoform disorders",980191000006111,[X]Needle phobia
"Neurotic, stress-related and somatoform disorders",296236019,[X]Other phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",296237011,"[X]Phobic anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",420631000006114,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",420671000006112,[X]Phobic state NOS
"Neurotic, stress-related and somatoform disorders",296238018,[X]Other anxiety disorders
"Neurotic, stress-related and somatoform disorders",296239014,[X]Panic disorder [episodic paroxysmal anxiety]
"Neurotic, stress-related and somatoform disorders",418031000006113,[X]Panic attack
"Neurotic, stress-related and somatoform disorders",418061000006116,[X]Panic state
"Neurotic, stress-related and somatoform disorders",388071000006116,[X]Generalized anxiety disorder
"Neurotic, stress-related and somatoform disorders",363651000006111,[X]Anxiety neurosis
"Neurotic, stress-related and somatoform disorders",363671000006118,[X]Anxiety reaction
"Neurotic, stress-related and somatoform disorders",363681000006115,[X]Anxiety state
"Neurotic, stress-related and somatoform disorders",398561000006117,[X]Mixed anxiety and depressive disorder
"Neurotic, stress-related and somatoform disorders",398351000006110,[X]Mild anxiety depression
"Neurotic, stress-related and somatoform disorders",296245018,[X]Other mixed anxiety disorders
"Neurotic, stress-related and somatoform disorders",401881014,[X]Other specified anxiety disorders
"Neurotic, stress-related and somatoform disorders",363641000006114,[X]Anxiety hysteria
"Neurotic, stress-related and somatoform disorders",296249012,"[X]Anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",363661000006113,[X]Anxiety NOS
"Neurotic, stress-related and somatoform disorders",0,Phobia counselling
"Neurotic, stress-related and somatoform disorders",0,Anxiety counselling
