Condition,MedCode,Term
"Organic, including symptomatic, mental disorders",401838011,[X]Unspecified organic or symptomatic mental disorder
"Organic, including symptomatic, mental disorders",1495056012,[X]Organic psychosyndrome
"Organic, including symptomatic, mental disorders",16251000006117,Other specific mental disorder post-organic brain damage
"Organic, including symptomatic, mental disorders",362211000006118,"[X]Acute / subacute confusional state, nonalcoholic"
"Organic, including symptomatic, mental disorders",376461000006110,"[X]Delirium, not induced by alcohol+other psychoactive subs"
"Organic, including symptomatic, mental disorders",379901000006113,[X]Epileptic psychosis NOS
"Organic, including symptomatic, mental disorders",404001000006114,[X]Organic mental disorder NOS
"Organic, including symptomatic, mental disorders",404041000006111,[X]Organic psychosis NOS
"Organic, including symptomatic, mental disorders",404911000006113,[X]Oth organ personality behav disorders brain dis dam dysf
"Organic, including symptomatic, mental disorders",405051000006114,[X]Oth sp mental disord brain damag/dysfunction/physcal disd
"Organic, including symptomatic, mental disorders",420411000006117,[X]Personality and behav disorder brain dis dam and dysfunct
"Organic, including symptomatic, mental disorders",430371000006115,[X]Unspec organ personality behav disorder brain dam dysfunc
"Organic, including symptomatic, mental disorders",295667018,"[X]Organic, including symptomatic, mental disorders"
"Organic, including symptomatic, mental disorders",430341000006111,[X]Unspec mental disorder brain damag/dysfunction/physcal dr
"Organic, including symptomatic, mental disorders",362241000006119,[X]Acute / subacute psycho-organic reaction
"Organic, including symptomatic, mental disorders",403941000006114,[X]Organic brain syndrome NOS
"Organic, including symptomatic, mental disorders",404841000006119,[X]Oth mental disorder brain damag/dysfunction/physical disr
"Organic, including symptomatic, mental disorders",294656010,Arteriosclerotic dementia NOS
"Organic, including symptomatic, mental disorders",363791000006112,[X]Arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",399031000006111,[X]Multi-infarct dementia
"Organic, including symptomatic, mental disorders",431681000006117,[X]Vascular dementia
"Organic, including symptomatic, mental disorders",431691000006119,[X]Vascular dementia of acute onset
"Organic, including symptomatic, mental disorders",423221000006117,[X]Predominantly cortical dementia
"Organic, including symptomatic, mental disorders",3414251000006112,VAD - Vascular dementia
"Organic, including symptomatic, mental disorders",294652012,Uncomplicated arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",294653019,Arteriosclerotic dementia with delirium
"Organic, including symptomatic, mental disorders",294654013,Arteriosclerotic dementia with paranoia
"Organic, including symptomatic, mental disorders",294655014,Arteriosclerotic dementia with depression
"Organic, including symptomatic, mental disorders",497559016,Arteriosclerotic dementia
"Organic, including symptomatic, mental disorders",295680015,[X]Other vascular dementia
"Organic, including symptomatic, mental disorders",3414261000006114,Multi infarct dementia
"Organic, including symptomatic, mental disorders",295681016,"[X]Vascular dementia, unspecified"
"Organic, including symptomatic, mental disorders",3414231000006117,MID - Multi-infarct dementia
"Organic, including symptomatic, mental disorders",696161000006115,Multi infarct dementia
"Organic, including symptomatic, mental disorders",742671000006118,Lip operations
"Organic, including symptomatic, mental disorders",268264011,Lip operations NOS
"Organic, including symptomatic, mental disorders",6516541000006119,Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy
"Organic, including symptomatic, mental disorders",841051000006113,Cereb autosom dominant arteriop subcort infarcts leukoenceph
"Organic, including symptomatic, mental disorders",428201000006119,[X]Subcortical vascular dementia
"Organic, including symptomatic, mental disorders",398571000006112,[X]Mixed cortical and subcortical vascular dementia
"Organic, including symptomatic, mental disorders",4654101000006111,Wedge resection of lip
"Organic, including symptomatic, mental disorders",359241000006119,[X] Unspecified dementia
"Organic, including symptomatic, mental disorders",3350441000006115,Organic dementia
"Organic, including symptomatic, mental disorders",415873013,Cerebral atrophy
"Organic, including symptomatic, mental disorders",148381000006115,Senile/presenile dementia
"Organic, including symptomatic, mental disorders",4060291000006119,Cerebral systemic lupus erythematosus
"Organic, including symptomatic, mental disorders",158442019,Systemic lupus erythematosus encephalitis
"Organic, including symptomatic, mental disorders",512234017,Cerebral lupus
"Organic, including symptomatic, mental disorders",4060271000006119,Lupus encephalopathy
"Organic, including symptomatic, mental disorders",295713019,"[X]Delirium not superimposed on dementia, so described"
"Organic, including symptomatic, mental disorders",362201000006116,[X]Acute / subacute brain syndrome
"Organic, including symptomatic, mental disorders",2543161000006110,Acute psycho-organic syndrome
"Organic, including symptomatic, mental disorders",612521000006115,Delirium - acute organic
"Organic, including symptomatic, mental disorders",2543181000006117,ABS - Acute brain syndrome
"Organic, including symptomatic, mental disorders",2543191000006119,Acute brain syndrome
"Organic, including symptomatic, mental disorders",294706010,Subacute confusional state
"Organic, including symptomatic, mental disorders",376431000006118,[X]Delirium of mixed origin
"Organic, including symptomatic, mental disorders",612531000006117,Delirium - subacute organic
"Organic, including symptomatic, mental disorders",483651010,Acute confusional state
"Organic, including symptomatic, mental disorders",294704013,Acute confusional state NOS
"Organic, including symptomatic, mental disorders",294712017,Subacute confusional state NOS
"Organic, including symptomatic, mental disorders",295718011,"[X]Delirium, unspecified"
"Organic, including symptomatic, mental disorders",2543131000006118,Organic brain syndrome
"Organic, including symptomatic, mental disorders",401831017,[X]Other delirium
"Organic, including symptomatic, mental disorders",2543151000006113,OBS - Organic brain syndrome
"Organic, including symptomatic, mental disorders",295714013,[X]Delirium superimposed on dementia
"Organic, including symptomatic, mental disorders",4763441000006118,Subacute delirium
"Organic, including symptomatic, mental disorders",362231000006112,[X]Acute / subacute organic reaction
"Organic, including symptomatic, mental disorders",317932013,"[D]Senility, without psychosis NOS"
"Organic, including symptomatic, mental disorders",402397010,"[D]Senility, without mention of psychosis"
"Organic, including symptomatic, mental disorders",359141000006111,[X] Senile dementia NOS
"Organic, including symptomatic, mental disorders",3229071000006117,Frenectomy of lip
"Organic, including symptomatic, mental disorders",735781000006116,Labial frenectomy
"Organic, including symptomatic, mental disorders",4763081000006118,Senile delirium
"Organic, including symptomatic, mental disorders",2748441000006111,SD - Senile dementia
"Organic, including symptomatic, mental disorders",26545010,Senile dementia
"Organic, including symptomatic, mental disorders",294648012,Senile dementia with delirium
"Organic, including symptomatic, mental disorders",420275011,Upper labial fraenectomy
"Organic, including symptomatic, mental disorders",882211000006118,Senile dementia-acute confused
"Organic, including symptomatic, mental disorders",294638010,Presenile dementia with delirium
"Organic, including symptomatic, mental disorders",3669801000006113,Cheiloplasty
"Organic, including symptomatic, mental disorders",1222549013,[D]Senility
"Organic, including symptomatic, mental disorders",5659651000006113,Upper labial frenectomy
"Organic, including symptomatic, mental disorders",299334015,[X]Other generalized epilepsy and epileptic syndromes
"Organic, including symptomatic, mental disorders",3878501000006115,EP - Epilepsy
"Organic, including symptomatic, mental disorders",299336018,[X]Other epilepsy
"Organic, including symptomatic, mental disorders",178739011,Epilepsy
"Organic, including symptomatic, mental disorders",297324019,Other forms of epilepsy
"Organic, including symptomatic, mental disorders",399408014,Epilepsy NOS
"Organic, including symptomatic, mental disorders",3878491000006111,Epileptic
"Organic, including symptomatic, mental disorders",3878481000006113,Epileptic disorder
"Organic, including symptomatic, mental disorders",297330019,Other forms of epilepsy NOS
"Organic, including symptomatic, mental disorders",317081012,[D]Toxic confusional state
"Organic, including symptomatic, mental disorders",122851000006118,"Subacute confusional state, post traumatic"
"Organic, including symptomatic, mental disorders",4763461000006119,"Subacute confusional state, post-traumatic"
"Organic, including symptomatic, mental disorders",4763391000006117,"Acute confusional state, post-traumatic"
"Organic, including symptomatic, mental disorders",4550631000006111,On examination - delirious
"Organic, including symptomatic, mental disorders",294700016,"Acute confusional state, of infective origin"
"Organic, including symptomatic, mental disorders",294708011,"Subacute confusional state, of infective origin"
"Organic, including symptomatic, mental disorders",253593010,O/E - delirious
"Organic, including symptomatic, mental disorders",294702012,"Acute confusional state, of metabolic origin"
"Organic, including symptomatic, mental disorders",294709015,"Subacute confusional state, of endocrine origin"
"Organic, including symptomatic, mental disorders",294710013,"Subacute confusional state, of metabolic origin"
"Organic, including symptomatic, mental disorders",294711012,"Subacute confusional state, of cerebrovascular origin"
"Organic, including symptomatic, mental disorders",346898013,Toxic confusional state
"Organic, including symptomatic, mental disorders",294703019,"Acute confusional state, of cerebrovascular origin"
"Organic, including symptomatic, mental disorders",456251000006115,"Acute confusional state, post traumatic"
"Organic, including symptomatic, mental disorders",362221000006114,[X]Acute / subacute infective psychosis
"Organic, including symptomatic, mental disorders",294701017,"Acute confusional state, of endocrine origin"
"Organic, including symptomatic, mental disorders",42201000006113,Organic hallucinosis syndrome
"Organic, including symptomatic, mental disorders",403991000006117,[X]Organic hallucinosis
"Organic, including symptomatic, mental disorders",294722011,Other specified organic psychoses
