Condition,MedCode,Term
Other forms of heart disease,299951017,Other diseases of pericardium
Other forms of heart disease,299955014,Adhesive pericarditis NOS
Other forms of heart disease,300888012,[X]Other specified diseases of pericardium
Other forms of heart disease,300891012,[X]Pericarditis in other diseases classified elsewhere
Other forms of heart disease,3407391000006115,Pericardial disorder
Other forms of heart disease,395763011,Other specified pericardial disease NOS
Other forms of heart disease,395764017,Other pericardial disease NOS
Other forms of heart disease,62911012,Adhesive pericarditis
Other forms of heart disease,299961012,Other diseases of pericardium OS
Other forms of heart disease,3107331000006115,Adherent pericardium
Other forms of heart disease,299958011,Constrictive pericarditis NOS
Other forms of heart disease,299957018,Pick's disease of heart
Other forms of heart disease,3891471000006112,Pick syndrome of heart
Other forms of heart disease,141891015,Constrictive pericarditis
Other forms of heart disease,71153013,Calcification of pericardium
Other forms of heart disease,3891481000006111,Pick disease of heart
Other forms of heart disease,2873431000006114,Haematopericardium
Other forms of heart disease,2873421000006111,Hematopericardium
Other forms of heart disease,2873411000006115,Hemopericardium
Other forms of heart disease,39303019,Haemopericardium
Other forms of heart disease,299981013,"Mitral incompetence, cause unspecified"
Other forms of heart disease,299596016,Mitral valve disease NOS
Other forms of heart disease,5560091000006116,Heart valve disorders - non-rheumatic
Other forms of heart disease,3288531000006110,Mitral insufficiency
Other forms of heart disease,412241000006110,[X]Other nonrheumatic mitral valve disorders
Other forms of heart disease,5560081000006119,Non-rheumatic heart valve disorder
Other forms of heart disease,3288521000006112,MR - Mitral regurgitation
Other forms of heart disease,2688731000006112,MVD - Mitral valve disease
Other forms of heart disease,884271000006117,Non-rheum. mitral incompetence
Other forms of heart disease,299984017,Mitral valve disorders NOS
Other forms of heart disease,300863016,[X]Other mitral valve diseases
Other forms of heart disease,3288511000006116,MI - Mitral incompetence
Other forms of heart disease,4776741000006111,Non-rheumatic mitral regurgitation
Other forms of heart disease,81186016,Mitral valve regurgitation
Other forms of heart disease,81192010,Mitral valve insufficiency
Other forms of heart disease,299980014,"Mitral incompetence, non-rheumatic"
Other forms of heart disease,883991000006114,Chronic rheumatic mitral valve
Other forms of heart disease,81191015,Mitral valve incompetence
Other forms of heart disease,818841000006115,Heart valve disorders - non rheumatic
Other forms of heart disease,3288481000006112,Mitral valve incompetence
Other forms of heart disease,300896019,[X]Mitral valve disorders in diseases classified elsewhere
Other forms of heart disease,81193017,Mitral regurgitation
Other forms of heart disease,219511000000113,Mitral valve diseases
Other forms of heart disease,700891000006114,Mitral valve prolapse
Other forms of heart disease,5294141000006112,Mitral cusp prolapse
Other forms of heart disease,5294151000006114,Mitral leaf prolapse
Other forms of heart disease,374120018,Mitral valve leaf prolapse
Other forms of heart disease,2471474013,Mitral valve prolapse
Other forms of heart disease,6782861000006115,MVP - Mitral valve prolapse
Other forms of heart disease,585851000006114,Nonrheumatic mitral valve stenosis
