Condition,MedCodeId,Term
Other reintal disorders (Macular degeneration),369092019,Retinal drusen
Other reintal disorders (Macular degeneration),1231068014,Retinal pigment epithelium serous detachment
Other reintal disorders (Macular degeneration),1216693019,Retinal pigment epithelium haemorrhagic detachment
Other reintal disorders (Macular degeneration),347719019,Retinal pigment epithelial detachment
Other reintal disorders (Macular degeneration),399433012,Degeneration of macula and posterior pole
Other reintal disorders (Macular degeneration),399676018,Senile macular degeneration
Other reintal disorders (Macular degeneration),78571000006118,Unspecified senile macular degeneration
Other reintal disorders (Macular degeneration),2537365016,Dry senile macular degeneration
Other reintal disorders (Macular degeneration),2538088014,Wet senile macular degeneration
Other reintal disorders (Macular degeneration),753461000006116,Kuhnt - Junius degeneration
Other reintal disorders (Macular degeneration),31523017,Drusen
Other reintal disorders (Macular degeneration),297816017,Degeneration of macula or posterior pole NOS
