Condition,MedCode,Term
Other spirochaetal infections,299288010,[X]Other bacterial meningitis
Other spirochaetal infections,308710015,Other specified erythematous conditions
Other spirochaetal infections,308718010,Other exfoliative erythema
Other spirochaetal infections,309342017,[X]Erythema in other diseases classified elsewhere
Other spirochaetal infections,1221485013,Other neurolysis of peripheral nerve
Other spirochaetal infections,2875141000006113,Steere's disease
Other spirochaetal infections,3268561000006115,Retinaculotomy of carpal tunnel
Other spirochaetal infections,648201000006115,Erythema chronicum migrans
Other spirochaetal infections,648431000006110,Erythematous conditions
Other spirochaetal infections,2894721000006112,Peripheral nerve procedure
Other spirochaetal infections,7733351000006110,Infection of central nervous system caused by Borrelia burgdorferi
Other spirochaetal infections,3631811000006115,Erythema chronica migrans
Other spirochaetal infections,7771461000006117,Cutaneous B-cell pseudolymphoma caused by Borrelia
Other spirochaetal infections,4063781000006119,"Meningitis, bacterial"
Other spirochaetal infections,3631841000006116,Erythema chronicum migrans skin condition
Other spirochaetal infections,3162291000006113,Spirochetal infection
Other spirochaetal infections,287461014,Other spirochaetal infections
Other spirochaetal infections,288092019,[X]Other spirochaetal diseases
Other spirochaetal infections,287473014,Other specified spirochaetal infections
Other spirochaetal infections,288101016,[X]Other specified spirochaetal infections
Other spirochaetal infections,266189018,Peripheral nerve operations NOS
Other spirochaetal infections,158829010,Bacterial meningitis
Other spirochaetal infections,287393017,Other spirochaetal diseases
Other spirochaetal infections,296802015,Other specified bacterial meningitis NOS
Other spirochaetal infections,4063771000006117,BM - Bacterial meningitis
Other spirochaetal infections,2875161000006112,Infection due to Borrelia burgdorferi sensu lato
Other spirochaetal infections,39462014,Lyme disease
Other spirochaetal infections,129217018,Lyme carditis
Other spirochaetal infections,481996010,Peripheral nerve operations
Other spirochaetal infections,485678014,Arthritis in Lyme disease
Other spirochaetal infections,2955528012,Erythema migrans
Other spirochaetal infections,2390131000000110,Borrelial lymphocytoma
Other spirochaetal infections,287470012,Other spirochaetal infection NOS
Other spirochaetal infections,287474015,Spirochaetal infection NOS
Other spirochaetal infections,296780015,Meningitis in other bacterial disease classified elsewhere
Other spirochaetal infections,296788010,Unspecified meningitis in bacterial disease EC
Other spirochaetal infections,296789019,Other specified bacterial meningitis
Other spirochaetal infections,1927231000006112,Lyme neuroborreliosis
Other spirochaetal infections,91031000006110,Transposition of ulnar nerve
Other spirochaetal infections,1541151000006113,Neurolysis peripheral nerve transposition peripher nerve NEC
Other spirochaetal infections,288102011,"[X]Spirochaetal infection, unspecified"
Other spirochaetal infections,287469011,Other specified spirochaetal infection
Other spirochaetal infections,296803013,Bacterial meningitis NOS
Other spirochaetal infections,308724016,Erythematous conditions NOS
Other spirochaetal infections,309341012,[X]Other specified erythematous conditions
Other spirochaetal infections,481640018,Lyme borreliosis
Other spirochaetal infections,56659013,Lyme arthritis
Other spirochaetal infections,399921010,Other erythematous conditions NOS
Other spirochaetal infections,1221484012,Neurolysis of other trapped periperal nerve
Other spirochaetal infections,3162301000006114,Spirochetosis
