Condition,MedCodeId,Term
Rhinitis and Sinusitis,61668014,Sinusitis
Rhinitis and Sinusitis,66718013,Chronic sinusitis
Rhinitis and Sinusitis,1229598015,Chronic rhinosinusitis
Rhinitis and Sinusitis,59944016,Chronic maxillary sinusitis
Rhinitis and Sinusitis,488111000006118,Antritis - chronic
Rhinitis and Sinusitis,146480018,Maxillary sinusitis
Rhinitis and Sinusitis,99894013,Chronic frontal sinusitis
Rhinitis and Sinusitis,130650014,Frontal sinusitis
Rhinitis and Sinusitis,121629017,Chronic ethmoidal sinusitis
Rhinitis and Sinusitis,65349012,Chronic sphenoidal sinusitis
Rhinitis and Sinusitis,301210011,Recurrent sinusitis
Rhinitis and Sinusitis,301211010,Other chronic sinusitis
Rhinitis and Sinusitis,147320013,Chronic pansinusitis
Rhinitis and Sinusitis,301212015,Pansinusitis
Rhinitis and Sinusitis,301213013,Other chronic sinusitis NOS
Rhinitis and Sinusitis,301214019,Chronic sinusitis NOS
Rhinitis and Sinusitis,477701000006111,Allergic rhinosinusitis
Rhinitis and Sinusitis,301825016,[X]Other chronic sinusitis
Rhinitis and Sinusitis,481105015,Hay fever
Rhinitis and Sinusitis,6298141000006118,Hay fever
Rhinitis and Sinusitis,933361000006117,Hay fever
Rhinitis and Sinusitis,492457012,Seasonal allergic rhinitis
Rhinitis and Sinusitis,142764012,Chronic rhinitis
Rhinitis and Sinusitis,301176016,Chronic simple rhinitis
Rhinitis and Sinusitis,396095011,Chronic catarrhal rhinitis
Rhinitis and Sinusitis,301181013,Chronic hypertrophic rhinitis
Rhinitis and Sinusitis,301182018,Chronic atrophic rhinitis
Rhinitis and Sinusitis,301183011,Chronic infective rhinitis
Rhinitis and Sinusitis,301184017,Chronic ulcerative rhinitis
Rhinitis and Sinusitis,301185016,Chronic membranous rhinitis
Rhinitis and Sinusitis,301186015,Chronic fibrinous rhinitis
Rhinitis and Sinusitis,301187012,Chronic rhinitis NOS
Rhinitis and Sinusitis,102311013,Allergic rhinitis
Rhinitis and Sinusitis,224001000000114,Perennial rhinitis
Rhinitis and Sinusitis,481104016,Allergic rhinitis due to pollens
Rhinitis and Sinusitis,817341000006110,Hay fever - pollens
Rhinitis and Sinusitis,36447011,Pollinosis
Rhinitis and Sinusitis,396097015,Allergic rhinitis due to other allergens
Rhinitis and Sinusitis,348103016,Cat allergy
Rhinitis and Sinusitis,348104010,Dander (animal) allergy
Rhinitis and Sinusitis,348106012,Feather allergy
Rhinitis and Sinusitis,348109017,Hay fever - other allergen
Rhinitis and Sinusitis,348107015,House dust allergy
Rhinitis and Sinusitis,348108013,House dust mite allergy
Rhinitis and Sinusitis,1495072016,Allergy to animal
Rhinitis and Sinusitis,634501000000119,Dog allergy
Rhinitis and Sinusitis,396098013,Allergic rhinitis due to unspecified allergen
Rhinitis and Sinusitis,348110010,Hay fever - unspecified allergen
Rhinitis and Sinusitis,301268012,Allergic rhinitis NOS
Rhinitis and Sinusitis,14582019,Vasomotor rhinitis
Rhinitis and Sinusitis,817361000006114,Hay fever with asthma
Rhinitis and Sinusitis,350153016,Hay fever with asthma
Rhinitis and Sinusitis,301823011,[X]Other seasonal allergic rhinitis
Rhinitis and Sinusitis,301824017,[X]Other allergic rhinitis
