Condition,MedCode,Term
Schizophrenia,1974511000006112,"Paranoid schizophrenia, complete remission"
Schizophrenia,8232521000006118,Paranoid state in remission
Schizophrenia,882291000006111,Schizophrenic psychoses
Schizophrenia,882281000006113,Schizophrenic psychoses NOS
Schizophrenia,12759121000006116,[x]chronic hallucinatory psychosis
Schizophrenia,12759131000006116,[x]other nonorganic psychotic disorders
Schizophrenia,12480451000006112,"[x]schizophrenia, schizotypal and delusional disorders"
Schizophrenia,492821000000113,Schizophrenia resolved
Schizophrenia,492881000000114,Psychosis resolved
Schizophrenia,402504012,"Psychotic condition, insight present"
Schizophrenia,215691000006112,Poor insight into psychotic condition
Schizophrenia,294724012,Non-organic psychoses
Schizophrenia,294725013,Schizophrenic disorders
Schizophrenia,294727017,Simple schizophrenia
Schizophrenia,294726014,Schizophrenia simplex
Schizophrenia,294728010,Unspecified schizophrenia
Schizophrenia,28758018,Subchronic schizophrenia
Schizophrenia,1234861017,Chronic schizophrenic
Schizophrenia,294730012,Acute exacerbation of subchronic schizophrenia
Schizophrenia,294731011,Acute exacerbation of chronic schizophrenia
Schizophrenia,9225016,Schizophrenia in remission
Schizophrenia,294734015,Simple schizophrenia NOS
Schizophrenia,819351000006115,Hebephrenic schizophrenia
Schizophrenia,294735019,Unspecified hebephrenic schizophrenia
Schizophrenia,294739013,Acute exacerbation of chronic hebephrenic schizophrenia
Schizophrenia,294740010,Hebephrenic schizophrenia in remission
Schizophrenia,294741014,Hebephrenic schizophrenia NOS
Schizophrenia,294742019,Catatonic schizophrenia
Schizophrenia,294744018,Unspecified catatonic schizophrenia
Schizophrenia,71539017,Subchronic catatonic schizophrenia
Schizophrenia,294751010,Acute exacerbation of chronic catatonic schizophrenia
Schizophrenia,178723016,Catatonic schizophrenia in remission
Schizophrenia,294753013,Catatonic schizophrenia NOS
Schizophrenia,107878010,Paranoid schizophrenia
Schizophrenia,294754019,Unspecified paranoid schizophrenia
Schizophrenia,132503015,Subchronic paranoid schizophrenia
Schizophrenia,52897013,Chronic paranoid schizophrenia
Schizophrenia,294757014,Acute exacerbation of subchronic paranoid schizophrenia
Schizophrenia,294758016,Acute exacerbation of chronic paranoid schizophrenia
Schizophrenia,105029017,Paranoid schizophrenia in remission
Schizophrenia,294760019,Paranoid schizophrenia NOS
Schizophrenia,294764011,Latent schizophrenia
Schizophrenia,294765012,Unspecified latent schizophrenia
Schizophrenia,294767016,Chronic latent schizophrenia
Schizophrenia,294770017,Latent schizophrenia in remission
