Condition,MedCode,Term
Spinal degenerative disease ,890841000006118,Cervical spond.- no myelopathy
Spinal degenerative disease ,890851000006116,Cervical spond.with myelopathy
Spinal degenerative disease ,890861000006119,Lumbosacral spond + myelopathy
Spinal degenerative disease ,318465011,"Open fracture lumbar vertebra, spondylolysis"
Spinal degenerative disease ,890831000006111,Spondyloses
Spinal degenerative disease ,990511000006110,Spondyloses
Spinal degenerative disease ,12759411000006116,osteoarthritis of spine nos
Spinal degenerative disease ,12724881000006110,spondylosis nos
Spinal degenerative disease ,297150011,Myelopathy due to spondylosis
Spinal degenerative disease ,297465015,Nerve root and plexus compressions in spondylosis
Spinal degenerative disease ,400266016,Spondylosis and allied disorders
Spinal degenerative disease ,1209790019,Arthritis of spine
Spinal degenerative disease ,18181000006118,Osteoarthritis of spine
Spinal degenerative disease ,400267013,Cervical spondylosis without myelopathy
Spinal degenerative disease ,1481870016,Cervical spondylosis
Spinal degenerative disease ,219611000000112,Osteoarthritis cervical spine
Spinal degenerative disease ,311055019,Single-level cervical spondylosis without myelopathy
Spinal degenerative disease ,311056018,Two-level cervical spondylosis without myelopathy
Spinal degenerative disease ,311057010,Multiple-level cervical spondylosis without myelopathy
Spinal degenerative disease ,108431018,Cervical spondylosis with myelopathy
Spinal degenerative disease ,311061016,Single-level cervical spondylosis with myelopathy
Spinal degenerative disease ,311062011,Two-level cervical spondylosis with myelopathy
Spinal degenerative disease ,311063018,Multiple-level cervical spondylosis with myelopathy
Spinal degenerative disease ,400268015,Thoracic spondylosis without myelopathy
Spinal degenerative disease ,1481872012,Thoracic spondylosis
Spinal degenerative disease ,311068010,Single-level thoracic spondylosis without myelopathy
Spinal degenerative disease ,311069019,Two-level thoracic spondylosis without myelopathy
Spinal degenerative disease ,311070018,Multiple-level thoracic spondylosis without myelopathy
Spinal degenerative disease ,400269011,Dorsal spondylosis without myelopathy
Spinal degenerative disease ,19006012,Thoracic spondylosis with myelopathy
Spinal degenerative disease ,311072014,Single-level thoracic spondylosis with myelopathy
Spinal degenerative disease ,311074010,Multiple-level thoracic spondylosis with myelopathy
Spinal degenerative disease ,80324016,Lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,611421000006111,Degeneration of lumbar spine
Spinal degenerative disease ,359432012,Lumbar spondylosis
Spinal degenerative disease ,311079017,Single-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,311080019,Two-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,311081015,Multiple-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease ,311082010,Lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311083017,Single-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311084011,Two-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311085012,Multiple-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease ,311091014,Cervical spondylosis with radiculopathy
Spinal degenerative disease ,311093012,Single-level cervical spondylosis with radiculopathy
Spinal degenerative disease ,311094018,Two-level cervical spondylosis with radiculopathy
Spinal degenerative disease ,311095017,Multiple-level cervical spondylosis with radiculopathy
Spinal degenerative disease ,311096016,Cervical spondylosis with vascular compression
Spinal degenerative disease ,311097013,Thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311099011,Single-level thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311100015,Two-level thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311103018,Multiple-level thoracic spondylosis with radiculopathy
Spinal degenerative disease ,311106014,Lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,311108010,Single-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,311109019,Two-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,311110012,Multiple-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease ,508047017,Osteoarthritis of spine
Spinal degenerative disease ,1492276018,Osteoarthritis of cervical spine
Spinal degenerative disease ,1492281010,Osteoarthritis of thoracic spine
Spinal degenerative disease ,359433019,Osteoarthritis of lumbar spine
Spinal degenerative disease ,2476044012,Osteoarthritis of spine NOS
Spinal degenerative disease ,1705871000006118,Cervical spondylosis
Spinal degenerative disease ,130001000006111,Spondylosis NOS
Spinal degenerative disease ,18191000006115,Osteoarthritis spine
Spinal degenerative disease ,311118017,"Spondylosis without myelopathy, NOS"
Spinal degenerative disease ,311119013,"Spondylosis with myelopathy, NOS"
Spinal degenerative disease ,400271011,Spondylosis NOS
Spinal degenerative disease ,312613012,[X]Other spondylosis with radiculopathy
Spinal degenerative disease ,312614018,[X]Other spondylosis
Spinal degenerative disease ,1780401000006116,Laminectomy
Spinal degenerative disease ,875071000006117,Laminectomy - unspecified
Spinal degenerative disease ,932311000006110,Laminectomy - unspecified
Spinal degenerative disease ,875081000006119,Laminectomy site re-opening
Spinal degenerative disease ,932321000006119,Laminectomy site re-opening
Spinal degenerative disease ,4405341000006115,Lumbar radiculopathy
Spinal degenerative disease ,890921000006116,Post laminectomy syndrome
Spinal degenerative disease ,12728091000006112,other and unspecified disc disorders
Spinal degenerative disease ,209131000006117,Primary anterior excis cervical IV disc & interbody fusion
Spinal degenerative disease ,276277012,Primary microdiscectomy of cervical intervertebral disc
Spinal degenerative disease ,276291018,Revisional microdiscectomy of cervical intervertebral disc
Spinal degenerative disease ,276312011,Primary costotransversectomy of thoracic intervertebral disc
Spinal degenerative disease ,276313018,Primary posterior decompression of thoracic disc
Spinal degenerative disease ,1552411000006114,Revision percutan endosc exc thoracic intervertebral disc
Spinal degenerative disease ,276388015,Primary lumbar discectomy
Spinal degenerative disease ,276393017,Primary fenestration of lumbar intervertebral disc
Spinal degenerative disease ,276400013,Primary lumbar microdiscectomy
Spinal degenerative disease ,453172019,Primary percutaneous intradiscal lumbar discectomy
Spinal degenerative disease ,276404016,Other specified primary lumbar discectomy
Spinal degenerative disease ,276406019,Revisional lumbar discectomy
Spinal degenerative disease ,276417018,Revisional lumbar microdiscectomy
Spinal degenerative disease ,276419015,Other specified revisional lumbar discectomy
Spinal degenerative disease ,1552961000006119,Primary automated percutan mech excis cerv intervert disc
Spinal degenerative disease ,1553021000006118,Revisional automated percutan mech exc cerv intervert disc
Spinal degenerative disease ,1553081000006119,Primary percutaneous decompres coblat cerv intervert disc
Spinal degenerative disease ,1553141000006112,Revisional percutaneous decompres coblat cerv intervert disc
