Condition,MedCode,Term
Systemic connective tissue disorders,2534171012,Giant cell arteritis
Systemic connective tissue disorders,1787109017,Cranial arteritis
Systemic connective tissue disorders,1779388019,Temporal arteritis
Systemic connective tissue disorders,1787110010,Horton's disease
Systemic connective tissue disorders,300584016,Giant cell arteritis NOS
Systemic connective tissue disorders,359513016,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,312576015,[X]Other giant cell arteritis
Systemic connective tissue disorders,108529013,Polymyalgia rheumatica
Systemic connective tissue disorders,158050019,Polymyalgia
Systemic connective tissue disorders,297542011,Polyneuropathy in disseminated lupus erythematosus
Systemic connective tissue disorders,297639014,Myopathy due to disseminated lupus erythematosus
Systemic connective tissue disorders,660871000006118,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,301721015,Lung disease with systemic lupus erythematosus
Systemic connective tissue disorders,677561000006119,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,114310015,Lupus nephritis
Systemic connective tissue disorders,177301000006114,Renal tubulo-interstitial disorder in systemic lupus erythematosus
Systemic connective tissue disorders,308697013,Lupus erythematosus
Systemic connective tissue disorders,308700012,Lupus erythematosus chronicus
Systemic connective tissue disorders,308701011,Discoid lupus erythematosus
Systemic connective tissue disorders,308704015,Lupus erythematosus migrans
Systemic connective tissue disorders,308705019,Lupus erythematosus nodularis
Systemic connective tissue disorders,25612013,Lupus erythematosus profundus
Systemic connective tissue disorders,308706018,Lupus erythematosus tumidus
Systemic connective tissue disorders,308707010,Lupus erythematosus unguium mutilans
Systemic connective tissue disorders,359447015,Subacute cutaneous lupus erythematosus
Systemic connective tissue disorders,308709013,Lupus erythematosus NOS
Systemic connective tissue disorders,309383019,Cutaneous lupus erythematosus
Systemic connective tissue disorders,92208011,Systemic lupus erythematosus
Systemic connective tissue disorders,92209015,Disseminated lupus erythematosus
Systemic connective tissue disorders,496853017,Libman-Sacks disease
Systemic connective tissue disorders,309405011,Drug-induced systemic lupus erythematosus
Systemic connective tissue disorders,114251000006118,Systemic lupus erythematosus with organ/system involvement
Systemic connective tissue disorders,453243010,Systemic lupus erythematosus with pericarditis
Systemic connective tissue disorders,512234017,Cerebral lupus
Systemic connective tissue disorders,309408013,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,312579010,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,5557071000006111,Systemic lupus activity measure
Systemic connective tissue disorders,5557081000006114,SLAM - Systemic lupus activity measure
Systemic connective tissue disorders,5557091000006112,Systemic lupus erythematosus disease activity index
Systemic connective tissue disorders,297644019,Myopathy due to scleroderma
Systemic connective tissue disorders,301716018,Lung disease with systemic sclerosis
Systemic connective tissue disorders,354513019,Acute scleroderma renal crisis
Systemic connective tissue disorders,354512012,Renal involvement in scleroderma
Systemic connective tissue disorders,309413012,Scleroderma
Systemic connective tissue disorders,1785104011,Acrosclerosis
Systemic connective tissue disorders,147833014,Systemic sclerosis
Systemic connective tissue disorders,147834015,Progressive systemic sclerosis
Systemic connective tissue disorders,53211014,CREST syndrome
Systemic connective tissue disorders,309416016,Systemic sclerosis induced by drugs and chemicals
Systemic connective tissue disorders,312581012,[X]Other forms of systemic sclerosis
