Condition,MedCode,Term
Systemic connective tissue disorders,301739012,Pulmonary eosinophilia NOS
Systemic connective tissue disorders,300565019,Polyarteritis nodosa and allied conditions
Systemic connective tissue disorders,4514901000006114,PAN - Polyarteritis nodosa
Systemic connective tissue disorders,4514891000006110,Periarteritis nodosa
Systemic connective tissue disorders,6298471000006115,Andrews syndrome
Systemic connective tissue disorders,6298441000006111,PIE - Pulmonary infiltrates with eosinophilia
Systemic connective tissue disorders,6298451000006113,Pulmonary infiltrates with eosinophilia
Systemic connective tissue disorders,297543018,Polyneuropathy in polyarteritis nodosa
Systemic connective tissue disorders,297545013,Polyneuropathy in collagen vascular disease NOS
Systemic connective tissue disorders,6298431000006118,EP - Eosinophilic pneumonia
Systemic connective tissue disorders,6298461000006110,Eosinophilic pneumonia
Systemic connective tissue disorders,4770431000006110,Neuropathy in vasculitis and connective tissue disease
Systemic connective tissue disorders,242065019,Polyarteritis nodosa
Systemic connective tissue disorders,297540015,Polyneuropathy in collagen vascular disease
Systemic connective tissue disorders,303849011,Nephrotic syndrome in polyarteritis nodosa
Systemic connective tissue disorders,2670764010,Pulmonary eosinophilia
Systemic connective tissue disorders,990621000006115,Polyarteritis nodosa NOS
Systemic connective tissue disorders,422991000006117,[X]Polyneuropathy/systemic connective tissue disorders CE
Systemic connective tissue disorders,300596011,Polyarteritis nodosa and allied conditions NOS
Systemic connective tissue disorders,312575016,[X]Other conditions related to polyarteritis nodosa
Systemic connective tissue disorders,6298421000006116,Eosinophilic asthma
Systemic connective tissue disorders,297640011,Myopathy due to polyarteritis nodosa
Systemic connective tissue disorders,394383017,Diagnostic endoscopic examination of ureter NOS
Systemic connective tissue disorders,1481796014,Ureteroscopy
Systemic connective tissue disorders,1550301000006115,Diagnost endos exam bladder biop lesion bladder rigid cysto
Systemic connective tissue disorders,1550311000006117,Diagnostic endoscop exam bladder biop lesion pros rigid cys
Systemic connective tissue disorders,1550321000006113,Diagnostic endoscopic examination bladder using cystoscope
Systemic connective tissue disorders,3838321000006119,Allergic granulomatosis angiitis
Systemic connective tissue disorders,6476541000006115,Endoscopy of ureter
Systemic connective tissue disorders,6711401000006111,Retrograde urography
Systemic connective tissue disorders,6476531000006113,Cystoureteroscopy
Systemic connective tissue disorders,11878911000006116,EGPA - eosinophilic granulomatosis with polyangiitis
Systemic connective tissue disorders,4671001000006112,Rigid check cystoscopy
Systemic connective tissue disorders,3838351000006111,CSS - Churg-Strauss syndrome
Systemic connective tissue disorders,6711361000006118,Retrograde ureteropyelography
Systemic connective tissue disorders,3838361000006112,Churg Strauss syndrome
Systemic connective tissue disorders,4670361000006119,Endoscopic retrograde pyelogram
Systemic connective tissue disorders,3838311000006113,Eosinophilic granulomatosis with polyangiitis
Systemic connective tissue disorders,6711381000006111,Retrograde pyelography
Systemic connective tissue disorders,6711371000006113,RPG - Retrograde pyelogram
Systemic connective tissue disorders,3838341000006113,Allergic granulomatous angiitis
Systemic connective tissue disorders,867301000006112,Retrograde pyelography
Systemic connective tissue disorders,1492235010,Cystoscopy of ureter
Systemic connective tissue disorders,6711391000006114,Retrograde urogram
Systemic connective tissue disorders,272591017,Endoscopic retrograde pyelography - unspecified
Systemic connective tissue disorders,272597018,Retrograde bulb ureteropyelography
Systemic connective tissue disorders,1481797017,Diagnostic endoscopy of ureter
Systemic connective tissue disorders,1492240019,Diagnostic endoscopic examination of ureter
Systemic connective tissue disorders,272596010,Retrograde catheter ureteropyelography
Systemic connective tissue disorders,272598011,Other specified diagnostic endoscopic examination of ureter
Systemic connective tissue disorders,477964015,Simple diagnostic ureteroscopy
Systemic connective tissue disorders,272740018,Diagnostic cystoscopy using rigid instrument
Systemic connective tissue disorders,410994013,Ureteroscopy NEC
Systemic connective tissue disorders,557151000006115,Churg-Strauss vasculitis
Systemic connective tissue disorders,11878901000006118,Eosinophilic granulomatosis with polyangiitis
Systemic connective tissue disorders,2157075010,Retrograde pyelogram
Systemic connective tissue disorders,272744010,Check cystoscopy using rigid instrument
Systemic connective tissue disorders,300593015,Juvenile polyarteritis
Systemic connective tissue disorders,6474251000006112,Cystoscopic catheterisation of ureter
Systemic connective tissue disorders,1490192011,Endoscopic catheterisation of ureter
Systemic connective tissue disorders,6474261000006114,Cystoscopic catheterization of ureter
Systemic connective tissue disorders,6474281000006116,Endoscopic catheterization of ureter
Systemic connective tissue disorders,1550141000006116,Endoscopic ureteric urine sampling
Systemic connective tissue disorders,3720161000006112,Kawasaki's disease
Systemic connective tissue disorders,644841000006114,Endoscopic ureteric sampling of urine
Systemic connective tissue disorders,3720151000006111,MCLS
Systemic connective tissue disorders,3720201000006119,Kawasaki syndrome
Systemic connective tissue disorders,3720191000006116,Kawasaki's syndrome
Systemic connective tissue disorders,3720171000006117,Mucocutaneous lymph node syndrome
Systemic connective tissue disorders,3720211000006115,Kawasakis mucocutaneous lymph node syndrome
Systemic connective tissue disorders,124650010,Acute febrile mucocutaneous lymph node syndrome
Systemic connective tissue disorders,3720181000006119,MLNS
Systemic connective tissue disorders,124653012,Kawasaki disease
Systemic connective tissue disorders,867311000006110,Endosc. ureteric urine collect
