Condition,MedCodeId,Term
Tuberculosis,7551011,Tuberculosis of genitourinary system
Tuberculosis,303573012,Other gallbladder disorders
Tuberculosis,286297010,Tuberculosis of other organs
Tuberculosis,1494889019,Tuberculosis of bones and joints
Tuberculosis,679381000006111,Neop uncertain behaviour of digestive and respiratory system
Tuberculosis,79348014,Miliary tuberculosis
Tuberculosis,281631019,Disseminated tuberculosis
Tuberculosis,24141013,Tuberculosis of hip
Tuberculosis,286294015,Tuberculosis of other female genital organs
Tuberculosis,40681016,Tuberculous hydrothorax
Tuberculosis,286239011,"Tuberculosis of lung, confirmed histologically"
Tuberculosis,286270015,"Tuberculosis of intestines, peritoneum and mesenteric glands"
Tuberculosis,89021000006112,Tuberculosis - scrofuloderma
Tuberculosis,311912015,Tuberculosis of cervical spine
Tuberculosis,451125010,[V] Personal history of pulmonary tuberculosis
Tuberculosis,82541000006118,Tuberculosis of spine
Tuberculosis,89121000006113,Tuberculosis oesophagus
Tuberculosis,311927015,Tuberculosis of the bones of the shoulder region
Tuberculosis,286223016,Other respiratory tuberculosis
Tuberculosis,1140001000000117,History of tuberculosis drug therapy
Tuberculosis,175131000006112,Resp TB bacteriologically and histologically confirmed
Tuberculosis,18908019,Tuberculous adenitis
Tuberculosis,34267015,Tuberculosis of prostate
Tuberculosis,82841000006116,Tuberculous arthritis
Tuberculosis,1230111017,Peritonitis - tuberculous
Tuberculosis,139628019,Tuberculous oophoritis
Tuberculosis,83211000006113,"Tuberculous pleurisy, conf bacteriologically/histologically"
Tuberculosis,298355010,Keratitis due to tuberculosis
Tuberculosis,2549441013,Tuberculoma of spinal cord
Tuberculosis,81815010,Tuberculosis of eye
Tuberculosis,667971000000118,Latent tuberculosis
Tuberculosis,89511000006113,Tuberculosis of meninges and central nervous system
Tuberculosis,130160016,Tuberculosis of intrathoracic lymph nodes
Tuberculosis,132731014,Tuberculous pneumonia
Tuberculosis,142044014,Tuberculosis of tracheobronchial lymph nodes
Tuberculosis,107751000006115,TB intrathoracic lymph nodes confirm bact histologically
Tuberculosis,24683016,Tuberculous empyema
Tuberculosis,136831015,Tuberculosis of mediastinal lymph nodes
Tuberculosis,97107015,Tuberculous meningitis
Tuberculosis,504231000006117,Bazin's disease - erythema induratum - TB hypersensitivity
Tuberculosis,83161000006116,Tuberculous osteomylelytis
Tuberculosis,2548529013,Tuberculous abscess of spinal cord
Tuberculosis,146495016,Primary tuberculous complex
Tuberculosis,1228336010,Tuberculosis of vertebral column - Pott's
Tuberculosis,264413015,TB - tuberculosis notification
Tuberculosis,127902015,Tuberculosis of peripheral lymph nodes
Tuberculosis,239551014,Pulmonary tuberculosis
Tuberculosis,74349016,Tuberculous peritonitis
Tuberculosis,406201015,Tuberculosis of skin and subcutaneous tissue
Tuberculosis,311913013,Tuberculosis of thoracic spine
Tuberculosis,296922015,Tuberculous intracranial abscess
Tuberculosis,82791000006119,Tuberculosis with erythema nodosum hypersensitivity reaction
Tuberculosis,57296016,Tuberculous myelitis
Tuberculosis,1228335014,Tuberculosis of spine (Pott's)
