Condition,MedCode,Term
polyneuropathies,891861000006112,Neuralgia/neuritis - NOS
polyneuropathies,5008921000006119,Retrobulbar neuritis
polyneuropathies,883541000006113,Retrobulbar neuritis
polyneuropathies,2626141000006112,Alcoholic polyneuropathy
polyneuropathies,11925181000006112,Median nerve lesions NOS
polyneuropathies,2984161000006113,Morton's metatarsalgia
polyneuropathies,913791000006119,Type I diabetes mellitus with mononeuropathy
polyneuropathies,52697011,Mumps polyneuropathy
polyneuropathies,84721000006113,Type I diabetes mellitus with mononeuropathy
polyneuropathies,913801000006118,Insulin dependent diabetes mellitus with polyneuropathy
polyneuropathies,459312014,Type II diabetes mellitus with neuropathic arthropathy
polyneuropathies,16455010,Gouty neuritis
polyneuropathies,666351000006116,Familial neuropathic amyloid
polyneuropathies,1235651015,Familial amyloid polyneuropathy type III
polyneuropathies,294662017,Korsakov's alcoholic psychosis with peripheral neuritis
polyneuropathies,297475017,Other median nerve lesions
polyneuropathies,29902012,Median nerve neuritis
polyneuropathies,297477013,Median nerve compression in forearm
polyneuropathies,297479011,Median nerve lesions NOS
polyneuropathies,399414019,Ulnar nerve lesions
polyneuropathies,345456011,Neuritis ulnar nerve
polyneuropathies,93418010,Cubital tunnel syndrome
polyneuropathies,97213016,Tardy ulnar nerve palsy
polyneuropathies,297485016,Canal of Guyon compression
polyneuropathies,413630015,Ulnar nerve entrapment
polyneuropathies,475273015,Ulnar neuropathy
polyneuropathies,297487012,Ulnar nerve lesion NOS
polyneuropathies,297488019,Radial nerve lesions
polyneuropathies,8879010,Acute radial nerve palsy
polyneuropathies,297489010,Sensory branch of radial nerve lesion
polyneuropathies,297490018,Posterior interosseous nerve lesion
polyneuropathies,297491019,Radial nerve lesion NOS
polyneuropathies,2536776010,Causalgia
polyneuropathies,50702011,Mononeuritis multiplex
polyneuropathies,368388010,Median nerve entrapment
polyneuropathies,297493016,Other upper limb mononeuritis
polyneuropathies,297494010,Mononeuritis upper limb NOS
polyneuropathies,698001000006119,Mononeuritis lower limb
polyneuropathies,490703010,Sciatic nerve lesion
polyneuropathies,140945016,Meralgia paraesthetica
polyneuropathies,483022012,Femoral nerve lesions
polyneuropathies,1778567016,Common peroneal nerve lesion
polyneuropathies,1786691018,Lateral popliteal nerve lesion
polyneuropathies,1778686017,Tibial nerve lesion
polyneuropathies,712431000006111,Medial popliteal nerve lesion
polyneuropathies,78977014,Tarsal tunnel syndrome
polyneuropathies,297500014,Plantar nerve lesion
polyneuropathies,50335015,Morton's metatarsalgia
polyneuropathies,50336019,Morton's neuralgia
polyneuropathies,297503011,Plantar nerve lesion NOS
polyneuropathies,474333019,Superficial peroneal nerve lesion
polyneuropathies,297504017,Deep peroneal nerve lesion
polyneuropathies,297505016,Other mononeuritis lower limb
polyneuropathies,297506015,Unspecified mononeuritis lower limb
polyneuropathies,399415018,Mononeuritis of unspecified site NOS
polyneuropathies,345457019,Peripheral neuropathy - hereditary or idiopathic
