Condition,OriginalReadCode,CleansedReadCode,Term
Chronic lower respiratory diseases,^ESCTCO271632,,COPD - Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H3-99,H3...99,Chronic obst. pulm. dis. NOS
Chronic lower respiratory diseases,^ESCTCH271623,,Chronic obstructive lung disease
Chronic lower respiratory diseases,^ESCTFE387319,,Fetid chronic bronchitis
Chronic lower respiratory diseases,^ESCTOB473302,,Obstructive chronic bronchitis
Chronic lower respiratory diseases,H3,H3...00,Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,H3-1,H3...11,Chronic obstructive airways disease
Chronic lower respiratory diseases,H31,H31..00,Chronic bronchitis
Chronic lower respiratory diseases,H310,H310.00,Simple chronic bronchitis
Chronic lower respiratory diseases,H3100,H310000,Chronic catarrhal bronchitis
Chronic lower respiratory diseases,H310z,H310z00,Simple chronic bronchitis NOS
Chronic lower respiratory diseases,H311,H311.00,Mucopurulent chronic bronchitis
Chronic lower respiratory diseases,H3110,H311000,Purulent chronic bronchitis
Chronic lower respiratory diseases,H3111,H311100,Fetid chronic bronchitis
Chronic lower respiratory diseases,H311z,H311z00,Mucopurulent chronic bronchitis NOS
Chronic lower respiratory diseases,H312,H312.00,Obstructive chronic bronchitis
Chronic lower respiratory diseases,H3120,H312000,Chronic asthmatic bronchitis
Chronic lower respiratory diseases,H3120-1,H312011,Chronic wheezy bronchitis
Chronic lower respiratory diseases,H3121,H312100,Emphysematous bronchitis
Chronic lower respiratory diseases,H3123,H312300,Bronchiolitis obliterans
Chronic lower respiratory diseases,H312z,H312z00,Obstructive chronic bronchitis NOS
Chronic lower respiratory diseases,H313,H313.00,Mixed simple and mucopurulent chronic bronchitis
Chronic lower respiratory diseases,H31y,H31y.00,Other chronic bronchitis
Chronic lower respiratory diseases,H31y1,H31y100,Chronic tracheobronchitis
Chronic lower respiratory diseases,H31yz,H31yz00,Other chronic bronchitis NOS
Chronic lower respiratory diseases,H31z,H31z.00,Chronic bronchitis NOS
Chronic lower respiratory diseases,H32,H32..00,Emphysema
Chronic lower respiratory diseases,H320,H320.00,Chronic bullous emphysema
Chronic lower respiratory diseases,H3200,H320000,Segmental bullous emphysema
Chronic lower respiratory diseases,H3201,H320100,Zonal bullous emphysema
Chronic lower respiratory diseases,H3202,H320200,Giant bullous emphysema
Chronic lower respiratory diseases,H3203,H320300,Bullous emphysema with collapse
Chronic lower respiratory diseases,H320z,H320z00,Chronic bullous emphysema NOS
Chronic lower respiratory diseases,H321,H321.00,Panlobular emphysema
Chronic lower respiratory diseases,H322,H322.00,Centrilobular emphysema
Chronic lower respiratory diseases,H32y,H32y.00,Other emphysema
Chronic lower respiratory diseases,H32y1,H32y100,Atrophic (senile) emphysema
Chronic lower respiratory diseases,H32y2,H32y200,MacLeod's unilateral emphysema
Chronic lower respiratory diseases,H32yz,H32yz00,Other emphysema NOS
