Condition,OriginalReadCode,CleansedReadCode,Term
"Disorders of gallbladder, biliary tract and pancreas",Jyu80,Jyu8000,[X]Other cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",Jyu81,Jyu8100,[X]Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",Jyu82,Jyu8200,[X]Other specified diseases of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",J641,J641.00,Gallbladder calculus with other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",J642-1,J642.11,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",J64zz,J64zz00,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",J64z0,J64z000,Cholelithiasis without obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",J64z1,J64z100,Cholelithiasis with obstruction NOS
"Disorders of gallbladder, biliary tract and pancreas",J65,J65..00,Other gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",J651,J651.00,Other cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",J651y,J651y00,Other cholecystitis OS
"Disorders of gallbladder, biliary tract and pancreas",J651z,J651z00,Cholecystitis NOS
"Disorders of gallbladder, biliary tract and pancreas",J662z,J662z00,Obstruction of bile duct NOS
"Disorders of gallbladder, biliary tract and pancreas",J65yz,J65yz00,Other specified gallbladder disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",^ESCTCL549311,,CL - Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",4G2,4G2..00,O/E: gall stone
"Disorders of gallbladder, biliary tract and pancreas",4G2Z,4G2Z.00,O/E: gall stone NOS
"Disorders of gallbladder, biliary tract and pancreas",^ESCTCA549314,,Calculus in biliary tract
"Disorders of gallbladder, biliary tract and pancreas",^ESCTON461032,,On examination - gallstone
"Disorders of gallbladder, biliary tract and pancreas",J64z,J64z.00,Cholelithiasis NOS
"Disorders of gallbladder, biliary tract and pancreas",J6420,J642000,Gallbladder calculus without mention cholecystitis +no obstr
"Disorders of gallbladder, biliary tract and pancreas",J642,J642.00,Gallbladder calculus without mention of cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",^ESCTIN374552,,Inflamed gallbladder
"Disorders of gallbladder, biliary tract and pancreas",^ESCTGA508736,,Gallbladder stones
"Disorders of gallbladder, biliary tract and pancreas",^ESCTCH508734,,Cholecystolithiasis
"Disorders of gallbladder, biliary tract and pancreas",^ESCTGA313741,,Gallbladder disease
"Disorders of gallbladder, biliary tract and pancreas",J65z,J65z.00,Other gallbladder disorders NOS
"Disorders of gallbladder, biliary tract and pancreas",J6411,J641100,Gallbladder calculus with other cholecystitis + obstruct
"Disorders of gallbladder, biliary tract and pancreas",J6410,J641000,Gallbladder calculus with other cholecystitis +no obstruct
"Disorders of gallbladder, biliary tract and pancreas",J641z,J641z00,Gallbladder calculus with other cholecystitis - obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",J64-5,J64..15,Gallstones
"Disorders of gallbladder, biliary tract and pancreas",J6523,J652300,Stenosis of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",J6616,J661600,Obliterative cholangitis
"Disorders of gallbladder, biliary tract and pancreas",J662,J662.00,Obstruction of bile duct
"Disorders of gallbladder, biliary tract and pancreas",J66y4,J66y400,Stasis of bile duct
"Disorders of gallbladder, biliary tract and pancreas",J6611,J661100,Chronic cholangitis
"Disorders of gallbladder, biliary tract and pancreas",J64,J64..00,Cholelithiasis
"Disorders of gallbladder, biliary tract and pancreas",J64-6,J64..16,Stone - biliary
"Disorders of gallbladder, biliary tract and pancreas",J64-99,J64..99,Calculus of gall bladder
"Disorders of gallbladder, biliary tract and pancreas",J64-98,J64..98,Calculus of bile duct
"Disorders of gallbladder, biliary tract and pancreas",J64-2,J64..12,Calculus - biliary
"Disorders of gallbladder, biliary tract and pancreas",J6522,J652200,Occlusion of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",J652z,J652z00,Obstruction of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",J65y,J65y.00,Other specified gallbladder disorders
"Disorders of gallbladder, biliary tract and pancreas",J642z,J642z00,Gallbladder calculus without cholecystitis and obstruct NOS
"Disorders of gallbladder, biliary tract and pancreas",^ESCTBI291488,,Biliary calculus with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",^ESCTGS508738,,GS - Gallstone
"Disorders of gallbladder, biliary tract and pancreas",J64-4,J64..14,Gallbladder calculus
"Disorders of gallbladder, biliary tract and pancreas",J6612,J661200,Recurrent cholangitis
"Disorders of gallbladder, biliary tract and pancreas",^ESCTCH364393,,"Cholelithiasis, non obstructive"
"Disorders of gallbladder, biliary tract and pancreas",^ESCTCH291489,,Cholelithiasis with cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",^ESCTBI549309,,Biliary calculus
"Disorders of gallbladder, biliary tract and pancreas",^ESCTON461034,,On examination - cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",4G21,4G21.00,O/E: cholesterol gall stone
"Disorders of gallbladder, biliary tract and pancreas",4G22,4G22.00,O/E: pigment gall stone
"Disorders of gallbladder, biliary tract and pancreas",^ESCTOE461033,,O/E: cholesterol gallstone
"Disorders of gallbladder, biliary tract and pancreas",^ESCTON461036,,On examination - pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",^ESCTOE461035,,O/E: pigment gallstone
"Disorders of gallbladder, biliary tract and pancreas",J64-3,J64..13,Cystic duct calculus
"Disorders of gallbladder, biliary tract and pancreas",J655,J655.00,Fistula of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",J6711,J671100,Gallstone chronic pancreatitis
"Disorders of gallbladder, biliary tract and pancreas",J655z,J655z00,Fistula of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",J6551,J655100,Cholecystogastric fistula
"Disorders of gallbladder, biliary tract and pancreas",J6421,J642100,Gallbladder calculus without mention cholecystitis + obstruc
"Disorders of gallbladder, biliary tract and pancreas",J6553,J655300,Cholecystoenteric fistula
