Condition,OriginalReadCode,CleansedReadCode,Term
Inflammatory diseases of the female pelvic organs,K4024,K402400,Perioophoritis unspecified
Inflammatory diseases of the female pelvic organs,K4025,K402500,Salpingo-oophoritis unspecified
Inflammatory diseases of the female pelvic organs,K4026,K402600,Salpingitis unspecified
Inflammatory diseases of the female pelvic organs,K4027,K402700,Perisalpingitis unspecified
Inflammatory diseases of the female pelvic organs,K402z,K402z00,Unspecified salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,K402,K402.00,Salpingitis and oophoritis unspecified
Inflammatory diseases of the female pelvic organs,K4023,K402300,Oophoritis unspecified
Inflammatory diseases of the female pelvic organs,^ESCTTU325146,,Tubo-ovarian inflammatory disease
Inflammatory diseases of the female pelvic organs,^ESCTDI258802,,Disorder of ovary
Inflammatory diseases of the female pelvic organs,^ESCTIN393251,,Inflammation of fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTHE377043,,Hematosalpinx
Inflammatory diseases of the female pelvic organs,K401,K401.00,Chronic salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,^ESCTSA325149,,Salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,^ESCTIN373689,,Inflammation of ovary
Inflammatory diseases of the female pelvic organs,^ESCTAB660183,,Abscess of fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTIN325148,,Inflammation of ovary and fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTOV258803,,Ovarian disorder
Inflammatory diseases of the female pelvic organs,K53y6,K53y600,Haematosalpinx
Inflammatory diseases of the female pelvic organs,K401z,K401z00,Chronic salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,K4015,K401500,Hydrosalpinx
Inflammatory diseases of the female pelvic organs,K5341,K534100,Salpingocele
Inflammatory diseases of the female pelvic organs,K4010,K401000,Chronic oophoritis
Inflammatory diseases of the female pelvic organs,K4013,K401300,Chronic salpingitis
Inflammatory diseases of the female pelvic organs,K4012,K401200,Chronic salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,K4014,K401400,Chronic perisalpingitis
Inflammatory diseases of the female pelvic organs,K4020-1,K402011,Pyosalpinx
Inflammatory diseases of the female pelvic organs,K4020,K402000,Fallopian tube abscess
Inflammatory diseases of the female pelvic organs,K401-99,K401.99,Chronic salpingitis/oophoritis
Inflammatory diseases of the female pelvic organs,^ESCTSA325147,,Salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,K4022,K402200,Tubo-ovarian abscess
Inflammatory diseases of the female pelvic organs,^ESCTHE302021,,Hernia of fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTPY659317,,Pyosalpingitis
Inflammatory diseases of the female pelvic organs,K4011,K401100,Chronic perioophoritis
Inflammatory diseases of the female pelvic organs,^ESCTTU345770,,Tubo ovarian abscess
Inflammatory diseases of the female pelvic organs,^ESCTAD309221,,Adenosis of fallopian tube
Inflammatory diseases of the female pelvic organs,^ESCTFO357301,,Follicular salpingitis
Inflammatory diseases of the female pelvic organs,^ESCTAB261791,,Abscess of ovary
Inflammatory diseases of the female pelvic organs,^ESCTAD309222,,Adenosalpingitis
Inflammatory diseases of the female pelvic organs,K4016,K401600,Salpingitis follicularis
Inflammatory diseases of the female pelvic organs,K4021,K402100,Ovarian abscess
Inflammatory diseases of the female pelvic organs,K4017,K401700,Salpingitis isthmica nodosa
Inflammatory diseases of the female pelvic organs,K54z,K54z.00,Disorder of uterus NOS
Inflammatory diseases of the female pelvic organs,K411z,K411z00,Chronic uterine inflammatory disease NOS
Inflammatory diseases of the female pelvic organs,K41z,K41z.00,Unspecified uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,K41z0,K41z000,Endometritis unspecified
Inflammatory diseases of the female pelvic organs,K41z1,K41z100,Endomyometritis unspecified
Inflammatory diseases of the female pelvic organs,K41z2,K41z200,Myometritis unspecified
Inflammatory diseases of the female pelvic organs,K41zz,K41zz00,Unspecified uterine inflammatory disease NOS
Inflammatory diseases of the female pelvic organs,Kyu98,Kyu9800,[X]Other specified noninflammatory disorders of uterus
Inflammatory diseases of the female pelvic organs,^ESCTIN296270,,Inflammatory disease of the uterus
Inflammatory diseases of the female pelvic organs,^ESCTUT269641,,Uterine disorder
Inflammatory diseases of the female pelvic organs,^ESCT1270445,,Disorder of uterus NOS
Inflammatory diseases of the female pelvic organs,K54,K54..00,Disorders of the uterus NEC
Inflammatory diseases of the female pelvic organs,K54y,K54y.00,Other uterine disorders NOS
Inflammatory diseases of the female pelvic organs,K54yz,K54yz00,Other uterine disorder NOS
Inflammatory diseases of the female pelvic organs,K411,K411.00,Chronic uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,K4114,K411400,Chronic pyometra
Inflammatory diseases of the female pelvic organs,K4111,K411100,Chronic endomyometritis
Inflammatory diseases of the female pelvic organs,K4110,K411000,Chronic endometritis
Inflammatory diseases of the female pelvic organs,^ESCTUT296271,,Uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,K41z4,K41z400,Pyometra unspecified
Inflammatory diseases of the female pelvic organs,K41,K41..00,Uterine inflammatory diseases excluding the cervix
Inflammatory diseases of the female pelvic organs,K4112,K411200,Chronic myometritis
Inflammatory diseases of the female pelvic organs,K4113,K411300,Chronic perimetritis
Inflammatory diseases of the female pelvic organs,^ESCTPY394618,,Pyometrium
Inflammatory diseases of the female pelvic organs,^ESCTUT269640,,Uterine disease
Inflammatory diseases of the female pelvic organs,^ESCT1222087,,Chronic metritis
Inflammatory diseases of the female pelvic organs,G80z0,G80z000,Phlebitis NOS
Inflammatory diseases of the female pelvic organs,^ESCTUT371842,,Uterine abscess
Inflammatory diseases of the female pelvic organs,K41z3,K41z300,Perimetritis unspecified
Inflammatory diseases of the female pelvic organs,^ESCTIN350079,,Inflammation of vein
