Condition,OriginalReadCode,CleansedReadCode,Term
"Neurotic, stress-related and somatoform disorders",E2021-99,E202199,Agoraphobia
"Neurotic, stress-related and somatoform disorders",EMISNQPA155,,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",^ESCT1192089,,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",1B1H-1,1B1H.11,Fear
"Neurotic, stress-related and somatoform disorders",1B1V,1B1V.00,C/O - panic attack
"Neurotic, stress-related and somatoform disorders",1Bb,1Bb..00,Specific fear
"Neurotic, stress-related and somatoform disorders",225J,225J.00,O/E - panic attack
"Neurotic, stress-related and somatoform disorders",285,285..00,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",286,286..00,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",E20,E20..00,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",E200,E200.00,Anxiety states
"Neurotic, stress-related and somatoform disorders",E2000,E200000,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",E2001,E200100,Panic disorder
"Neurotic, stress-related and somatoform disorders",E2001-1,E200111,Panic attack
"Neurotic, stress-related and somatoform disorders",E2002,E200200,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",E2004,E200400,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",E200z,E200z00,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",E201B,E201B00,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",E202,E202.00,Phobic disorders
"Neurotic, stress-related and somatoform disorders",E202-1,E202.11,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",E202-2,E202.12,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",E2020,E202000,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",E2021,E202100,Agoraphobia with panic attacks
"Neurotic, stress-related and somatoform disorders",E2022,E202200,Agoraphobia without mention of panic attacks
"Neurotic, stress-related and somatoform disorders",E2023,E202300,"Social phobia, fear of eating in public"
"Neurotic, stress-related and somatoform disorders",E2024,E202400,"Social phobia, fear of public speaking"
"Neurotic, stress-related and somatoform disorders",E2025,E202500,"Social phobia, fear of public washing"
"Neurotic, stress-related and somatoform disorders",E2027,E202700,Animal phobia
"Neurotic, stress-related and somatoform disorders",E2028,E202800,Claustrophobia
"Neurotic, stress-related and somatoform disorders",E2029,E202900,Fear of crowds
"Neurotic, stress-related and somatoform disorders",E202A,E202A00,Fear of flying
"Neurotic, stress-related and somatoform disorders",E202B,E202B00,Cancer phobia
"Neurotic, stress-related and somatoform disorders",E202D,E202D00,Fear of death
"Neurotic, stress-related and somatoform disorders",E202E,E202E00,Fear of pregnancy
"Neurotic, stress-related and somatoform disorders",E202z,E202z00,Phobic disorder NOS
"Neurotic, stress-related and somatoform disorders",E20y,E20y.00,Other neurotic disorders
"Neurotic, stress-related and somatoform disorders",E20y1,E20y100,Writer's cramp neurosis
"Neurotic, stress-related and somatoform disorders",E20y2,E20y200,Other occupational neurosis
"Neurotic, stress-related and somatoform disorders",E20y3,E20y300,Psychasthenic neurosis
"Neurotic, stress-related and somatoform disorders",E20yz,E20yz00,Other neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",E20z,E20z.00,Neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",Eu40,Eu40.00,[X]Phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",Eu400,Eu40000,[X]Agoraphobia
"Neurotic, stress-related and somatoform disorders",Eu400-2,Eu40012,[X]Panic disorder with agoraphobia
"Neurotic, stress-related and somatoform disorders",Eu401,Eu40100,[X]Social phobias
"Neurotic, stress-related and somatoform disorders",Eu401-2,Eu40112,[X]Social neurosis
"Neurotic, stress-related and somatoform disorders",Eu402,Eu40200,[X]Specific (isolated) phobias
"Neurotic, stress-related and somatoform disorders",Eu402-1,Eu40211,[X]Acrophobia
"Neurotic, stress-related and somatoform disorders",Eu402-2,Eu40212,[X]Animal phobias
"Neurotic, stress-related and somatoform disorders",Eu402-3,Eu40213,[X]Claustrophobia
"Neurotic, stress-related and somatoform disorders",Eu402-4,Eu40214,[X]Simple phobia
"Neurotic, stress-related and somatoform disorders",Eu403,Eu40300,[X]Needle phobia
"Neurotic, stress-related and somatoform disorders",Eu40y,Eu40y00,[X]Other phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",Eu40z,Eu40z00,"[X]Phobic anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",Eu40z-1,Eu40z11,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",Eu40z-2,Eu40z12,[X]Phobic state NOS
"Neurotic, stress-related and somatoform disorders",Eu41,Eu41.00,[X]Other anxiety disorders
"Neurotic, stress-related and somatoform disorders",Eu410,Eu41000,[X]Panic disorder [episodic paroxysmal anxiety]
"Neurotic, stress-related and somatoform disorders",Eu410-1,Eu41011,[X]Panic attack
"Neurotic, stress-related and somatoform disorders",Eu410-2,Eu41012,[X]Panic state
"Neurotic, stress-related and somatoform disorders",Eu411,Eu41100,[X]Generalized anxiety disorder
"Neurotic, stress-related and somatoform disorders",Eu411-1,Eu41111,[X]Anxiety neurosis
"Neurotic, stress-related and somatoform disorders",Eu411-2,Eu41112,[X]Anxiety reaction
"Neurotic, stress-related and somatoform disorders",Eu411-3,Eu41113,[X]Anxiety state
"Neurotic, stress-related and somatoform disorders",Eu413,Eu41300,[X]Other mixed anxiety disorders
"Neurotic, stress-related and somatoform disorders",Eu41y,Eu41y00,[X]Other specified anxiety disorders
"Neurotic, stress-related and somatoform disorders",Eu41y-1,Eu41y11,[X]Anxiety hysteria
"Neurotic, stress-related and somatoform disorders",Eu41z,Eu41z00,"[X]Anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",Eu41z-1,Eu41z11,[X]Anxiety NOS
