Condition,OriginalReadCode,CleansedReadCode,Term
Other reintal disorders (Macular degeneration),2BBH,2BBH.00,Retinal drusen
Other reintal disorders (Macular degeneration),F4242,F424200,Retinal pigment epithelium serous detachment
Other reintal disorders (Macular degeneration),F4243,F424300,Retinal pigment epithelium haemorrhagic detachment
Other reintal disorders (Macular degeneration),F4244,F424400,Retinal pigment epithelial detachment
Other reintal disorders (Macular degeneration),F425,F425.00,Degeneration of macula and posterior pole
Other reintal disorders (Macular degeneration),F425-1,F425.11,Senile macular degeneration
Other reintal disorders (Macular degeneration),F4250,F425000,Unspecified senile macular degeneration
Other reintal disorders (Macular degeneration),F4251,F425100,Dry senile macular degeneration
Other reintal disorders (Macular degeneration),F4252,F425200,Wet senile macular degeneration
Other reintal disorders (Macular degeneration),F4252-1,F425211,Kuhnt - Junius degeneration
Other reintal disorders (Macular degeneration),F425z,F425z00,Degeneration of macula or posterior pole NOS
