Condition,OriginalReadCode,CleansedReadCode,Term
Retinal detachments and breaks ,F4109,F410900,Old subtotal retinal detachment
Retinal detachments and breaks ,F4103,F410300,New partial retinal detachment with giant tear defect
Retinal detachments and breaks ,F4104,F410400,New partial retinal detachment with retinal dialysis
Retinal detachments and breaks ,F4131,F413100,Retinal round hole without detachment
Retinal detachments and breaks ,F4132,F413200,Horseshoe retinal tear without detachment
Retinal detachments and breaks ,F4108,F410800,Old total retinal detachment
Retinal detachments and breaks ,F4102,F410200,New partial retinal detachment with multiple defects
Retinal detachments and breaks ,F41-1,F41..11,Retinal tears
Retinal detachments and breaks ,F410,F410.00,Retinal detachment with retinal defect
Retinal detachments and breaks ,F41,F41..00,Retinal detachments and defects
Retinal detachments and breaks ,1481,1481.00,H/O: retinal detachment
Retinal detachments and breaks ,F4107,F410700,Old partial retinal detachment
Retinal detachments and breaks ,F4101,F410100,New partial retinal detachment with single defect
Retinal detachments and breaks ,7271,7271.00,Photocoagulation of retina for detachment
Retinal detachments and breaks ,F4106,F410600,Recent subtotal retinal detachment
Retinal detachments and breaks ,F4105,F410500,Recent total retinal detachment
Retinal detachments and breaks ,F4133,F413300,Multiple retinal defects without detachment
Retinal detachments and breaks ,F413,F413.00,Retinal defects without detachment
Retinal detachments and breaks ,F4100,F410000,Unspecified retinal detachment with retinal defect
Retinal detachments and breaks ,F4134,F413400,Retinal break
Retinal detachments and breaks ,72711,7271100,Laser photocoagulation of retina for detachment
Retinal detachments and breaks ,F413z,F413z00,Retinal defects without detachment NOS
Retinal detachments and breaks ,F41y0,F41y000,Traction retinal detachment
Retinal detachments and breaks ,F41yz,F41yz00,Other retinal detachments NOS
Retinal detachments and breaks ,F41y,F41y.00,Other forms of retinal detachment
Retinal detachments and breaks ,F41z,F41z.00,Retinal detachment NOS
Retinal detachments and breaks ,F410z,F410z00,Retinal detachment with defect NOS
Retinal detachments and breaks ,7271z,7271z00,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks ,7271y,7271y00,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks ,FyuF4,FyuF400,[X]Other retinal detachments
Retinal detachments and breaks ,72710,7271000,Xenon photocoagulation of retina for detachment
