Condition,OriginalReadCode,CleansedReadCode,Term
Cataract,^ESCTCA339066,,Cataract extraction
Cataract,7266z-99,7266z99,Cataract extraction unspec.
Cataract,^ESCTEX271874,,Extracapsular cataract extraction
Cataract,F463-99,F463.99,Secondary cataract
Cataract,72654-99,7265499,YAG laser post capsulotomy
Cataract,^ESCTCA374127,,Cataract with neovascularization
Cataract,F4K34-1,F4K3411,Posterior capsule opacification
Cataract,22E5,22E5.00,O/E - cataract present
Cataract,2BT0,2BT0.00,O/E - Right cataract present
Cataract,2BT1,2BT1.00,O/E - Left cataract present
Cataract,7263-2,7263.12,Extracapsular extraction of cataract
Cataract,72630-1,7263011,Needling of lens for cataract
Cataract,7264-1,7264.11,Intracapsular extraction of cataract
Cataract,7266-1,7266.11,Other extraction of cataract
Cataract,72661,7266100,Discission of cataract
Cataract,C108F-2,C108F12,Type 1 diabetes mellitus with diabetic cataract
Cataract,C10EF-2,C10EF12,Insulin dependent diabetes mellitus with diabetic cataract
Cataract,F46,F46..00,Cataract
Cataract,F460,F460.00,"Infantile, juvenile and presenile cataracts"
Cataract,F4600,F460000,Unspecified infantile cataract
Cataract,F4601,F460100,Unspecified juvenile cataract
Cataract,F4602,F460200,Unspecified presenile cataract
Cataract,F4603,F460300,Anterior subcapsular polar cataract
Cataract,F4604,F460400,Posterior subcapsular polar cataract
Cataract,F4605,F460500,Cortical cataract
Cataract,F4606,F460600,Lamellar zonular cataract
Cataract,F4607,F460700,Nuclear cataract
Cataract,F460x,F460x00,Combined nonsenile cataract
Cataract,F460y,F460y00,Other nonsenile cataract
Cataract,F460z,F460z00,Nonsenile cataract NOS
Cataract,F461,F461.00,Senile cataract
Cataract,F4610,F461000,Unspecified senile cataract
Cataract,F4611,F461100,Lens capsule pseudoexfoliation
Cataract,F4612,F461200,Coronary cataract
Cataract,F4613,F461300,Punctate cataract
Cataract,F4614,F461400,Incipient cataract NOS
Cataract,F4615,F461500,Immature cataract NOS
Cataract,F4616,F461600,Anterior subcapsular polar senile cataract
Cataract,F4617,F461700,Posterior subcapsular polar senile cataract
Cataract,F4618,F461800,Cortical senile cataract
Cataract,F4619,F461900,Nuclear senile cataract
Cataract,F461A,F461A00,"Total, mature senile cataract"
Cataract,F461B,F461B00,Hypermature cataract
Cataract,F461B-1,F461B11,Morgagni cataract
Cataract,F461x,F461x00,Combined senile cataract
Cataract,F461y,F461y00,Other senile cataract
Cataract,F461z,F461z00,Senile cataract NOS
Cataract,F463,F463.00,Cataract secondary to ocular disease
Cataract,F4630,F463000,Unspecified cataracta complicata
Cataract,F4632,F463200,Cataract in eye inflammatory disorder
Cataract,F4633,F463300,Cataract with neovascularization
Cataract,F4634,F463400,Cataract in degenerative disorder
Cataract,F463z,F463z00,Cataract secondary to ocular disorder NOS
Cataract,F464,F464.00,Cataract due to other disorder
Cataract,F4641,F464100,Tetanic cataract
Cataract,F4642,F464200,Myotonic cataract
Cataract,F4643,F464300,Cataract associated with other syndromes
Cataract,F464z,F464z00,Cataract due to other disorder NOS
Cataract,F465,F465.00,After cataract
Cataract,F4650,F465000,Unspecified secondary cataract
Cataract,F4652,F465200,Other after cataract with vision normal
Cataract,F4653,F465300,After-cataract with vision obscured
Cataract,F4655,F465500,Posterior capsule opacification
Cataract,F465z,F465z00,After cataract NOS
Cataract,F466,F466.00,Bilateral cataracts
Cataract,F46y,F46y.00,Other cataract
Cataract,F46yz,F46yz00,Other cataract NOS
Cataract,F46z,F46z.00,Cataract NOS
Cataract,F46z0,F46z000,Immature cortical cataract
Cataract,F4B4B,F4B4B00,Keratopathy following cataract surgery
Cataract,F4B4C,F4B4C00,Bullous aphakic keratopathy following cataract surgery
Cataract,F4K2D,F4K2D00,Vitreous syndrome following cataract surgery
Cataract,FyuE0,FyuE000,[X]Other senile cataract
Cataract,FyuE1,FyuE100,[X]Other specified cataract
Cataract,FyuE4,FyuE400,[X]Cataract in other diseases classified elsewhere
Cataract,P331,P331.00,Capsular and subcapsular cataract
Cataract,P3310,P331000,Capsular cataract
Cataract,P3311,P331100,Subcapsular cataract
Cataract,P331z,P331z00,Capsular or subcapsular cataract NOS
Cataract,P332,P332.00,Cortical and zonular cataract
Cataract,P3321,P332100,Zonular cataract
Cataract,P332z,P332z00,Cortical or zonular cataract NOS
Cataract,P33y0,P33y000,Blue dot cataract
Cataract,ZV456-1,ZV45611,[V]State following cataract extraction
